toy_id,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
12,0.011771299077776411,0.5410600464331401,37.80718336483932,0.166124162023387,0.034779278930561576,0.5551357445214018,0.019593960000000004,0.01585999972073275,0.7054510387127233,0.36738674983950104,0.00046200000000000006,1.1728767885145238e-12,3.060250642794105e-06
13,0.01638641927215275,0.6273341437897245,37.80718336483932,0.26650777176118523,0.031856153685623445,0.5489099427067363,0.019593960000000566,0.015859999997611392,0.3122787433747375,0.36738674999994186,0.0006243915223591422,1.1075388745061006e-12,0.008519749708705551
14,0.011833732854888536,0.6216934891904099,37.80718336483932,0.19329657031041406,0.032528839376740455,0.683094781510639,0.019595234530830268,0.015850160093374845,0.49109318134018837,0.36738674999846277,0.0004620248038618572,1.686565249295905e-12,0.8974152369364179
15,0.013611978117470834,0.592899696242395,37.80718336483932,0.21240244813638687,0.03477927899999853,1.1919456927805157,0.019593960482168223,0.014048718672940087,0.352926922581657,0.36738674999999993,0.0004620000000000107,2.313969587729012e-11,0.9999998664988944
16,0.01046416727079917,0.7225462293724398,37.80718336483932,0.19767526603131372,0.03477927899999999,1.1871119959772556,0.01959396014759699,0.015859999999813204,0.6614333320546036,0.3673867499999909,0.00046200000000000006,0.0044081204018821245,0.9999999999980794
17,0.010264827524567099,0.9999999999942559,37.80718336483932,0.2604917544199004,0.03477927899999999,1.08534892620624,0.01959396000000014,0.015859999996246904,0.5878793275950909,0.36738674999999993,0.00046200000000000006,0.03942401779093366,0.9999999999999999
18,0.008816846616827053,0.9999999999971196,37.80718336483932,0.22640857863883365,0.03477927899999999,1.1919658999065212,0.019593960000000004,0.014389945663180038,0.9092429954615665,0.36738674999999993,0.00046200000000000006,0.03870027432058848,0.9999999999999871
19,0.01455179084727696,0.6147738510744172,37.80718336483932,0.22448995326945254,0.03477927899999923,0.5522799758062258,0.019593960000000004,0.01586,0.39685613957874283,0.36738674999999993,0.0004620000000035881,3.7061233050914395e-13,0.01569878123980839
20,0.013636198328032489,0.5486044016729437,37.80718336483932,0.1941303105127122,0.03217861309078554,0.9719722922333862,0.019593960000000018,0.015856917276634717,0.313850592946334,0.36738666345720283,0.0004620000000057391,4.979787810501997e-12,0.9996997837142467
21,0.01010897686291187,0.5615470602057521,37.80718336483932,0.14739762739624704,0.03477927899999998,0.8895556097338971,0.06595685931204118,0.01392989474757413,0.6140202122535214,0.2124161039984781,0.0004780848776696712,2.291630204792257e-15,0.859710351032226
22,0.008685855463452675,0.9999999998472431,37.80718336483932,0.226047366484365,0.01857529828642479,0.7216818849729036,0.019593960000000004,0.01586,0.35170565586314245,0.36738674999999993,0.00046200000000000006,0.046026297677713976,0.9999999999999999
23,0.00911968667497313,0.9999999999998902,37.80718336483932,0.23970905144697183,0.03477927899999999,1.0609922839401298,0.019593960000000004,0.015859999999906983,0.8367815090879789,0.36738674999999993,0.00046200000000000006,0.04791295255964286,0.9999999999999999
24,0.010546213811526841,0.5832347787024822,37.80718336483932,0.15636758645199533,0.02394621959817995,0.6981649896823955,0.019593960000023548,0.01585999999872704,0.38742665671711773,0.3673867499991322,0.00046200000000000006,3.1076778544173657e-13,0.9993346209057885
25,0.009177408706877048,0.9999999985102875,37.80718336483932,0.2462433035995629,0.03477927899999999,0.8525242805658251,0.019593960000000004,0.015859999999999996,0.9486980552869491,0.36738674999999993,0.00046200000000000006,0.05282067351174704,0.9999999999999999
26,0.009892048772750633,0.9999999999927845,37.80718336483932,0.2705843363580812,0.03477927899999998,1.0705454399356358,0.019593960000000004,0.01585999904489358,0.6373568570249931,0.36738674999999993,0.00046200000000000006,0.053337212317953187,0.9999999999999999
27,0.009187288772986838,0.6282116179498396,37.80718336483932,0.14704395143440735,0.028391122410127298,1.191964965318983,0.019593960000007283,0.0138316787453499,0.6537403639870021,0.36738674999999993,0.00046200000000000006,5.664841967015705e-13,0.6833933093885862
28,0.00909393493721772,0.9999999967678072,37.80718336483932,0.23778827021741286,0.03376255721610745,0.8239821371539969,0.019593960000000004,0.015859999990882258,0.6649849773885936,0.36738674999999993,0.00046200000000000006,0.06493067364804395,0.9999999999999999
29,0.011939821873360724,0.6046455374581259,37.80718336483932,0.18630292476749288,0.034779277685718216,0.5578596138325174,0.025615183339951768,0.015855584965974855,0.5311129608573327,0.30768149043287757,0.0004935378976856911,2.5861075077922182e-12,1.8215278025495093e-11
30,0.012217695181836937,0.5553220491752765,37.80718336483932,0.17509123150612912,0.027684645699685023,1.1919658960996244,0.019593960002967745,0.015859994519139956,0.31227873750000945,0.367386749999996,0.000505903058528906,2.79664442259221e-13,0.9992204466261156
31,0.010324387291694577,0.5042072650288989,37.80718336483932,0.1295038304338281,0.03477927899959637,1.1844450945793088,0.0195940487122018,0.012479377775276038,0.47951631645713527,0.3673867302129919,0.00046200130061116695,1.0104516050707576e-11,3.6137356633767544e-06
32,0.010961607722222514,0.9746311274748646,37.80718336483932,0.28528495005758164,0.03477927899999999,0.6767023906288999,0.019593960000000004,0.015859999955081167,0.7601873418980288,0.36738674999999993,0.00046200000000000006,0.03662771862494092,0.9999999999999999
33,0.012030212793089618,0.9999999225729714,37.80718336483932,0.32464346258709753,0.03477927899999999,0.2979914833458485,0.07837582619596574,0.00712986851098345,0.8612064414988349,0.24368602487250735,0.0013833818073571355,0.010794718321851256,0.9999999957407311
34,0.015633840663018397,0.6144257975489503,37.80718336483932,0.25729328225891407,0.034779278993676714,0.6556128522968576,0.019593960000000004,0.015859999999999687,0.31227873796574707,0.3673867499914865,0.00046200000000656897,0.0044325193856864994,0.9999999999999988
35,0.009059373481365441,0.986977811271497,37.80718336483932,0.2379913970404472,0.03477927899999999,0.9548832719606541,0.019593960000000004,0.01585999999991125,0.9316051874510198,0.36738674999999993,0.00046200000000000006,0.03800972408550957,0.9999999999999999
36,0.009846036527465638,0.9999999995545992,37.80718336483932,0.2560019246058455,0.028769554932159967,0.8537049760859553,0.019593960000000004,0.015859999957733177,0.5770236266033064,0.36738674999999993,0.00046200000000000006,0.0397285895952874,0.9999999999999999
