toy_id,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
0,0.0056218283587842165,0.09613822412519306,0.2352726410327558,0.3048731175276928,11.499999999999998,0.008650451326177288,0.065,0.1715585225344209,50.05,0.3576742882417014,2.421985590976119e-19
1,0.0056407488290483735,0.10678868255347901,0.2392615299070079,0.34617202279859693,11.499999999999613,0.01552532383058884,0.065,0.1700753212649375,50.05,0.431482888258008,1.8639738214671248e-28
2,0.004886152263395866,0.12038254299656295,0.2685772069811913,0.09590018278453841,3.983622769211597,0.007472400810354614,0.065,0.19753441607981012,50.05,0.39980534489231817,7.339799283639967e-37
3,0.004940896298519405,0.12128807807410012,0.2740614550029436,0.0775443734793792,3.062361569021198,0.007761767520060613,0.065,0.19004606676276806,50.05,0.40968114509363474,5.035030990013659e-35
4,0.005495513601526905,0.11037411030371697,0.22537930338212178,0.25183555425291465,11.499999999999998,0.005939944320294981,0.065,0.17598544593845586,50.05,0.39357045820310066,4.1830354545198164e-14
5,0.005375538213632539,0.09668166171298609,0.26324314867104265,0.3465513091719566,11.499999999999998,0.009826183713978818,0.065,0.17735389548869757,50.05,0.4154209992628751,1.4000090615573591e-28
6,0.004724234219795297,0.12504560375266263,0.29018170780426145,0.30828353491732896,11.499999999999998,0.00808822801357865,0.065,0.20138460101511874,50.05,0.4648716701725729,4.631454952990738e-22
7,0.005392414091450832,0.10450611949970424,0.2392552686031113,0.29310966919092446,11.499999999999998,0.012679265220951431,0.065,0.18207956165131836,50.05,0.45944643365409477,2.4356251235567674e-27
8,0.0059925425539013154,0.10234073204762677,0.21249261360158286,0.2747722679827162,11.499999999999998,0.014355083024135505,0.065,0.16145637816414726,50.05,0.3927764862131342,5.637293479533846e-29
9,0.005510297207752133,0.1041179469069749,0.26455037729499464,0.113747208821963,3.582431689120244,0.008093083489273995,0.065,0.17402795434447665,50.05,0.37120046005097845,4.607828605528449e-37
10,0.005026847131070216,0.12117287688196003,0.26259638740318175,0.2028202603072162,7.996890336310624,0.009213891715005449,0.065,0.1914305356966338,50.05,0.4653445502008894,3.125118821118182e-21
11,0.0038260706736748143,0.14661336506868736,0.3776452474101424,0.08634140470866211,3.0776045497816544,0.003022092598798593,0.065,0.24492467063590076,50.05,0.5498129108767721,6.782023880751992e-33
