case,ratio_name,spectrum_column,method,pressure_bar,concentration_percent,ratio,anchor_ratio,scale_mode,scale_factor,reference_id,matched_reference_id,reference_label,reference_tex_label,unit,value_arcf4_norm,stat_minus_arcf4_norm,stat_plus_arcf4_norm,syst_minus_arcf4_norm,syst_plus_arcf4_norm,total_minus_arcf4_norm,total_plus_arcf4_norm,value_arn2_norm,stat_minus_arn2_norm,stat_plus_arn2_norm,syst_minus_arn2_norm,syst_plus_arn2_norm,total_minus_arn2_norm,total_plus_arn2_norm
"mean, hardcut",ArN2_mean_hardcut_over_ArCF4_95_5_VIS,mean_spectrum,trapz,1.0,100.0,0.22070633429590072,0.22070633429590072,relative_to_anchor,1.0,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,251.60312546269023,71.01749513059036,98.9459886953794,2.701167303616387,2.730481274691982,71.0688463352653,98.98365626151416,103.0781404470236,29.09483466791167,40.53673220734434,1.1066289505786244,1.1186384580997668,29.115872509464204,40.55216406124201
"mean, gaussian",ArN2_mean_gaussian_over_ArCF4_95_5_VIS,mean_spectrum,gaussian_fit,1.0,100.0,0.14986122981143515,0.22070633429590072,relative_to_anchor,0.6790073800533354,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,170.84037903365194,48.22140330657267,67.1850565508365,1.8341125339142952,1.8540169366132944,48.25627115352158,67.21063310623066,69.99081808570324,19.755607460943658,27.524740332032543,0.7514092244235637,0.7595637686612254,19.76989231061822,27.535218674716962
"C1, hardcut",ArN2_C1_hardcut_over_ArCF4_95_5_VIS,C1_spectrum,trapz,1.0,100.0,0.24104137599761613,0.22070633429590072,relative_to_anchor,1.0921361943080992,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,274.7848799188457,77.56077686121692,108.06249553582386,2.950042579161071,2.982057427971629,77.61685937046376,108.10363364815112,112.5753680241681,31.7755220082364,44.271632442615605,1.2085895305961045,1.2217055484357593,31.79849819644604,44.28848612880252
"C1, gaussian",ArN2_C1_gaussian_over_ArCF4_95_5_VIS,C1_spectrum,gaussian_fit,1.0,100.0,0.1663124466075109,0.22070633429590072,relative_to_anchor,0.7535463227101402,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,189.59460997478826,53.51497230374166,74.56038592832225,2.035454688664993,2.0575441237730394,53.5536678151912,74.58877018426854,77.674153685654,21.924305673864342,30.546305489530035,0.833896176313104,0.8429458965432205,21.940158662004013,30.55793410628722
"C2, hardcut",ArN2_C2_hardcut_over_ArCF4_95_5_VIS,C2_spectrum,trapz,1.0,100.0,0.20037129259418532,0.22070633429590072,relative_to_anchor,0.9078638056919008,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,228.42137100653474,64.4742133999638,89.82948185493494,2.452292028071703,2.4789051214123354,64.52083330006685,89.8636788748772,93.5809128698791,26.41414732758694,36.80183197207308,1.0046683705611443,1.0155713677637743,26.433246822482367,36.8158419936815
"C2, gaussian",ArN2_C2_gaussian_over_ArCF4_95_5_VIS,C2_spectrum,gaussian_fit,1.0,100.0,0.13342565161926684,0.22070633429590072,relative_to_anchor,0.6045392944653016,N2_UV_N2,N2_UV_N2,"$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$","$Y_{\mathrm{N_2,UV}}(100\%\,\mathrm{N_2})$",ph/MeV,152.10397595247952,42.93286640094009,59.81673819607637,1.6329617759609918,1.6506832233530084,42.96391022198423,59.839509719931705,62.31478630063892,17.58897082272392,24.506047488556817,0.6690006850176787,0.676260904221386,17.60168902461316,24.515376650624408
