case,ratio_name,spectrum_column,method,pressure_bar,concentration_percent,ratio,reference_id,matched_reference_id,reference_label,reference_tex_label,unit,value_arcf4_norm,stat_minus_arcf4_norm,stat_plus_arcf4_norm,syst_minus_arcf4_norm,syst_plus_arcf4_norm,total_minus_arcf4_norm,total_plus_arcf4_norm,value_arn2_norm,stat_minus_arn2_norm,stat_plus_arn2_norm,syst_minus_arn2_norm,syst_plus_arn2_norm,total_minus_arn2_norm,total_plus_arn2_norm
"mean, hardcut",ArN2_mean_hardcut_over_ArCF4_95_5_VIS,mean_spectrum,trapz,1.0,100.0,0.22070633429590072,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,330.6365550462123,47.37192382935852,87.90947992446272,31.026124147379335,28.157016831933625,56.62790431318417,92.30869004304688,126.76261009925244,18.161901998988444,33.70357862014141,11.895092717850103,10.795106868100618,21.71054847273811,35.39018994153275
"mean, gaussian",ArN2_mean_gaussian_over_ArCF4_95_5_VIS,mean_spectrum,gaussian_fit,1.0,100.0,0.15653921390185654,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,234.5088398992693,33.599233755223224,62.35109167028572,22.005734905372755,19.970778341064126,40.1641740567844,65.47129615353806,89.90824572565553,12.881596130687099,23.904758872044514,8.43676947144393,7.656588328151076,15.398525838158053,25.10101275959538
"C1, hardcut",ArN2_C1_hardcut_over_ArCF4_95_5_VIS,C1_spectrum,trapz,1.0,100.0,0.24104137599761613,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,361.10014892731067,51.736592608048774,96.00912484830695,33.884753150449484,30.751297205897078,61.84538390824415,100.81366144517915,138.44203457435898,19.8352705305719,36.808898088765055,12.991061291814797,11.789726932076631,23.710875785357715,38.65090735858635
"C1, gaussian",ArN2_C1_gaussian_over_ArCF4_95_5_VIS,C1_spectrum,gaussian_fit,1.0,100.0,0.17320554660937898,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,259.4764007499756,37.1764588768049,68.98945411348622,24.348629636123235,22.097016412433476,44.440351706257516,72.44185884699655,99.48054840345559,14.253066968994526,26.44983786358957,9.335010899153596,8.471765850132906,17.037967792843116,27.773453865690787
"C2, hardcut",ArN2_C2_hardcut_over_ArCF4_95_5_VIS,C2_spectrum,trapz,1.0,100.0,0.20037129259418532,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,300.172961165114,43.00725505066828,79.80983500061846,28.167495144309186,25.562736457970168,51.41042471812418,83.80371864091461,115.0831856241459,16.48853346740499,30.598259151517762,10.799124143885411,9.800486804124603,19.710221160118504,32.129472524479155
"C2, gaussian",ArN2_C2_gaussian_over_ArCF4_95_5_VIS,C2_spectrum,gaussian_fit,1.0,100.0,0.13987812345128375,ArCF4_VIS_95_5,ArCF4_VIS_95_5,"$Y_{\mathrm{ArCF_4,VIS}}(95/5)$","$Y_{\mathrm{ArCF_4,VIS}}(95/5)$",ph/MeV,209.5491323880878,30.023133820182775,55.7148172690236,19.663577112759782,17.845209060274072,35.889341443582566,58.50292599285592,80.33895393640051,11.510556677175567,21.36048041402204,7.53881057813757,6.841667213508811,13.75959955636464,22.429412247721082
