concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.91880053669168,0.30331506771243344,2141.726358234597,2.757201627857647,0.0,0.0,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,55.00192158159572,0.21139892475366637,1730.3106949625312,1.1857029184002839,0.011375113040185836,0.00304012683801428,0.010562604965886848,0.002929539523613507
20.0,10.0,0.57,0.05,180212.52,180055.68,7.23866466103465,0.006337774008789344,36.07247154637203,0.014148013642756762,0.002130817548081565,0.0001087378276618374,0.07004507788914999,0.0006234423947655403
20.0,29.0,0.57,1.0,15804.8,18574.8,6.149397651346427,0.019725216860853153,287.5162608827698,0.1348766292116037,0.0006327191739218466,0.0002000833708853247,0.0,0.0
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,531.9744423662652,0.6499989949381377,708.0290521517097,0.7498818466802496,0.12548496364509992,0.009983047688238593,0.010324712198647463,0.002863559941279382
100.0,10.0,0.57,0.025,34679.38,34468.1,44.0711742828159,0.03564853188483437,0.0,0.0,0.012456970107308724,0.0005993362537284845,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,79.09606714061366,0.11557047817774985,0.0,0.0,0.012158260017899662,0.0014328646843476875,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,1001.4728994486608,0.8526388694047853,0.0,0.0,0.28311029323693065,0.01433584695938202,0.0,0.0
