concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.93058189333731,0.30345293917695804,1179.3762739792185,2.0464984041923175,2.901299014907776,0.10150360391733217,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,54.82880476380622,0.21073355328872245,975.932314037337,0.8890765382493263,5.8486542263634105,0.06882675180652828,0.010529359499061672,0.002920318890127745
20.0,10.0,0.57,0.05,180212.52,180055.68,7.244970000390991,0.0063432946148348655,22.176556718455092,0.01109797251042779,0.6381414904545083,0.0018825870985652235,0.0701060916267679,0.0006239854529195237
20.0,29.0,0.57,1.0,15804.8,18574.8,5.232357818119173,0.016783658905743903,112.81585804423197,0.07793328850367615,0.5055236126364753,0.00521685360612255,0.0,0.0
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,521.0086059912136,0.6366002636180114,405.8412465308459,0.561852680620009,54.952645268882776,0.20674673849404562,0.01011188410847407,0.002804532049588671
100.0,10.0,0.57,0.025,34679.38,34468.1,44.34131849449201,0.03586704760855072,0.0,0.0,3.3751787885029927,0.009895545029386967,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,49.7508205079183,0.07269294572654163,0.0,0.0,5.445092353609704,0.024048875238983514,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,974.8580376549997,0.8299793788867643,0.0,0.0,100.99324177268501,0.267142367392574,0.0,0.0
