concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4
67.0,50.7,0.05,1.0,,,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,531.9744423662652,0.6499989949381377
20.0,10.0,0.57,0.05,180212.52,180055.68,7.23866466103465,0.006337774008789344
20.0,29.0,0.57,1.0,15804.8,18574.8,6.149397651346427,0.019725216860853153
10.0,38.7,0.05,1.0,,,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,55.00192158159572,0.21139892475366637
5.0,37.8,0.05,1.0,,,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.91880053669168,0.30331506771243344
100.0,10.0,0.57,0.025,,,0.0,0.0
100.0,12.3,0.57,0.05,901686.42,902162.22,46.222531553707995,0.00715977046215707
100.0,43.0,0.57,1.0,5921.9,9414.9,79.09606714061366,0.11557047817774985
100.0,55.9,0.05,1.0,,,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,1001.4728994486608,0.8526388694047853
