concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_dbleStar,ErrAr_dbleStar
5.0,65.0,0.05,1.0,1000.0,281.726,281.598,166.50028609365592,166.97782484506735,1000,332110.0,576.2898576237483
10.0,78.0,0.05,1.0,1000.0,1230.757,1234.643,739.812542844165,742.7529505134911,1000,1204928.0,1097.692124413763
20.0,10.0,0.57,0.05,50.0,180212.52,180055.68,83057.0628554433,82985.07610000778,50,3993015.0,1998.2529869863827
20.0,29.0,0.57,1.0,50.0,15804.8,18574.8,14078.782565641544,16525.60365750365,50,2095532.0,1447.5952472980837
67.0,88.0,0.05,1.0,1000.0,1259.115,1285.616,771.721319888579,788.498333648313,1000,521756.0,722.3267958479735
100.0,12.3,0.57,0.05,50.0,901686.42,902162.22,462409.86015787785,462643.348161732,50,0.0,0.0
100.0,95.0,0.05,1.0,1000.0,1377.555,1415.164,839.7829447954806,862.95509187593,1000,0.0,0.0
100.0,43.0,0.57,1.0,50.0,5921.9,9414.9,6424.093476109755,10221.003180226688,50,0.0,0.0
