fN2,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.03637883980950453,0.02317944720578545,0.02317937317938536,5.858136722166826e-05,0.02463166271969911,0.015694501149865557,0.01569446703628771,3.2722927890272216e-05,0.014456153744551224,0.00921099896420417,0.009210974955170943,2.1030781819560487e-05,0.013280955492793692,0.00846220827711885,0.008462178155166008,2.2578652971536745e-05,0.012042650609148197,0.007673210401872259,0.007673171931818139,2.4297657478300483e-05
0.1,0.039314183386987056,0.022063868700189563,0.022063777298128872,6.350872206064076e-05,0.03232770579770588,0.018142903067007776,0.018142849217010672,4.420393257796584e-05,0.020305754255849365,0.011395936346523522,0.01139592892879183,1.3002459051917811e-05,0.019042089040393378,0.010686755625061693,0.010686738873417525,1.8921975966066512e-05,0.011310966514162406,0.006347953179529739,0.006347903598518526,2.5089308824062517e-05
0.5,0.03253154405570745,0.0061027306829625535,0.006102707779712535,1.671957561370785e-05,0.018853365189158672,0.003538347046275921,0.0035367696724328762,0.00010564139363231778,0.012380055535418166,0.002322485175204324,0.002322418545516735,1.7592284780393146e-05,0.011435983287084072,0.00214560374156908,0.0021453166826400976,3.509625366503871e-05,0.012011816288570192,0.002253484757439016,0.0022533392385927727,2.5609135637977634e-05
1.0,0.024252184632276505,0.0036245841638671964,0.0036242959106663783,4.5711189919242154e-05,0.016958251051441678,0.0025347918836461955,0.0025342756073197764,5.1157008733947185e-05,0.013456169714552556,0.0020113106661287625,0.0020109174331775542,3.9770247999255416e-05,0.01228365269790107,0.0018356983453411445,0.001835694099978073,3.947960727829561e-06,0.007726271773049089,0.001154648199776549,0.0011546298041328394,6.517718572200161e-06
2.0,0.01869395293731136,0.0012751104904301699,0.0012751066220370339,3.140898338556755e-06,0.014297595116592674,0.0009758432885370572,0.0009752329148098159,3.450921115251068e-05,0.010337357251926502,0.0007054443373856006,0.0007051067652997856,2.182115207504179e-05,0.005881628296745652,0.0004013626593523007,0.0004011833781057662,1.1995059566203854e-05,0.009923103293772318,0.0006768726681120951,0.0006768506780496043,5.45604810987723e-06
5.0,0.009778059256513445,0.0010618869136263813,0.0010618843650830546,2.3264829936758477e-06,0.004142336068146624,0.0004499203597710935,0.00044985224473398713,7.828668107865994e-06,0.007885153047448416,0.0008568750803856278,0.0008563172422784101,3.0914138554630384e-05,0.00024089134032283902,2.616141387950754e-05,2.6160482490666957e-05,2.2075332477085774e-07,0.005588092809362566,0.0006068920986546209,0.0006068595238817361,6.287899764040837e-06
10.0,0.004708949283830177,0.0005108388039573989,0.0005107986853787849,6.40208121871098e-06,0.0018305538158736455,0.00019874949157834795,0.0001985675415690244,8.502460695914327e-06,0.005047136118618928,0.0005491492858413691,0.0005474831727687188,4.274475026459909e-05,0.005744976119077685,0.0006235633864007368,0.0006231806868751201,2.1843268194298923e-05,0.0021384977153895224,0.00023197147476629467,0.00023197145602256545,9.3252456645921e-08
20.0,0.0006925976032901317,7.561574424457263e-05,7.51288501814867e-05,8.56718437226286e-06,0.002902988586639092,0.0003152144844376101,0.0003148988583964418,1.4102488428856383e-05,0.00048340960424865656,5.243855935060732e-05,5.243738580867619e-05,3.5082234708082045e-07,0.0014899330043929072,0.00016178963090549277,0.0001616190309289827,7.427887324947197e-06,0.001111399200548118,0.00012062343400177477,0.00012055794538293538,3.974246523013279e-06
50.0,0.0013439481314454628,0.00014578390505122157,0.00014578346407698837,3.5857174599614097e-07,,,,,0.005712904828346596,0.0006202328387013366,0.0006197017848618633,2.5660710094210695e-05,0.0021197913259659576,0.0002299461492768412,0.00022994229865649405,1.3307350656772878e-06,0.003231036729953088,0.0003504874203424582,0.00035048356110732864,1.6447528192373682e-06
100.0,,,,,,,,,0.008884869427421893,0.0008324337582100864,0.0008310938223574613,4.721250096143253e-05,0.005634365939573921,0.0005280967431186099,0.0005270405787651452,3.338260665951319e-05,0.0026537282138422514,0.0002489306203368516,0.00024823067381643673,1.865439138453882e-05
