fN2,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.16917707792657039,0.028713843062946713,0.024073351938891187,0.01565115043278982,0.0775811172363708,0.013061712031102277,0.011039542483729153,0.006981176328770183,0.047275448424541254,0.007914494229479995,0.0067271436647395695,0.004169503210506791,0.03849224753383872,0.006339594898786003,0.005477322537768464,0.0031920841621058717,0.02834337425309674,0.004722550483703316,0.004033170639267449,0.0024568308174714483
0.1,0.6434230624065544,0.26977407200907355,0.2627576157399187,0.061126796898169244,0.33571052351983366,0.14060655342722006,0.13709564032247035,0.031224802181175404,0.16539264040084536,0.0692642105288945,0.06754214822532476,0.015348911143767824,0.11805411915067676,0.04943282861891547,0.04821030001673765,0.01092572732422032,0.08853798033888052,0.03704989443650951,0.036156659553450064,0.00808644839793133
0.5,1.2806294163235985,0.2844622534654935,0.25741465978751765,0.12106389458935807,0.584896819969103,0.12998269978462085,0.11756798180958136,0.05543709855792256,0.3654367857997697,0.08116216531092445,0.07345511878099925,0.034520176749650605,0.2895387888385363,0.06424628262273026,0.05819913854401778,0.027211120954013568,0.16854516317046103,0.03726228535122586,0.03387865004765188,0.015514992121974103
1.0,1.3190969602583116,0.28261335900787143,0.2536192697454848,0.12468992222100006,0.6333370206444033,0.13599034288288803,0.12177002716097533,0.06054282651661369,0.39959608593574136,0.0854960998954888,0.07682927833320972,0.03750793366925978,0.30192669718182963,0.06470080857581045,0.05805064431421827,0.028571267473946366,0.2715241218443662,0.058136161434808736,0.05220522188677243,0.025581791847464466
2.0,1.3665547424498503,0.2321885908518527,0.19262089467197527,0.12964849654946586,0.6842690832357667,0.11632578880590523,0.09645023277512987,0.0650310828676513,0.43562209108973104,0.07405899435695945,0.06140252879599518,0.04140608774831467,0.3152788991677097,0.05371323864205686,0.04443971525063758,0.030169914051266372,0.2406656552514585,0.040723509506628425,0.03392270531969144,0.022531184840789753
5.0,1.1776815250176509,0.24894576646688538,0.22243512937298143,0.11178822774608266,0.6548060656629292,0.13841700685619834,0.12367679108132704,0.062155604211162174,0.4403615527580905,0.09330522306548389,0.08317348695536747,0.04228517138412738,0.33450389433216365,0.07074604493438953,0.06317957396030795,0.03183306940985492,0.2605131492172221,0.0550543453749743,0.04920453859427497,0.024696038678125268
10.0,1.1446633653520109,0.1424555026709896,0.09171367100717849,0.10900537964537049,0.6621982648804244,0.08212679724102129,0.05305720061032178,0.06268767253985341,0.47484187643911535,0.059047559452020046,0.03804567609515121,0.045156846742245876,0.37033198098238995,0.045596913088356575,0.029672047254531216,0.03462149758332256,0.23230078533232146,0.028752660067331362,0.018612596895792057,0.02191544427435281
20.0,0.7513101772227776,0.09316780641554852,0.06019709943015846,0.0711094183106622,0.4392879117419365,0.05439588073974834,0.03519699173961133,0.04147389074990018,0.32070358609592176,0.0397276329051241,0.02569567968743243,0.03029879307241745,0.25226987209267265,0.03112585134105468,0.0202125766880076,0.023670030953440835,0.17260797560292312,0.02132300217624531,0.013829839904759536,0.01622978588943437
50.0,0.40082761178176207,0.04936672521899439,0.0321154435708184,0.037492290448801285,0.23161258357551684,0.028711613286382533,0.01855745622175578,0.021908390084266705,0.18229809518497597,0.02216208789101067,0.01460623973222786,0.01666781031130274,0.13199071802741055,0.01630538164290343,0.010575470182401195,0.012410676892977084,0.10445150431506614,0.012777762261594125,0.008368950376961615,0.009655665590821434
100.0,0.2191422957215065,0.036399513128463956,0.031041989202889544,0.019008405044003793,0.12854967709402138,0.011525748659154442,0.0,0.011525748659154442,0.07993170435087307,0.013213422897516872,0.011322502099647637,0.006811423556944467,0.06833203221746137,0.011320027099157646,0.009679382974985265,0.0058696302054924085,0.05043392690240896,0.008367316237646858,0.00714407690769781,0.004355932294892527
