concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_772,ErrAr_772
1.0,65.8,0.1059,0.05,100.0,112.09,106.23,114.66755593383154,110.21419503802034,100,1738.0,41.689327171351664
1.0,65.8,0.1059,0.05,,112.09,106.23,114.66755593383154,110.21419503802034,100,1738.0,41.689327171351664
1.0,43.3,0.1078,0.05,100.0,133.17,128.05,102.34513356108519,99.1383458413626,100,2517.0,50.16971197844373
1.0,43.3,0.1078,0.05,,133.17,128.05,102.34513356108519,99.1383458413626,100,2517.0,50.16971197844373
1.0,100.0,0.1112,0.05,100.0,108.07,101.06,118.73867877984765,111.73822401967334,100,1299.0,36.0416425818802
1.0,100.0,0.1112,0.05,,108.07,101.06,118.73867877984765,111.73822401967334,100,1299.0,36.0416425818802
1.0,31.6,0.1143,0.05,100.0,128.21,124.03,83.63621261514692,81.84926463452265,100,2781.0,52.73518749374084
1.0,31.6,0.1143,0.05,,128.21,124.03,83.63621261514692,81.84926463452265,100,2781.0,52.73518749374084
1.0,28.5,0.118,0.05,100.0,125.01,121.53,73.18752653563338,71.78903647198337,100,2844.0,53.32916650389353
1.0,28.5,0.118,0.05,,125.01,121.53,73.18752653563338,71.78903647198337,100,2844.0,53.32916650389353
1.0,18.7,0.1399,0.05,100.0,109.11,106.98,58.09586208947408,57.57278748320128,100,3056.0,55.281099844341014
1.0,18.7,0.1399,0.05,,109.11,106.98,58.09586208947408,57.57278748320128,100,3056.0,55.281099844341014
1.0,12.3,0.1807,0.05,100.0,91.3,90.11,42.036419995768036,41.97086411242249,100,3320.0,57.619441163551734
1.0,12.3,0.1807,0.05,,91.3,90.11,42.036419995768036,41.97086411242249,100,3320.0,57.619441163551734
1.0,11.1,0.1957,0.05,100.0,90.07,88.81,40.60782006590665,40.60917321855924,100,3405.0,58.35237784358063
1.0,11.1,0.1957,0.05,,90.07,88.81,40.60782006590665,40.60917321855924,100,3405.0,58.35237784358063
1.0,8.1,0.2562,0.05,100.0,72.19,71.11,32.83496996382443,32.80579371102155,100,3306.0,57.4978260458602
1.0,8.1,0.2562,0.05,,72.19,71.11,32.83496996382443,32.80579371102155,100,3306.0,57.4978260458602
1.0,6.6,0.3175,0.05,100.0,79.46,78.46,39.131330287903715,39.1878202063505,100,4228.0,65.02307282803544
1.0,6.6,0.3175,0.05,,79.46,78.46,39.131330287903715,39.1878202063505,100,4228.0,65.02307282803544
1.0,5.3,0.4023,0.05,100.0,82.31,81.32,38.47226339202114,38.47992523985262,100,5000.0,70.71067811865476
1.0,5.3,0.4023,0.05,,82.31,81.32,38.47226339202114,38.47992523985262,100,5000.0,70.71067811865476
1.0,4.1,0.57,0.05,100.0,81.03,80.05,47.0064373412318,47.00835408239001,100,6155.0,78.45380806563821
1.0,4.1,0.57,0.05,,81.03,80.05,47.0064373412318,47.00835408239001,100,6155.0,78.45380806563821
1.0,3.9,0.6076,0.05,100.0,82.84,81.85,48.20510053066705,48.21089507611743,100,6512.0,80.69696400732806
1.0,3.9,0.6076,0.05,,82.84,81.85,48.20510053066705,48.21089507611743,100,6512.0,80.69696400732806
1.0,3.5,0.7054,0.05,100.0,75.28,74.3,47.27548321414931,47.27065846288954,100,6390.0,79.93747556684536
1.0,3.5,0.7054,0.05,,75.28,74.3,47.27548321414931,47.27065846288954,100,6390.0,79.93747556684536
1.0,2.3,1.3952,0.05,100.0,111.59,110.76,71.34594833229384,71.43480746227091,100,13534.0,116.33572108342304
1.0,2.3,1.3952,0.05,,111.59,110.76,71.34594833229384,71.43480746227091,100,13534.0,116.33572108342304
1.0,2.3,1.3967,0.05,100.0,105.4,104.51,65.99647985715112,66.06050104245197,100,12539.0,111.97767634667188
1.0,2.3,1.3967,0.05,,105.4,104.51,65.99647985715112,66.06050104245197,100,12539.0,111.97767634667188
1.0,1.5,3.145,0.05,100.0,136.95,136.51,107.40232819175803,107.75828684532055,100,24527.0,156.61098301204805
1.0,1.5,3.145,0.05,,136.95,136.51,107.40232819175803,107.75828684532055,100,24527.0,156.61098301204805
1.0,1.4,3.9348,0.05,100.0,122.6,122.44,89.27315929044389,89.78057651403181,100,25180.0,158.6820720812531
1.0,1.4,3.9348,0.05,,122.6,122.44,89.27315929044389,89.78057651403181,100,25180.0,158.6820720812531
1.0,1.0,8.1726,0.05,100.0,90.2,90.97,92.77723945891127,94.40536440416311,100,27589.0,166.09936784948943
1.0,1.0,8.1726,0.05,,90.2,90.97,92.77723945891127,94.40536440416311,100,27589.0,166.09936784948943
1.0,0.8,13.8938,0.05,100.0,77.86,80.08,76.16449768147038,79.02188419557068,100,32031.0,178.97206485929584
1.0,0.8,13.8938,0.05,,77.86,80.08,76.16449768147038,79.02188419557068,100,32031.0,178.97206485929584
1.0,730.5,0.0036,1.0,100.0,21.13,19.55,16.922673213380584,16.42329892179849,100,425.0,20.615528128088304
1.0,533.7,0.0046,1.0,100.0,40.45,38.76,22.642756997425124,22.08849053560279,100,965.0,31.064449134018133
1.0,389.9,0.006,1.0,100.0,63.32,61.7,31.574788561877543,31.297368140552212,100,1646.0,40.570925550201586
1.0,316.2,0.0074,1.0,100.0,84.37,82.66,40.77993540104167,40.55329950830266,100,2623.0,51.21523210920751
1.0,284.8,0.008,1.0,100.0,87.39,85.93,42.432333535794726,42.29890153073802,100,2835.0,53.24471804789655
1.0,231.0,0.0096,1.0,100.0,97.97,96.72,37.99507012146909,37.911401232799925,100,3462.0,58.8387627334226
1.0,208.1,0.0107,1.0,100.0,101.78,100.55,46.48222860145128,46.418251156242846,100,4110.0,64.10928169929842
1.0,168.8,0.0129,1.0,100.0,106.21,105.07,49.67638607359974,49.57134538045425,100,4696.0,68.52736679604726
1.0,152.0,0.0146,1.0,100.0,109.42,108.29,61.05274752046775,61.016357303479346,100,5122.0,71.56814934033156
1.0,123.3,0.0179,1.0,100.0,101.31,100.27,46.58167476854417,46.54396314293084,100,5504.0,74.18894796396563
1.0,111.0,0.0204,1.0,100.0,103.88,102.89,44.66469466474555,44.665059898734896,100,6289.0,79.30321557162736
1.0,81.1,0.0298,1.0,100.0,103.19,102.21,59.604029251639545,59.62310835997273,100,7583.0,87.08042259888269
1.0,65.8,0.0393,1.0,100.0,86.17,85.24,63.86302497999887,63.868254551020414,100,7667.0,87.56140702387097
1.0,59.3,0.0456,1.0,100.0,94.61,93.72,61.649529969453496,61.77608311024943,100,8907.0,94.37690395430441
1.0,48.1,0.0638,1.0,100.0,108.64,107.78,70.48540503701687,70.56089568592508,100,12475.0,111.69153951844338
1.0,43.3,0.075,1.0,100.0,93.34,92.55,61.07955071176862,61.25346825884534,100,11692.0,108.12955192730617
1.0,35.1,0.1129,1.0,100.0,114.39,113.72,77.95011289927746,78.32876582428422,100,17832.0,133.53651186098878
1.0,31.6,0.1361,1.0,100.0,111.17,110.55,79.87946158956245,80.17762792825702,100,19424.0,139.37001112147476
1.0,25.7,0.2222,1.0,100.0,115.82,115.86,90.57040121230322,91.39524776010684,100,25892.0,160.90991268408544
1.0,18.7,0.501,1.0,100.0,120.76,122.62,119.25603726538303,121.6189429025235,100,40178.0,200.44450603596
1.0,13.7,1.3416,1.0,100.0,87.07,93.72,88.55829045369387,96.23236608765411,100,49084.0,221.54909162530998
1.0,10.2,4.2352,1.0,100.0,27.05,38.84,40.761284612145424,58.13493881575099,100,34227.0,185.00540532643905
1.0,1182.3,0.0018,10.0,100.0,82.01,81.0,41.57128355200999,41.53129524645824,100,4685.0,68.4470598345904
1.0,1021.2,0.0022,10.0,100.0,87.65,86.66,46.09900960832767,46.11409215141826,100,5722.0,75.64390259630977
1.0,882.0,0.0026,10.0,100.0,95.21,94.21,54.798859938004654,54.798859938004654,100,6876.0,82.92164976651152
1.0,761.8,0.0032,10.0,100.0,99.04,98.12,61.75839533164211,61.77546176895545,100,7882.0,88.78062851771213
1.0,657.9,0.004,10.0,100.0,103.92,102.99,61.91256134683214,61.93112743568088,100,9143.0,95.61903576171431
1.0,562.3,0.0046,10.0,100.0,70.07,69.17,46.6695356260972,46.68031293984238,100,7055.0,83.99404740813482
1.0,592.6,0.0047,10.0,100.0,109.64,108.67,65.06942989661663,65.1087753399081,100,10591.0,102.91258426451063
1.0,568.3,0.005,10.0,100.0,104.33,103.38,66.40875185720873,66.41646686407724,100,10341.0,101.69070754006975
1.0,533.7,0.0055,10.0,100.0,97.41,96.51,71.1280102237075,71.2866591851363,100,10390.0,101.93134944657605
1.0,501.2,0.0056,10.0,100.0,72.17,71.26,55.86727688247053,55.893227937675334,100,8138.0,90.21086409075129
1.0,490.8,0.0062,10.0,100.0,109.39,108.57,74.49369778780625,74.60661207732574,100,12702.0,112.70314991161516
1.0,480.6,0.0065,10.0,100.0,112.19,111.33,78.11655303830207,78.1954369745215,100,12970.0,113.8859078200635
1.0,446.7,0.007,10.0,100.0,77.95,77.14,59.60380555269636,59.70889313320018,100,9627.0,98.1172767661231
1.0,432.9,0.0077,10.0,100.0,94.12,93.31,61.565482917530076,61.733983732420405,100,11917.0,109.16501271011697
1.0,423.9,0.008,10.0,100.0,95.94,95.16,67.5881496994701,67.71474929974468,100,12349.0,111.12605455067681
