file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.0_cf4_1.0_18.7kVcm_0.050bar_0.1399mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,18.7,0.1399,0.05,100.0,109.11,58.09586208947408,106.98,57.57278748320128,100,0.0,0.0,753.0,27.440845468024488,1408.0,37.52332607858744,3801.0,61.652250567193406,45.0,6.708203932499369,112.0,10.583005244258363,3056.0,55.281099844341014,3056.0,55.281099844341014,3020.0,54.954526656136345,3407.0,58.36951259004995,3056.0,55.281099844341014,3223.0,56.77147170894903
ar_99.0_cf4_1.0_18.7kVcm_0.050bar_0.1399mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,18.7,0.1399,0.05,,109.11,58.09586208947408,106.98,57.57278748320128,100,0.0,0.0,753.0,27.440845468024488,1408.0,37.52332607858744,3801.0,61.652250567193406,45.0,6.708203932499369,112.0,10.583005244258363,3056.0,55.281099844341014,3056.0,55.281099844341014,3020.0,54.954526656136345,3407.0,58.36951259004995,3056.0,55.281099844341014,3223.0,56.77147170894903
ar_99.0_cf4_1.0_12.3kVcm_0.050bar_0.1807mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,12.3,0.1807,0.05,100.0,91.3,42.036419995768036,90.11,41.97086411242249,100,0.0,0.0,1024.0,32.0,1510.0,38.8587184554509,4180.0,64.65291950097846,40.0,6.324555320336759,19.0,4.358898943540674,3320.0,57.619441163551734,3320.0,57.619441163551734,3275.0,57.227615711297986,3705.0,60.868711174132805,3320.0,57.619441163551734,3502.0,59.177698502053964
ar_99.0_cf4_1.0_12.3kVcm_0.050bar_0.1807mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,12.3,0.1807,0.05,,91.3,42.036419995768036,90.11,41.97086411242249,100,0.0,0.0,1024.0,32.0,1510.0,38.8587184554509,4180.0,64.65291950097846,40.0,6.324555320336759,19.0,4.358898943540674,3320.0,57.619441163551734,3320.0,57.619441163551734,3275.0,57.227615711297986,3705.0,60.868711174132805,3320.0,57.619441163551734,3502.0,59.177698502053964
ar_99.0_cf4_1.0_11.1kVcm_0.050bar_0.1957mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,11.1,0.1957,0.05,100.0,90.07,40.60782006590665,88.81,40.60917321855924,100,0.0,0.0,1046.0,32.341923257592455,1589.0,39.8622628559895,4342.0,65.89385403814228,61.0,7.810249675906654,27.0,5.196152422706632,3405.0,58.35237784358063,3405.0,58.35237784358063,3365.0,58.008620049092706,3822.0,61.82232606429493,3405.0,58.35237784358063,3612.0,60.09991680526688
ar_99.0_cf4_1.0_11.1kVcm_0.050bar_0.1957mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,11.1,0.1957,0.05,,90.07,40.60782006590665,88.81,40.60917321855924,100,0.0,0.0,1046.0,32.341923257592455,1589.0,39.8622628559895,4342.0,65.89385403814228,61.0,7.810249675906654,27.0,5.196152422706632,3405.0,58.35237784358063,3405.0,58.35237784358063,3365.0,58.008620049092706,3822.0,61.82232606429493,3405.0,58.35237784358063,3612.0,60.09991680526688
ar_99.0_cf4_1.0_8.1kVcm_0.050bar_0.2562mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,8.1,0.2562,0.05,100.0,72.19,32.83496996382443,71.11,32.80579371102155,100,0.0,0.0,1204.0,34.698703145794944,1572.0,39.64845520319802,4326.0,65.7723346096214,43.0,6.557438524302,9.0,3.0,3306.0,57.4978260458602,3306.0,57.4978260458602,3256.0,57.06137047074842,3732.0,61.09009739720506,3306.0,57.4978260458602,3517.0,59.30430001273095
ar_99.0_cf4_1.0_8.1kVcm_0.050bar_0.2562mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,8.1,0.2562,0.05,,72.19,32.83496996382443,71.11,32.80579371102155,100,0.0,0.0,1204.0,34.698703145794944,1572.0,39.64845520319802,4326.0,65.7723346096214,43.0,6.557438524302,9.0,3.0,3306.0,57.4978260458602,3306.0,57.4978260458602,3256.0,57.06137047074842,3732.0,61.09009739720506,3306.0,57.4978260458602,3517.0,59.30430001273095
ar_99.0_cf4_1.0_6.6kVcm_0.050bar_0.3175mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,6.6,0.3175,0.05,100.0,79.46,39.131330287903715,78.46,39.1878202063505,100,0.0,0.0,1681.0,41.0,2044.0,45.21061822182926,5531.0,74.3706931526122,33.0,5.744562646538029,2.0,1.4142135623730951,4228.0,65.02307282803544,4228.0,65.02307282803544,4160.0,64.4980619863884,4794.0,69.23871749245504,4228.0,65.02307282803544,4518.0,67.21606950722423
ar_99.0_cf4_1.0_6.6kVcm_0.050bar_0.3175mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,6.6,0.3175,0.05,,79.46,39.131330287903715,78.46,39.1878202063505,100,0.0,0.0,1681.0,41.0,2044.0,45.21061822182926,5531.0,74.3706931526122,33.0,5.744562646538029,2.0,1.4142135623730951,4228.0,65.02307282803544,4228.0,65.02307282803544,4160.0,64.4980619863884,4794.0,69.23871749245504,4228.0,65.02307282803544,4518.0,67.21606950722423
