concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_1s2_1s3,ErrAr_1s2_1s3
1.0,65.8,0.1059,0.05,100.0,112.09,106.23,114.66755593383154,110.21419503802034,100,1065.0,32.63433774416144
1.0,65.8,0.1059,0.05,,112.09,106.23,114.66755593383154,110.21419503802034,100,1065.0,32.63433774416144
1.0,43.3,0.1078,0.05,100.0,133.17,128.05,102.34513356108519,99.1383458413626,100,1268.0,35.608987629529715
1.0,43.3,0.1078,0.05,,133.17,128.05,102.34513356108519,99.1383458413626,100,1268.0,35.608987629529715
1.0,100.0,0.1112,0.05,100.0,108.07,101.06,118.73867877984765,111.73822401967334,100,257.0,16.0312195418814
1.0,100.0,0.1112,0.05,,108.07,101.06,118.73867877984765,111.73822401967334,100,257.0,16.0312195418814
1.0,31.6,0.1143,0.05,100.0,128.21,124.03,83.63621261514692,81.84926463452265,100,1435.0,37.881393849751625
1.0,31.6,0.1143,0.05,,128.21,124.03,83.63621261514692,81.84926463452265,100,1435.0,37.881393849751625
1.0,28.5,0.118,0.05,100.0,125.01,121.53,73.18752653563338,71.78903647198337,100,1458.0,38.18376618407357
1.0,28.5,0.118,0.05,,125.01,121.53,73.18752653563338,71.78903647198337,100,1458.0,38.18376618407357
1.0,18.7,0.1399,0.05,100.0,109.11,106.98,58.09586208947408,57.57278748320128,100,1408.0,37.52332607858744
1.0,18.7,0.1399,0.05,,109.11,106.98,58.09586208947408,57.57278748320128,100,1408.0,37.52332607858744
1.0,12.3,0.1807,0.05,100.0,91.3,90.11,42.036419995768036,41.97086411242249,100,1510.0,38.8587184554509
1.0,12.3,0.1807,0.05,,91.3,90.11,42.036419995768036,41.97086411242249,100,1510.0,38.8587184554509
1.0,11.1,0.1957,0.05,100.0,90.07,88.81,40.60782006590665,40.60917321855924,100,1589.0,39.8622628559895
1.0,11.1,0.1957,0.05,,90.07,88.81,40.60782006590665,40.60917321855924,100,1589.0,39.8622628559895
1.0,8.1,0.2562,0.05,100.0,72.19,71.11,32.83496996382443,32.80579371102155,100,1572.0,39.64845520319802
