concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,CF4,ErrCF4
1.0,389.9,0.006,1.0,100.0,63.32,61.7,31.574788561877543,31.297368140552212,100,0.0,0.0
1.0,316.2,0.0074,1.0,100.0,84.37,82.66,40.77993540104167,40.55329950830266,100,0.0,0.0
1.0,284.8,0.008,1.0,100.0,87.39,85.93,42.432333535794726,42.29890153073802,100,0.0,0.0
1.0,231.0,0.0096,1.0,100.0,97.97,96.72,37.99507012146909,37.911401232799925,100,0.0,0.0
1.0,208.1,0.0107,1.0,100.0,101.78,100.55,46.48222860145128,46.418251156242846,100,0.0,0.0
1.0,168.8,0.0129,1.0,100.0,106.21,105.07,49.67638607359974,49.57134538045425,100,0.0,0.0
1.0,152.0,0.0146,1.0,100.0,109.42,108.29,61.05274752046775,61.016357303479346,100,0.0,0.0
1.0,123.3,0.0179,1.0,100.0,101.31,100.27,46.58167476854417,46.54396314293084,100,0.0,0.0
1.0,111.0,0.0204,1.0,100.0,103.88,102.89,44.66469466474555,44.665059898734896,100,0.0,0.0
1.0,81.1,0.0298,1.0,100.0,103.19,102.21,59.604029251639545,59.62310835997273,100,0.0,0.0
1.0,65.8,0.0393,1.0,100.0,86.17,85.24,63.86302497999887,63.868254551020414,100,0.0,0.0
1.0,59.3,0.0456,1.0,100.0,94.61,93.72,61.649529969453496,61.77608311024943,100,0.0,0.0
1.0,48.1,0.0638,1.0,100.0,108.64,107.78,70.48540503701687,70.56089568592508,100,0.0,0.0
1.0,43.3,0.075,1.0,100.0,93.34,92.55,61.07955071176862,61.25346825884534,100,0.0,0.0
1.0,35.1,0.1129,1.0,100.0,114.39,113.72,77.95011289927746,78.32876582428422,100,0.0,0.0
1.0,31.6,0.1361,1.0,100.0,111.17,110.55,79.87946158956245,80.17762792825702,100,0.0,0.0
1.0,25.7,0.2222,1.0,100.0,115.82,115.86,90.57040121230322,91.39524776010684,100,0.0,0.0
1.0,18.7,0.501,1.0,100.0,120.76,122.62,119.25603726538303,121.6189429025235,100,0.0,0.0
1.0,13.7,1.3416,1.0,100.0,87.07,93.72,88.55829045369387,96.23236608765411,100,0.0,0.0
1.0,10.2,4.2352,1.0,100.0,27.05,38.84,40.761284612145424,58.13493881575099,100,0.0,0.0
1.0,1182.3,0.0018,10.0,100.0,82.01,81.0,41.57128355200999,41.53129524645824,100,0.0,0.0
1.0,1021.2,0.0022,10.0,100.0,87.65,86.66,46.09900960832767,46.11409215141826,100,0.0,0.0
1.0,882.0,0.0026,10.0,100.0,95.21,94.21,54.798859938004654,54.798859938004654,100,0.0,0.0
1.0,761.8,0.0032,10.0,100.0,99.04,98.12,61.75839533164211,61.77546176895545,100,0.0,0.0
1.0,657.9,0.004,10.0,100.0,103.92,102.99,61.91256134683214,61.93112743568088,100,0.0,0.0
1.0,562.3,0.0046,10.0,100.0,70.07,69.17,46.6695356260972,46.68031293984238,100,0.0,0.0
1.0,592.6,0.0047,10.0,100.0,109.64,108.67,65.06942989661663,65.1087753399081,100,0.0,0.0
1.0,568.3,0.005,10.0,100.0,104.33,103.38,66.40875185720873,66.41646686407724,100,0.0,0.0
1.0,533.7,0.0055,10.0,100.0,97.41,96.51,71.1280102237075,71.2866591851363,100,0.0,0.0
1.0,501.2,0.0056,10.0,100.0,72.17,71.26,55.86727688247053,55.893227937675334,100,0.0,0.0
1.0,490.8,0.0062,10.0,100.0,109.39,108.57,74.49369778780625,74.60661207732574,100,0.0,0.0
1.0,480.6,0.0065,10.0,100.0,112.19,111.33,78.11655303830207,78.1954369745215,100,0.0,0.0
1.0,446.7,0.007,10.0,100.0,77.95,77.14,59.60380555269636,59.70889313320018,100,0.0,0.0
1.0,432.9,0.0077,10.0,100.0,94.12,93.31,61.565482917530076,61.733983732420405,100,0.0,0.0
1.0,423.9,0.008,10.0,100.0,95.94,95.16,67.5881496994701,67.71474929974468,100,0.0,0.0
1.0,398.1,0.0086,10.0,100.0,94.85,94.0,65.61155586195363,65.69012040780501,100,0.0,0.0
1.0,389.9,0.009,10.0,100.0,88.79,87.94,66.77147745871886,66.88386135003653,100,0.0,0.0
