parameter_name,value,stat_p16,stat_p84,stat_minus,stat_plus,stat_sigma,syst_p16,syst_p84,syst_minus,syst_plus,syst_sigma,total_sigma_quadrature
PAr_star_696,0.0002323599016484,0.00018915742617785596,0.00032050200440587,4.320247547054404e-05,8.814210275747e-05,6.567228911400702e-05,0.00022949607340325528,0.0002342792365750719,2.863828245144726e-06,1.919334926671893e-06,2.3915815859083095e-06,6.571582168668197e-05
tau_N2_696,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_696,0.0214081899656729,0.01480225004129064,0.034603623274000614,0.00660593992438226,0.013195433308327714,0.009900686616354987,0.020940367160541373,0.021739807550672095,0.0004678228051315271,0.00033161758499919425,0.0003997201950653607,0.009908752278143492
K_Ar_Q_N2_696,2.2709240478314032,1.8722082077487523,3.182393650758736,0.39871584008265093,0.9114696029273328,0.6550927215049919,2.2180250084249318,2.3115607314011783,0.05289903940647145,0.04063668356977512,0.046767861488123286,0.6567600068799783
PAr_star_727,5.399099830447375e-05,4.1340288921544845e-05,7.744047322311212e-05,1.2650709382928907e-05,2.344947491863837e-05,1.805009215078364e-05,5.3971078675224933e-05,5.403061012179175e-05,1.9919629248818006e-08,3.9611817317996916e-08,2.976572328340746e-08,1.805011669353037e-05
tau_N2_727,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_727,0.0226190261629778,0.013315469986226913,0.03816237110389925,0.009303556176750886,0.015543344940921452,0.012423450558836169,0.02252482663496663,0.02275554372514679,9.419952801116918e-05,0.0001365175621689911,0.00011535854509008014,0.012423986130939297
K_Ar_Q_N2_727,1.4096159580850989,0.6065803996260543,2.6365998907681707,0.8030355584590446,1.2269839326830718,1.0150097455710583,1.387328754213741,1.4362992973425575,0.022287203871357963,0.026683339257458583,0.024485271564408273,1.0153050340305654
PAr_star_750,0.0004250346823346,0.0002527857660674013,0.0018690097606725137,0.00017224891626719868,0.0014439750783379137,0.0008081119973025562,0.00039475619820570577,0.0004703960686106484,3.027848412889421e-05,4.536138627604842e-05,3.7819935202471316e-05,0.0008089965065950815
tau_N2_750,21.7,21.7,21.7,0.0,0.0,0.0,21.7,21.7,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_750,0.1863311078110656,0.10349564167221506,0.8145627725308157,0.08283546613885054,0.6282316647197501,0.3555335654293003,0.17053357081247955,0.21018422040856427,0.015797536998586048,0.02385311259749867,0.01982532479804236,0.35608588802453045
K_Ar_Q_N2_750,1.1068003442833447,0.5689664685315033,5.605794134009843,0.5378338757518414,4.498993789726498,2.51841383273917,1.0019981737869657,1.249071258184609,0.10480217049637908,0.14227091390126434,0.12353654219882171,2.5214419505890744
PAr_star_764,0.0006228783652615,0.00038384588351665,0.001681493292263442,0.00023903248174484998,0.001058614927001942,0.000648823704373396,0.0005885575004707685,0.00067791665978481,3.432086479073144e-05,5.503829452331002e-05,4.467957965702073e-05,0.0006503602572383587
tau_N2_764,29.4,29.4,29.4,0.0,0.0,0.0,29.4,29.4,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_764,0.0750942423997791,0.04090112087362128,0.24215409611794136,0.034193121526157826,0.16705985371816226,0.10062648762216005,0.0699112757573609,0.08401647138364961,0.005182966642418199,0.008922228983870503,0.007052597813144351,0.10087333218986423
K_Ar_Q_N2_764,3.4223013756578173,2.1628444251808547,10.012765747398971,1.2594569504769626,6.590464371741154,3.9249606611090586,3.1934632829061727,3.767833876197278,0.22883809275164468,0.3455325005394605,0.2871852966455526,3.935453161436819
PAr_star_772,0.0004355468837408,0.00031859172952065847,0.0006793556007440162,0.00011695515422014151,0.00024380871700321627,0.0001803819356116789,0.00041125179227156927,0.00045301266811160427,2.4295091469230706e-05,1.7465784370804293e-05,2.08804379200175e-05,0.00018158644052557331
tau_N2_772,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_772,0.0215764705715002,0.013108941130678467,0.041040889076125894,0.008467529440821735,0.019464418504625693,0.013965973972723714,0.019794140173985446,0.02299851507877738,0.0017823303975147559,0.0014220445072771794,0.0016021874523959676,0.014057575667212724
K_Ar_Q_N2_772,1.8858373588819703,1.3222916858188283,3.145160779558327,0.5635456730631421,1.2593234206763566,0.9114345468697493,1.7411852744290799,1.9921399000596045,0.14465208445289046,0.10630254117763416,0.1254773128152623,0.9200312436319782
