parameter_name,value,stat_p16,stat_p84,stat_minus,stat_plus,stat_sigma,syst_p16,syst_p84,syst_minus,syst_plus,syst_sigma,total_sigma_quadrature
PAr_star_696,5.617895401765637e-05,5.243526946836307e-05,6.153743521265372e-05,3.743684549293296e-06,5.358481194997353e-06,4.551082872145325e-06,5.301094465483172e-05,6.110556287171089e-05,3.168009362824644e-06,4.9266088540545215e-06,4.047309108439583e-06,6.0904077308824364e-06
tau_Ar_696,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_696,0.01,0.010000000000000002,0.010013699656062646,1.734723475976807e-18,1.3699656062645879e-05,6.849828031323807e-06,0.010000000000000002,0.010000000099999991,1.734723475976807e-18,9.999999092680234e-11,4.999999633076291e-11,6.849828031506293e-06
K_Ar_Q_CF4_696,0.4520608444362192,0.3816198162515086,0.5530542798056526,0.0704410281847106,0.10099343536943339,0.085717231777072,0.37004313083932844,0.5721134391784168,0.08201771359689075,0.12005259474219765,0.1010351541695442,0.13249734413031775
PAr_star_727,0.0199999999999998,0.019999373939942708,0.019999999999999997,6.260600570913433e-07,1.97758476261356e-16,3.1303002864455087e-07,0.019994591457712832,0.019999999999999997,5.408542286967216e-06,1.97758476261356e-16,2.7042711435824873e-06,2.722328087656986e-06
tau_Ar_727,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_727,482.7878924039872,463.49761912392404,503.93298589311377,19.29027328006316,21.145093489126566,20.217683384594864,429.5360960965416,527.933471958779,53.2517963074456,45.14557955479182,49.19868793111871,53.1908414633885
K_Ar_Q_CF4_727,1.1347040841888815e-27,2.6694023395348867e-26,9.999999999982666e-11,2.5559319311159985e-26,9.999999999982666e-11,4.999999999991334e-11,2.252489977549791e-25,2.0396849903909367e-14,2.241142936707902e-25,2.039684990390823e-14,1.0198424952066173e-14,5.0000001039992046e-11
PAr_star_750,0.0199999999999999,0.019999975163146874,0.019999999999999997,2.4836853025622663e-08,9.71445146547012e-17,1.2418426561383589e-08,0.019992342322147336,0.019999999999999997,7.657677852563466e-06,9.71445146547012e-17,3.828838926330305e-06,3.828859065191674e-06
tau_Ar_750,21.7,21.7,21.7,0.0,0.0,0.0,21.7,21.7,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_750,10.915858797367488,10.522746777087669,11.207083741106537,0.39311202027981906,0.2912249437390493,0.34216848200943417,10.688336226933643,11.130411496015629,0.2275225704338446,0.21455269864814142,0.221037634540993,0.4073535392802155
K_Ar_Q_CF4_750,79.73349889783907,75.2640995891026,85.17397676207067,4.46939930873647,5.440477864231596,4.954938586484033,72.27120288885403,91.06567721785677,7.462296008985035,11.332178320017704,9.39723716450137,10.623534379937505
PAr_star_764,0.0199999999999999,0.019999920343971918,0.019999999999999997,7.965602798198912e-08,9.71445146547012e-17,3.982801403956682e-08,0.019996393850532795,0.019999999999999997,3.6061494671051075e-06,9.71445146547012e-17,1.803074733601126e-06,1.8035145593127624e-06
tau_Ar_764,29.4,29.4,29.4,0.0,0.0,0.0,29.4,29.4,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_764,2.6748389633293432,2.548267478648903,2.815327923932197,0.12657148468044044,0.14048896060285365,0.13353022264164705,2.640964219791372,2.683432792934228,0.03387474353797115,0.00859382960488464,0.021234286571427896,0.1352080444534472
K_Ar_Q_CF4_764,120.08189392271316,115.82682201915283,123.26936825172638,4.255071903560335,3.187474329013213,3.721273116286774,109.7997248767363,134.62310609093979,10.282169045976858,14.541212168226622,12.41169060710174,12.95754364578473
PAr_star_772,0.0199999999999999,0.01999373831455912,0.019999999999999993,6.261685440780984e-06,9.367506770274758e-17,3.1308427204373296e-06,0.01998699129357864,0.019999999999999938,1.3008706421260147e-05,3.8163916471489756e-17,6.504353210649155e-06,7.218641619376695e-06
tau_Ar_772,28.3,28.3,28.3,0.0,0.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_772,2.9618492171244712,2.5513188330505687,3.273850339397972,0.4105303840739025,0.31200112227350063,0.3612657531737016,2.538178409758106,3.231484109154606,0.4236708073663653,0.2696348920301346,0.34665284969824994,0.5006806792957756
K_Ar_Q_CF4_772,298.5052370645665,285.9058167973724,307.6220100885294,12.599420267194091,9.116773023962935,10.858096645578513,268.82482163431223,328.4995888827136,29.680415430254243,29.994351818147152,29.837383624200697,31.75165703238877
PAr_star_794,0.0199999999999999,0.019993214208041416,0.019999999999999997,6.785791958483639e-06,9.71445146547012e-17,3.3928959792903918e-06,0.01999764068562601,0.019999999999999997,2.3593143738884215e-06,9.71445146547012e-17,1.179657186992783e-06,3.5921211289582974e-06
tau_Ar_794,29.3,29.3,29.3,0.0,0.0,0.0,29.3,29.3,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_794,592.260914938724,566.0269931452004,607.2959125403743,26.233921793523564,15.034997601650275,20.63445969758692,568.62005239928,618.3774355802328,23.640862539444015,26.116520641508828,24.87869159047642,32.32228677345372
K_Ar_Q_CF4_794,2.5726597313491425e-27,3.946548693381993e-24,9.999999999995823e-11,3.943976033650643e-24,9.999999999995823e-11,4.9999999999981087e-11,1.656827513659192e-24,1.0028597964248579e-13,1.6542548539278429e-24,1.0028597964248321e-13,5.0142989822068737e-14,5.0000025143169044e-11
