x_percent,y_nominal,stat_low,stat_high,syst_low,syst_high,gas,channel,pressure_bar,scale
0.01,251.02962093302273,207.250457436586,324.8360169101683,234.26726105797735,275.35034266501447,ArN2,UV,1.0,ph_per_MeV
0.010092621909870474,253.0204705503071,208.95415786130079,327.25787546201263,236.10308409286193,277.53066352667616,ArN2,UV,1.0,ph_per_MeV
0.010186101701559752,255.02446713486157,210.67009834189227,329.6934299753265,237.95069317914653,279.72532739526986,ArN2,UV,1.0,ph_per_MeV
0.010280447320933098,257.0416557896529,212.3983378624593,332.14269336711067,239.81012357610416,281.9343825728274,ArN2,UV,1.0,ph_per_MeV
0.01037566678745186,259.0720810991534,214.1389352129909,334.6056775504358,241.68141000530144,284.15787678134535,ArN2,UV,1.0,ph_per_MeV
0.010471768194855203,261.11578711715924,215.89194897979044,337.0823934219227,243.5645866396913,286.39585714943587,ArN2,UV,1.0,ph_per_MeV
0.01056875971184804,263.17281735453327,217.6574375357835,339.5728508492782,245.45968709266154,288.64837019889626,ArN2,UV,1.0,ph_per_MeV
0.010666649582795387,265.24321476687504,219.43545903071205,342.0770586588968,247.36674440704124,290.91546183120255,ArN2,UV,1.0,ph_per_MeV
0.010765446128423159,267.3270217421212,221.22607138121558,344.59502462353197,249.2857910440723,293.19717731393064,ArN2,UV,1.0,ph_per_MeV
0.010865157746525383,269.42428008807553,223.029332260797,347.1267554500374,251.21685887234028,295.49356126710296,ArN2,UV,1.0,ph_per_MeV
0.010965792912678098,271.5350310198769,224.84529908967863,349.6722567671925,253.15997915667862,297.8046576494715,ArN2,UV,1.0,ph_per_MeV
0.011067360180959735,273.6593151474003,226.67402902454342,352.1657644999019,255.11518254703688,300.1305097447305,ArN2,UV,1.0,ph_per_MeV
0.011169868184678225,275.7971724625992,228.51557894816563,354.6646737572765,257.0824990673242,302.4711601476681,ArN2,UV,1.0,ph_per_MeV
0.011273325637104871,277.94864232678856,230.37000545893122,357.17596206043135,259.0619581042286,304.8266507502585,ArN2,UV,1.0,ph_per_MeV
0.011377741332214914,280.11376345787244,232.2373648602465,359.69961622592893,261.05358839601166,307.1970227276948,ArN2,UV,1.0,ph_per_MeV
0.011483124145435111,282.2925739175199,234.117713149839,362.2356219415272,263.0574180212885,309.5823165243707,ArN2,UV,1.0,ph_per_MeV
0.011589483034398105,284.4851110982898,236.011106008949,364.78396375827793,265.0734743877883,311.98257183980905,ArN2,UV,1.0,ph_per_MeV
0.011696827039703846,286.69141171070765,237.91759879141364,367.3446250828067,267.10178422110414,314.3978276145437,ArN2,UV,1.0,ph_per_MeV
0.011805165285688056,288.9115117703009,239.83724651264478,369.9175881697757,269.142373553433,316.82812201595704,ArN2,UV,1.0,ph_per_MeV
0.01191450698119776,291.14544658458914,241.77010383849907,372.5028341145327,271.1952677123087,319.2734924240755,ArN2,UV,1.0,ph_per_MeV
0.012024861420374122,293.3932507400412,243.71622507404717,375.1003428459574,273.2604913093332,321.73397541732953,ArN2,UV,1.0,ph_per_MeV
0.012136237983442405,295.6549580889932,245.67566415223678,377.7100931195031,275.3380682289072,324.20960675827826,ArN2,UV,1.0,ph_per_MeV
0.012248646137509308,297.93060173653686,247.64847462245413,380.41897414069894,277.4280216169653,326.7004213793046,ArN2,UV,1.0,ph_per_MeV
0.01236209543736769,300.2202140273793,249.63470963898408,383.173873322938,279.53037386971727,329.2064533682825,ArN2,UV,1.0,ph_per_MeV
0.012476595526308696,302.52382653267784,251.63442194937133,385.9431478132656,281.6451466224008,331.7277359542226,ArN2,UV,1.0,ph_per_MeV
0.012592156136941509,304.841470036854,253.64766388268376,388.7267921402587,283.7723607380496,334.26430149289985,ArN2,UV,1.0,ph_per_MeV
0.012708787092020581,307.17317452438886,255.67448733767714,391.5247995573066,285.91203629627813,336.8161814524639,ArN2,UV,1.0,ph_per_MeV
0.0128264983052806,309.51896916660456,257.7149437708662,394.33716203055315,288.06419258208825,339.38340639904095,ArN2,UV,1.0,ph_per_MeV
0.01294529978227916,311.8788823084361,259.7690841845015,397.16387022697944,290.22884807470234,341.9660059823268,ArN2,UV,1.0,ph_per_MeV
0.013065201621247214,314.2529414551944,261.8369591144529,400.004913502635,292.4060204364242,344.5640089211788,ArN2,UV,1.0,ph_per_MeV
0.013186214013947484,316.64117325932926,263.9186186180061,402.86027989102394,294.595726501536,347.17744298920957,ArN2,UV,1.0,ph_per_MeV
0.013308347246540746,319.0436035071922,266.0141122615664,405.72995609164695,296.7979822652292,349.80633500038635,ArN2,UV,1.0,ph_per_MeV
0.013431611700460153,321.4602571058032,268.12348910827836,408.61392745871217,299.01280287257885,352.4507107946406,ArN2,UV,1.0,ph_per_MeV
0.01355601785329369,323.8911580696284,270.2467977055604,411.5121779900166,301.24020260756356,355.1105952234937,ArN2,UV,1.0,ph_per_MeV
0.013681576279674718,326.33632950737035,272.3840860725551,414.4246903160011,303.4801948821314,357.7860121357009,ArN2,UV,1.0,ph_per_MeV
0.013808297652180923,328.79579360877614,274.5354016875008,417.351445688995,305.73279222532454,360.47698436292137,ArN2,UV,1.0,ph_per_MeV
0.013936192742241421,331.2695716314671,276.70079147502315,420.29242397264426,307.99800627245816,363.18353370541655,ArN2,UV,1.0,ph_per_MeV
0.014065272421052365,333.75768388779477,278.88030179335067,423.2476036315368,310.27584775436196,365.905680917782,ArN2,UV,1.0,ph_per_MeV
0.014195547660501016,336.26014973172823,281.07397842145656,426.2169617210293,312.56632648668983,368.643445694719,ArN2,UV,1.0,ph_per_MeV
0.014327029534098309,338.7769875457734,283.28186654612665,429.20047387727834,314.86945135929676,371.3968466568486,ArN2,UV,1.0,ph_per_MeV
0.014459729217920195,341.3082147279381,285.504010748962,432.1981143074898,317.18523032569567,374.1659013365769,ArN2,UV,1.0,ph_per_MeV
