parameter_name,value,stat_p16,stat_p84,stat_minus,stat_plus,stat_sigma,syst_p16,syst_p84,syst_minus,syst_plus,syst_sigma,total_sigma_quadrature
Nnorm,0.0044564712596139,0.004150936006924479,0.005835420535889695,0.0003055352526894206,0.0013789492762757947,0.0008422422644826077,0.00444952088608772,0.005698749336662078,6.9503735261799635e-06,0.001242278077048178,0.000624614225287179,0.0010485775901247813
PCF3dir_vis,0.0697523156137472,0.052429514158082474,0.07196952056875316,0.017322801455664727,0.0022172049550059636,0.009770003205335345,0.05315027482127586,0.06823866742722862,0.016602040792471344,0.0015136481865185847,0.009057844489494964,0.013322819124649903
PAr_dblestar,0.1505111071356702,0.11563958734959658,0.16475024058620052,0.034871519786073626,0.014239133450530322,0.024555326618301974,0.1181031181166837,0.15215845364231484,0.032407989018986505,0.0016473465066446369,0.01702766776281557,0.029881524974008908
KAr_dblestar_QAr,0.3899587180383447,0.1387763109148416,341.63994980676017,0.2511824071235031,341.2499910887218,170.75058674792265,0.35255385169841186,0.40942769191798245,0.03740486633993284,0.019468973879637752,0.028436920109785296,170.75058911587476
KAr_dblestar_QCF4,11.493789111466567,4.406176799352847,9999.689004805736,7.08761231211372,9988.19521569427,4997.641414003192,10.370148041629065,11.942201564942003,1.1236410698375021,0.4484124534754361,0.7860267616564691,4997.641475816157
inv_tauDisc_Krelax,0.0056774299620123,0.005820229940093393,0.019279455254042736,0.00014279997808109256,0.013602025292030435,0.006872412635055764,0.010504539178825711,0.011644700245336093,0.004827109216813411,0.005967270283323793,0.005397189750068602,0.008738404466761635
tauUv_KCF4_QCF4,0.065,0.065,0.065,0.0,0.0,0.0,0.065,0.065,0.0,0.0,0.0,0.0
PCF4dir,0.2363077376429489,0.17860453120370498,0.24298022043521514,0.057703206439243926,0.006672482792266232,0.03218784461575508,0.19965352514178636,0.21266431244092937,0.03665421250116255,0.023643425202019536,0.03014881885159104,0.044102251860353395
KArpp_QCF4,50.05,50.05,50.05,0.0,0.0,0.0,50.05,50.05,0.0,0.0,0.0,0.0
PArpp,0.5189767114903912,0.463708140123376,0.6188054629628951,0.05526857136701513,0.09982875147250392,0.07754866141975952,0.49881164537847017,0.5433762501437088,0.020165066111920982,0.024399538653317676,0.02228230238261933,0.0806864046011903
PCF3dir_uv,5.714897074515897e-48,5.550982559451275e-37,4.898636007256589e-22,5.550982559394126e-37,4.898636007256589e-22,2.4493180036282975e-22,1.0003333426861164e-34,2.1181776875210986e-26,1.0003333426860593e-34,2.1181776875210986e-26,1.059088848762216e-26,2.4493180059180556e-22
