PAr_star_696,tau_joint_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,K_Ar_Q_N2_696,PAr_star_727,tau_joint_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,K_Ar_Q_N2_727,PAr_star_750,tau_joint_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,K_Ar_Q_N2_750,PAr_star_764,tau_joint_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,K_Ar_Q_N2_764,PAr_star_772,tau_joint_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772,K_Ar_Q_N2_772
0.0001449419826537203,28.3,0.015329107084718732,3.7080711132732715,1.2122422741660295,0.00010916179977797812,28.3,0.03453751315727606,718.4524171497028,9.300201390861245,0.005221285564215394,21.7,3.450363909049334,56.42236975881288,14.004593857151603,0.005221285564215394,29.4,0.567497920122034,100.15638360181457,38.61882081166226,0.0008671788744035585,28.3,0.0333111436922837,45.905528145090884,5.4144942628665556
0.00011144047515164613,28.3,0.01586007678101207,4.101587884234151,1.2654515935589485,9.130938615070163e-05,28.3,0.03255154632168162,808.7215198032673,8.762275630852667,0.005221285564215394,21.7,3.089269877015279,42.1939976492186,15.71455096853444,0.005221285564215394,29.4,0.7030654095210076,115.18876312536855,49.31354215860335,0.0009071616556227552,28.3,0.05357122872959324,43.871642293484435,7.912690991329108
0.00013792875779276514,28.3,0.01689021346968285,5.556456008859005,1.349960777596943,8.567656281535392e-05,28.3,0.03175632077449397,874.4890458978156,8.520370313790991,0.005221285564215394,21.7,3.0365968171262847,39.96391680576564,16.37849977584093,0.005221277028372215,29.4,0.5635590236307335,137.46080117804343,35.05856125894191,0.0008632932739636977,28.3,0.035900899168394854,44.298406226718036,5.722254970531304
0.00016425135776269588,28.3,0.017616180774093868,8.866037957594164,1.5078695017914767,0.00010212956329965625,28.3,0.030191279719547097,999.9999885459604,8.01645961764318,0.005221285564215394,21.7,3.73321596657549,52.24105465976734,18.448821515211762,0.005221285564215394,29.4,0.7248718630797345,118.74711144047501,50.765841423171366,0.000718723098696262,28.3,0.03345756884654283,45.66544559863685,5.443896075292318
0.00018930045444925654,28.3,0.017374181679429807,7.316812808819482,1.4312443105464887,8.41720684813847e-05,28.3,0.030867937618273826,993.1746005486189,8.210497917169912,0.005221285564140028,21.7,3.468398742630996,34.397699568900066,40.66320782210314,0.005221285564215394,29.4,0.5922973377929055,120.74241101138682,38.10824682655491,0.0009702825674490787,28.3,0.05138760338840381,43.529872353032474,7.624412325579433
0.0001237265579290988,28.3,0.014570052019825436,3.186932892564293,1.1808341448023985,9.241834679591411e-05,28.3,0.026353833365217624,999.9999999920844,7.298098200531199,0.005221285564191123,21.7,3.6115072873785907,69.84248826009461,12.614001407599828,0.005221285564215384,29.4,0.6213673176839588,111.32023596401794,41.77741455167936,0.0007019462705879627,28.3,0.0444341459880741,42.84000067218576,6.785926472177212
0.00013253154393915568,28.3,0.0163694956255588,4.705974672347236,1.2959007609549644,0.0001167449934021466,28.3,0.03152125708425896,888.8168046034468,8.363700394107308,0.005221285564202623,21.7,3.7265456163314297,74.74754258875761,12.682246486831534,0.005221285564215394,29.4,0.6928826088034143,125.71381245064038,46.07548877946781,0.0008620211867340502,28.3,0.046309988801540795,42.9643860136265,6.996781787620762
0.0001892065724326283,28.3,0.017196254306872587,6.604445345350518,1.3933244392412043,8.266931971451508e-05,28.3,0.03382708219640396,747.3329893027748,9.1895778976381,0.0052212855641980424,21.7,3.0708683251244495,44.36140390048631,14.407184134986093,0.00522128556408935,29.4,0.5916301078470513,119.1675530364434,38.198054607977916,0.0008999123727818555,28.3,0.03205883335882263,47.12837639493099,5.26589729225786
0.00013870690747188005,28.3,0.015994865808650897,4.295950466065881,1.2617046444049056,7.890299939947627e-05,28.3,0.03156001446950031,898.1466005885129,8.478867819790054,0.005221285564215394,21.7,3.031012546802221,68.80135091172578,9.480080716267597,0.005221285564215394,29.4,0.643436013785821,114.47226024667609,43.32219601107513,0.0007518099314671772,28.3,0.03477022309599956,44.80901791256165,5.596790349027192
0.00022069771558958754,28.3,0.017518490907391916,8.733748167432672,1.4891591564263318,8.17797147430944e-05,28.3,0.03372957148417537,751.3908312475594,9.164507079618506,0.005221285564215394,21.7,2.91170930189743,33.02141902621919,21.229941789965313,0.005221285564215314,29.4,0.6612701399302982,118.07904202984896,44.3858837267748,0.0010148184016716525,28.3,0.07038728030003279,47.802246124326686,10.115010738949831
0.00014606218052129214,28.3,0.017251719275761725,6.498277770789126,1.4023370154287025,0.00010005936469041454,28.3,0.032934267915821686,784.8716360906852,8.850539206697691,0.0052212704444796285,21.7,3.4558423848065765,99.7768159880278,9.868116897488258,0.005221285564015816,29.4,0.6329577808853757,130.76619784760214,40.451778163620276,0.0011370799167902896,28.3,0.07885061494011678,50.225813309787206,11.244505736603008
0.00021176952489403706,28.3,0.017587220381248127,9.936168483342295,1.5366656768016722,8.873297083572997e-05,28.3,0.030149238322727343,999.9755608140833,8.045188075812318,0.005221285564215394,21.7,3.422369169484302,40.94263211724985,22.172218349774163,0.005221285564215394,29.4,0.6759854825448015,114.7291744800603,46.5084649069622,0.0010297002761540327,28.3,0.04665523137423177,43.017862534587984,7.0219459632155035
0.00017924087962318546,28.3,0.017264201719745007,6.781650895086231,1.4059164683967378,0.00012225855085464676,28.3,0.030845497989577336,987.887827386513,8.106461849320914,0.005221285564215394,21.7,2.717768073878975,37.82526203471058,13.393327796470146,0.0052212855642151165,29.4,0.7326438630456427,129.21001109747877,49.21915565445626,0.0011683745405658094,28.3,0.07693525041734739,49.65782903189763,10.974965808564132
0.00016342192361570407,28.3,0.017188916733527456,6.437821321753483,1.3916964091563717,0.00010797716430133732,28.3,0.031089591093167647,944.6217029272925,8.233963867494639,0.005221285564077428,21.7,3.747664793999559,46.7428788093759,22.4070730806904,0.0052212855641848065,29.4,0.6850184860093008,98.7392157998529,53.996286306178014,0.0008293559494397558,28.3,0.03462680462412312,44.93932963924127,5.573538639827861
0.0001192515998105783,28.3,0.014336167446510865,3.0539981613337828,1.1728176220196178,8.376581854217291e-05,28.3,0.031236593986953717,935.7966727893779,8.346154560968106,0.005221285564215394,21.7,3.832798658607296,58.99008852891071,16.729040820905816,0.005221285564215394,29.4,0.6976632593479613,116.24592686851632,48.43943506546018,0.0010627224173334953,28.3,0.0713427970491258,48.06469788493805,10.234257049800275
0.0001332099100923978,28.3,0.015296503996505369,3.669691317586517,1.2155097410819644,7.31381959087389e-05,28.3,0.03300460259249875,788.0895324503526,8.98503101208099,0.005221285564215394,21.7,3.0937064733083353,60.44400610440785,10.661488703771466,0.005221285564215394,29.4,0.742040812854048,118.00186745717671,52.98257913218619,0.0010987387061077794,28.3,0.07113690267481111,48.00676629524062,10.199255276273353
0.00013537133055032343,28.3,0.017323161057000394,6.6484635034972985,1.4155513716957182,0.00010363425511066702,28.3,0.030485080884639998,999.969032633116,8.069217238794481,0.005221285564215394,21.7,3.645144119598157,53.81715705441802,16.71887374467352,0.00522128556421359,29.4,0.7460824286079548,153.2020137877164,47.42235711206816,0.001000394863262309,28.3,0.04075073186397637,43.08705490783845,6.297014555532048
0.00018838517099168731,28.3,0.017419352674937636,7.5631906584144195,1.4434732922198827,8.66527006372579e-05,28.3,0.03180457485720505,869.5427154496621,8.532916570447165,0.005221285564215394,21.7,3.037535685372048,60.680703730739246,10.292633154597755,0.005221285564215394,29.4,0.795988681349447,106.86814526703562,69.3546515125437,0.0011817136457133264,28.3,0.08767042996663024,52.92355815763207,12.461240895773328
0.00014811553146421076,28.3,0.017090363989417278,6.054137119009712,1.3758510662309809,8.708409124251374e-05,28.3,0.02311864010637948,999.9999999999939,6.680471455817291,0.005221285564215111,21.7,3.5948318444802534,40.45806852192043,26.946824778699938,0.005221285521046654,29.4,0.6954248283079805,85.91522066585827,84.34929629327715,0.0009799112130010768,28.3,0.04981453283080948,43.31784364567544,7.423696518198344
