name,value
PAr_star_696,0.00017908450337656708
tau_CF4_696,28.3
K_Ar_Q_Ar_696,0.030257466460614994
K_Ar_Q_CF4_696,6.092076655034666
PAr_star_727,1.7715103701780557e-05
tau_CF4_727,28.3
K_Ar_Q_Ar_727,0.015293045881599208
K_Ar_Q_CF4_727,1.6549623243269913e-62
PAr_star_750,0.019999999999999997
tau_CF4_750,21.7
K_Ar_Q_Ar_750,14.329708347719965
K_Ar_Q_CF4_750,57.90680837116734
PAr_star_764,0.019999999999999997
tau_CF4_764,29.4
K_Ar_Q_Ar_764,4.114748822740857
K_Ar_Q_CF4_764,181.4525188688039
PAr_star_772,0.0015096822670611204
tau_CF4_772,28.3
K_Ar_Q_Ar_772,0.11037295206386034
K_Ar_Q_CF4_772,72.47981310855506
