toy_id,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
0,0.0003524238286312476,28.3,0.02559470321392521,4.008465348632303,0.00010097347267644282,28.3,0.01773367940335789,8.725545274302938,0.005221285564215399,21.7,2.652424032089692,16.275176012162394,0.00015561210747626125,29.4,0.01543975004267901,1.1787888391079608,0.0005994062771795496,28.3,0.006505515462606496,4.728897883821658
1,0.0006760153034469301,28.3,0.09553432637469139,7.716188918316337,9.750868666541197e-05,28.3,0.028268277909746776,8.720034496869298,0.005221285564215399,21.7,2.199444894136668,22.570463582315845,0.005221285342836147,29.4,0.8022387728844895,43.58282810723118,0.00019074724367121798,28.3,5.1077674207718084e-24,1.4191470575563814
2,0.0005015507678123574,28.3,0.06539682764459047,5.227427108598248,0.00036715937963485284,28.3,0.18301199715813957,33.446916280060975,0.005221285564215399,21.7,3.470437262614653,11.178401417846686,0.005221285564215214,29.4,0.7200085651439523,42.87750756425485,0.0005078899224120413,28.3,0.022458567474353004,3.7696788198607685
3,0.000662577260842276,28.3,0.07442083450572921,7.594646545687541,0.0005035243913524181,28.3,0.14081733728127138,47.62956571246062,0.005221285564215399,21.7,2.898168427335637,15.084891810768132,0.005221285492625406,29.4,0.4894016752371999,44.95783890822711,0.002803116060398744,28.3,0.14826244371303393,22.786854475050543
4,0.00039498046887262455,28.3,0.024269353624401004,4.903917826249501,3.0802984578036485e-05,28.3,0.0019549277986877778,2.635071188493825,0.005221285564215399,21.7,3.0163385801114493,14.706088836971032,0.005221285564208272,29.4,0.7700887256145107,43.20703916169313,0.0017382364012172235,28.3,0.12670046722850437,13.346515547750942
5,0.00014741622366711666,28.3,0.006316402733502238,1.5800777146440868,0.00016840367961384049,28.3,0.07968202859666794,15.529101535558608,0.005221285564215399,21.7,2.62915884298606,16.651722101247678,0.00522128556417744,29.4,0.6062037328405144,43.942958688862994,0.0007650690130133194,28.3,0.036237934362147534,5.796865299415659
6,0.005221285078024046,28.3,1.0666432380265394,55.147379468530325,3.4335536080990047e-05,28.3,2.938308013918133e-05,2.9562125318213166,0.005221285564215399,21.7,2.403626188507106,19.921319615677703,0.00011961240155231979,29.4,2.2284013873708033e-25,0.9770206573022933,0.0008138459381720753,28.3,0.05785808956571549,5.842321921938812
7,0.00011555795249619165,28.3,0.003707755262451639,1.1155359645542613,0.0005090837539560954,28.3,0.3678009447259813,44.07561166952351,0.005221285564215399,21.7,2.6317946814735733,16.22631387012458,0.0002650211233022678,29.4,0.008612855732446145,2.2691855790269373,0.005060062872668442,28.3,0.3993313143878581,37.28015066932299
8,0.005221285398577231,28.3,0.6783833518970538,63.22732014870535,3.1592176253597876e-05,28.3,0.008117086266650815,2.539701739325181,0.005221285564215399,21.7,3.1611869615546953,13.03746478052919,0.005221285564215399,29.4,0.4566879890501556,47.29921623527209,0.0024013126074601022,28.3,0.09393635257177975,19.277414843627657
9,0.001280115415953065,28.3,0.1925450013681183,14.789399411444924,0.005221285563962872,28.3,2.691256873226245,473.94653402915463,0.0009333136815819075,21.7,0.5436625165791018,2.5538045541681114,0.0002583112779668414,29.4,0.024814710650771232,1.9988606949078425,0.003310871450666419,28.3,0.21056531887065302,24.812799891808208
10,0.0005187962458202865,28.3,0.024853720902567922,6.672171620688697,2.7275862970463503e-05,28.3,4.2473354483109814e-41,2.3735796171223984,0.005221285564215399,21.7,1.8969243564271068,30.14514384923824,0.005221285564215399,29.4,0.5636952421611372,46.044973501450706,0.0001847973392654612,28.3,0.005612924328583529,1.3001233416759932
11,0.00014343520168978816,28.3,3.738894251681502e-33,1.671783551365213,3.300340834399631e-05,28.3,7.997576288590692e-53,2.7885915005107353,0.00026991674648475946,21.7,0.10302865893574621,0.9490236515685753,0.00012852400480303506,29.4,1.0070947301805019e-20,1.0279835585193695,0.001597836792575564,28.3,0.09574145032997262,12.246422187923573
12,0.00021957640442019557,28.3,0.03378444196440014,2.2447205200935567,0.005221285564212783,28.3,2.2655907895477503,472.0345220936465,0.005221285564215399,21.7,2.21828767866873,22.206132092078427,0.0017900648940317474,29.4,0.136205126408424,16.184258229161987,0.0011257648069462668,28.3,0.06511463677802533,8.403868232163903
13,0.00016717051051494023,28.3,0.006405802531772634,1.8943100944323747,0.005221285563484424,28.3,2.366415296762297,518.9151544158394,0.005221285564215399,21.7,3.3607250339187376,11.667383060464182,0.005221285564215399,29.4,0.8183987051736143,41.7882670793578,0.00017256068353303095,28.3,7.994696032688097e-05,1.216533295864301
14,0.00016668404099935105,28.3,0.0014162221597856552,1.9512838305429798,3.1074812898966105e-05,28.3,4.204467966007681e-21,2.6789570790112203,0.005221285564215399,21.7,2.431991146613176,20.056687132963894,0.00035856274527409644,29.4,0.021144893621333795,3.2415122264795504,0.0003213260456610178,28.3,0.012013527100639042,2.456456683617646
15,0.00011226704395515234,28.3,1.2935034896820253e-52,1.2034462846849192,0.005221285564215399,28.3,1.7769029630386612,496.47575612283237,0.00022712405609135822,21.7,0.06764716528653779,1.1126882329475118,0.005221285564215399,29.4,0.6723415916296503,42.46941806205405,0.00023969625568835766,28.3,1.569374377863308e-55,1.7500891125028533
16,0.005221285563730088,28.3,1.131282372017151,55.15272910547092,9.155483763501422e-05,28.3,0.020538830247124232,8.65854050296529,0.005221285564215399,21.7,3.6684968232373314,11.97286442758725,0.005221285564215399,29.4,0.5590977135703625,48.72014822787654,0.0027904617362232856,28.3,0.17029047390761237,21.80565152244625
17,0.00013550827490303716,28.3,0.0016702829310529179,1.5194422178851223,2.14714345600425e-05,28.3,3.710071101028972e-11,1.809566404978311,0.005221285564215399,21.7,2.928542802418035,15.655818956704774,0.000252597139487925,29.4,0.01859067543556584,2.032101188628104,0.0052212855638976265,28.3,0.5169245121138323,37.75320771590372
18,0.00023089040446436403,28.3,0.003954329813221409,3.1087926919260753,6.262782755912683e-05,28.3,6.158165943688999e-16,5.769453951972423,0.005221285564215399,21.7,2.5050598484941538,19.846161658989846,0.005221285371071835,29.4,0.6691446359406499,43.65960425342989,0.00026551897171283266,28.3,2.1908734321370075e-20,1.9809551794834697
19,0.005221285564215399,28.3,0.921543226106303,59.293036403479,0.00035741247628401325,28.3,0.13778796322681375,31.42546552920758,0.005221285564215399,21.7,2.000412503368165,26.131610376164833,0.0005396133995761982,29.4,0.048168127858976645,4.350337514538788,0.005221285564215375,28.3,0.33815616439188917,41.32981989832464
20,0.005221285564215399,28.3,0.887805822406219,64.30087993654325,6.09665333219698e-05,28.3,0.00931217081792041,5.203193783720194,0.0002959322822268419,21.7,0.07111562393488724,2.080644057709861,0.00018956101914194303,29.4,0.012961651286491833,1.5582877740144991,0.00032229167984344905,28.3,0.0027375860272170686,2.4829001315260775
21,0.0001046821291587813,28.3,1.9993145353217185e-17,1.0978396446933623,7.208068722071367e-05,28.3,0.0049324377464869335,6.440458207182587,0.005221285564215399,21.7,3.638659018120892,12.214530874102623,0.00015520649531255924,29.4,4.320979941445191e-14,1.3416861351474796,0.002125133286845206,28.3,0.10882524833537745,16.215994106122796
22,0.000268825443996786,28.3,0.03679926660630578,2.8140238217948452,0.00010484543324258165,28.3,0.021015487341757202,9.320497040845419,0.005221285564215399,21.7,3.543543977728993,12.45976768521427,0.005221285563497069,29.4,0.4994504055623192,49.73806159136068,0.0007505156645970114,28.3,0.03333131386307607,5.86126290043854
23,0.005221285564206054,28.3,0.6949319522967813,60.15776372259039,0.005221284544731975,28.3,3.2197314947602176,479.91247867183387,0.005221285564215399,21.7,2.709483827565898,17.073704086439495,0.00030236706941395283,29.4,0.01445537772419751,2.9299475255571026,0.005221285564215399,28.3,0.23971724560917212,42.03294493773138
24,0.0007819590421828249,28.3,0.11390598235941948,8.841772077773484,6.74177197087881e-05,28.3,0.020940488135884748,6.258093145433332,0.00024347033375609432,21.7,0.0912715934065739,0.7522577038289439,0.005221285564215399,29.4,0.5595638680448574,45.72001904471763,0.0002746343443265082,28.3,0.014925266304891587,1.9542645487363564
