,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
PAr_star_696,1.0,,0.9708828547330796,0.9778929998873129,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_N2_696,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.9708828547330796,,0.9999999999999999,0.9337723412981439,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_N2_696,0.9778929998873128,,0.9337723412981438,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_727,0.0,,0.0,0.0,1.0,,0.9708348414247608,0.9818054136101217,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_N2_727,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,0.0,,0.0,0.0,0.9708348414247608,,1.0,0.9401142667724834,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_N2_727,0.0,,0.0,0.0,0.9818054136101217,,0.9401142667724834,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_750,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.9999842863285358,0.999918702813693,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_N2_750,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_750,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9999842863285358,,1.0,0.9998691690747348,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_N2_750,0.0,,0.0,0.0,0.0,,0.0,0.0,0.999918702813693,,0.9998691690747348,0.9999999999999999,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.9955491460805186,0.9955903417139301,0.0,,0.0,0.0
tau_N2_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9955491460805188,,1.0,0.9884970070336955,0.0,,0.0,0.0
K_Ar_Q_N2_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9955903417139303,,0.9884970070336955,1.0,0.0,,0.0,0.0
PAr_star_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9999999999999999,,0.9796340829737799,0.9855234510347078
tau_N2_772,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9796340829737799,,1.0,0.9559697937063363
K_Ar_Q_N2_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9855234510347078,,0.9559697937063364,1.0
