toy_id,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
0,0.005375538213632539,0.09668166171298609,0.26324314867104265,0.3465513091719566,11.499999999999998,0.009826183713978818,0.065,0.17735389548869757,50.05,0.4154209992628751,1.4000090615573591e-28
1,0.004724234219795297,0.12504560375266263,0.29018170780426145,0.30828353491732896,11.499999999999998,0.00808822801357865,0.065,0.20138460101511874,50.05,0.4648716701725729,4.631454952990738e-22
2,0.0056407488290483735,0.10678868255347901,0.2392615299070079,0.34617202279859693,11.499999999999613,0.01552532383058884,0.065,0.1700753212649375,50.05,0.431482888258008,1.8639738214671248e-28
3,0.005510297207752133,0.1041179469069749,0.26455037729499464,0.113747208821963,3.582431689120244,0.008093083489273995,0.065,0.17402795434447665,50.05,0.37120046005097845,4.607828605528449e-37
4,0.004940896298519405,0.12128807807410012,0.2740614550029436,0.0775443734793792,3.062361569021198,0.007761767520060613,0.065,0.19004606676276806,50.05,0.40968114509363474,5.035030990013659e-35
5,0.004886152263395866,0.12038254299656295,0.2685772069811913,0.09590018278453841,3.983622769211597,0.007472400810354614,0.065,0.19753441607981012,50.05,0.39980534489231817,7.339799283639967e-37
6,0.005997184482274012,0.09382373328063956,0.22431971245396587,0.3400376816653437,11.499999999999998,0.014235401827777211,0.065,0.16414048107742416,50.05,0.3840437321934708,2.2818280474720648e-36
7,0.004096193205171394,0.14799361642012743,0.31734539187687044,0.30313131348219724,11.499999999994316,0.003485035640869617,0.065,0.2272744856473594,50.05,0.5297104263536367,1.0668812292625831e-31
8,0.0038260706736748143,0.14661336506868736,0.3776452474101424,0.08634140470866211,3.0776045497816544,0.003022092598798593,0.065,0.24492467063590076,50.05,0.5498129108767721,6.782023880751992e-33
9,0.002943332921147705,0.19352526195788766,0.49648219241408237,0.3849976229790145,11.499922320417118,0.0010493036724217913,0.065,0.32453987582953137,50.05,0.6415536723769469,1.360390024623828e-33
