toy_id,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
0,0.00019550133881027568,28.3,0.030003886283126918,5.99459406048657,2.3375143757931465e-05,28.3,0.015368548298512735,1.432139247834811e-19,0.019999999999999997,21.7,14.253952229540873,57.59748967850551,0.019999999999999993,29.4,3.7749989909197024,166.4252554979202,0.0016629189205609285,28.3,0.1105887650042732,72.44510182422515
1,0.00022186035358436463,28.3,0.02967976343802849,5.871955422839223,1.7553892941870493e-05,28.3,0.015290195458359026,2.5550487968112532e-42,0.019999999999999997,21.7,13.963957981080828,56.41369273308532,0.019999999999999997,29.4,3.476953035701794,153.2568710568775,0.0016320645650123146,28.3,0.1105483298720633,72.45145065234216
2,0.00020667512904273854,28.3,0.029856732433579523,5.938494975201108,2.06203939192222e-05,28.3,0.015336896835457163,1.3850302430438382e-21,0.019999999999999997,21.7,13.18888049520715,53.251898584789856,0.01999999999816003,29.4,4.352318525994304,191.97065222983682,0.0015081954528065114,28.3,0.11037045340459876,72.48007640459326
3,0.00021664039534625458,28.3,0.02973619963203908,5.893324975307029,1.9167596439501908e-05,28.3,0.015316602513793617,1.3530018971184904e-30,0.019999999999547446,21.7,17.26733099411277,69.92479345467366,0.019999999999999997,29.4,4.047726981923744,178.48674082133974,0.0013198786771360473,28.3,0.11003891892100354,72.53496500282336
4,0.00017538370236918065,28.3,0.03031691474811769,6.115885936330867,1.6297143022454977e-05,28.3,0.01526608630821593,1.2758096147840236e-14,0.019999999846682274,21.7,17.63251983084446,71.42199221032259,0.019999999999999997,29.4,3.6737290111238385,161.94940807109006,0.0018194542167425875,28.3,0.11077229580888318,72.41582073413848
5,0.00020798935177581806,28.3,0.029837907942951616,5.93176013149517,1.8148621978576973e-05,28.3,0.015300464428150065,4.5139610990554815e-25,0.019999999999764293,21.7,16.81431022489865,68.06848281564612,0.019999999999999997,29.4,3.6825063471234656,162.3372801615666,0.0014484657595474554,28.3,0.11027459430833618,72.49599923370083
6,0.0001852439945486344,28.3,0.030152340343677322,6.052183961045266,1.536518108347195e-05,28.3,0.015245702585556247,5.76100204668792e-18,0.019999999999999997,21.7,13.005158919079184,52.50289925845678,0.019999999999999997,29.4,3.4907476747641524,153.86605838468077,0.0019096832401118574,28.3,0.11086476552689589,72.40125033723126
7,0.00020320049267057508,28.3,0.029898647322599396,5.954741069982686,1.7354080856473054e-05,28.3,0.015286590391817161,3.138467397124436e-26,0.019999997406411976,21.7,20.063360644576274,81.40582330093052,0.019999999999999997,29.4,3.859422139222115,170.15770117519796,0.001482577081689657,28.3,0.11033018919678265,72.48669974150938
8,0.00020710028189018136,28.3,0.029851736205404236,5.936555705235189,2.154850525931288e-05,28.3,0.015348450897892517,2.2719139701630514e-21,0.01999999984942217,21.7,14.760084752941065,59.66464000301282,0.019999991780668774,29.4,5.376440532996389,237.4101507763174,0.001397376235544739,28.3,0.11018651846618342,72.51075575107905
9,0.00018047309612197863,28.3,0.03022943350367909,6.0819727264437375,1.6876729212216475e-05,28.3,0.015277638865392299,3.094946733589317e-32,0.019999999999999997,21.7,12.879738085128443,51.991686032489675,0.019999999999999997,29.4,4.608631738646157,203.32818793501062,0.0012312712642408147,28.3,0.10984939877664916,72.56698769921972
10,0.0001719072812301965,28.3,0.030382096795113257,6.140906019900352,2.284128435881865e-05,28.3,0.015363002278538113,2.0939997718289783e-21,0.01999999998350412,21.7,15.222413214127533,61.554086029128115,0.01999999946362069,29.4,4.694817141929787,207.14939344603067,0.0020874948553673157,28.3,0.11102368118078046,72.3761702495377
11,0.0001617944368923115,28.3,0.03058319535923719,6.219554900368841,1.7965668153803716e-05,28.3,0.015297376514694523,1.1642463392528567e-34,0.019999999999999997,21.7,13.15265030714672,53.10417920498307,0.01999999999999999,29.4,4.210667792824999,185.69819909614296,0.0014376613463749058,28.3,0.110256090996365,72.49883703204873
12,0.0001511940636978374,28.3,0.030825157354067788,6.3153888488145045,1.539715715502241e-05,28.3,0.015246442135605798,6.248803412028516e-14,0.01999999999997102,21.7,18.354732215807037,74.38502714599188,0.019999999999999997,29.4,3.5193258588439056,155.12819094666065,0.0017010669269742595,28.3,0.11063657191057703,72.43746776077543
13,0.00018896252965533832,28.3,0.030095067655684718,6.0301468450666285,1.6421813004036703e-05,28.3,0.015268634298716978,9.019123147874951e-18,0.019999999999999976,21.7,15.991439169909153,64.6994435746981,0.01999999999999998,29.4,4.302766175038954,189.77607442698158,0.002119922337553667,28.3,0.11104997797147453,72.37213735188706
14,0.00015873096940753598,28.3,0.030648922229158503,6.2455586511402394,1.3079140298195717e-05,28.3,0.015183721000513505,1.6400716134194815e-14,0.019999999990727872,21.7,15.9855306237132,64.67526379195434,0.01999999999925514,29.4,4.969330716070271,219.32799855339172,0.0017586556059957252,28.3,0.11070492951650292,72.42661680353702
