name,value
PAr_star_696,0.00038757393318529347
tau_N2_696,28.3
K_Ar_Q_Ar_696,0.04100813256954759
K_Ar_Q_N2_696,11.29724860398394
PAr_star_727,0.019999926473094013
tau_N2_727,28.3
K_Ar_Q_Ar_727,273.36018937206865
K_Ar_Q_N2_727,378.2455769999859
PAr_star_750,0.01999999999817032
tau_N2_750,21.7
K_Ar_Q_Ar_750,11.241063942030332
K_Ar_Q_N2_750,20.054637541617232
PAr_star_764,0.0006971749986280553
tau_N2_764,29.4
K_Ar_Q_Ar_764,0.0942834341224909
K_Ar_Q_N2_764,1.623074483122427
PAr_star_772,0.0006039974691044669
tau_N2_772,28.3
K_Ar_Q_Ar_772,0.036730915860063135
K_Ar_Q_N2_772,1.197677594683464
