toy_id,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
0,0.00025505064551406147,28.3,0.0196909130782068,2.813033366958001,8.203642233714701e-05,28.3,0.019909480191635763,6.741311807753164,0.005221285564215383,21.7,2.6374553106325482,17.335432090996573,0.0007819714948818697,29.4,0.0843514136295218,6.581944661982664,0.000652907447293543,28.3,0.0283106665344334,4.976270798571206
1,0.0003107994721345501,28.3,0.019699439274413953,2.812913802619468,7.674068301623726e-05,28.3,0.019868853946257307,6.744082454227929,0.005221285162888158,21.7,2.700162434302496,17.75233491999879,0.0010146269577837083,29.4,0.08364132185830661,6.554686636865361,0.0006500446831421953,28.3,0.0283141399324302,4.976803541394059
2,0.00022656349106757638,28.3,0.01968437744620447,2.813089010628147,8.107978811497663e-05,28.3,0.019902946569238474,6.741869129024878,0.005221285564174028,21.7,2.7426174972304023,18.035183687002867,0.0009252465614090474,29.4,0.083868717473273,6.563381930681373,0.0006404250546384194,28.3,0.028328194219539034,4.9788084827346495
3,0.00027291876994474563,28.3,0.01969416733944131,2.8129969264893084,6.89894094310224e-05,28.3,0.01979555963497145,6.7484502655491765,0.005221285564215399,21.7,2.532495772835992,16.637755950560482,0.0008714004440680365,29.4,0.08403033902044332,6.569581918699163,0.0006916279725033487,28.3,0.028259619796880468,4.968925443767001
4,0.00020731050546197945,28.3,0.01967792730867756,2.813085072642852,7.20321217294027e-05,28.3,0.019827124609333054,6.74675540276318,0.005221285562985154,21.7,2.80520496577255,18.452212077923082,0.0007923175531550626,29.4,0.08431021096590825,6.580339236235692,0.000685239970522278,28.3,0.028267600342418864,4.9700750185157325
5,0.0002460864008941455,28.3,0.019689221720355855,2.81305982307702,6.574519852089623e-05,28.3,0.0197619477762031,6.750889852847585,0.005221285564107362,21.7,3.1540264427916886,20.783221626883392,0.0006722884189215398,29.4,0.0848687445525508,6.601799719791835,0.0007551981849600454,28.3,0.02818817338034231,4.958611663947261
6,0.00020953827140825793,28.3,0.019678740280622005,2.8130855930117673,7.831613770439872e-05,28.3,0.01988166142591334,6.743249836079405,0.005221285564215399,21.7,2.150308692453315,14.106461551727662,0.0008562960672577346,29.4,0.08407959201632487,6.571474510541615,0.0007321809791064151,28.3,0.028212554797717556,4.962130792013555
7,0.0002528577788339798,28.3,0.019690567301699453,2.813042648705621,8.624480535189544e-05,28.3,0.0199391288290677,6.739529276748675,0.005221285564215399,21.7,2.5375199698962416,16.67112252286269,0.000858525476228741,29.4,0.08407214651886004,6.57118686029267,0.0005960469719378284,28.3,0.02839462899838511,4.9885767154932035
8,0.0002613658730418093,28.3,0.019692167943107942,2.8130228517178635,8.601843248815159e-05,28.3,0.01993766262577814,6.739629857929411,0.005221285564208507,21.7,2.778046865240843,18.27121044395313,0.0007367917216032535,29.4,0.08454411126350046,6.589307277386699,0.0006549036159499634,28.3,0.02830757878055318,4.975843339586331
9,0.0003076978986852029,28.3,0.019699310064294533,2.8129325131427767,8.537329498735858e-05,28.3,0.019933321686784636,6.739903293338081,0.005221285564215399,21.7,2.606694450305464,17.130761831853782,0.0010073738553548971,29.4,0.08365691050331064,6.555254827113994,0.000583022297819181,28.3,0.028415384598205036,4.991688369047647
10,0.0002538103502064775,28.3,0.019690751844854252,2.813040362061579,6.505621458150261e-05,28.3,0.019753809020598947,6.751356370683495,0.005221285564142612,21.7,3.168784534059994,20.882092432672465,0.0006891997219618905,29.4,0.08477726103792857,6.598275884445873,0.0006048259320567372,28.3,0.028382909819128114,4.986703338904014
11,0.00020893757230342624,28.3,0.019680441236870853,2.8131818735072165,8.407865679119083e-05,28.3,0.01992450170855423,6.740477680527784,0.005221285564215399,21.7,2.6019895994319517,17.09945915935786,0.000851516187638444,29.4,0.08409555954342166,6.5720886966988195,0.00047858041732977706,28.3,0.028643567506143504,5.024526154992206
12,0.00024199758719603307,28.3,0.019688385282009842,2.8130713537739913,6.719516124122597e-05,28.3,0.019775102104586415,6.7494659650895725,0.005221285564028453,21.7,2.828402471156219,18.606867843290523,0.0006723838530137738,29.4,0.0848726813962165,6.60208476271902,0.0006954382939674397,28.3,0.0282549837135833,4.968253963723345
13,0.0002545726687719223,28.3,0.019690897733979307,2.813038484622633,6.534127442118495e-05,28.3,0.019757194907926764,6.751160548704426,0.005221285564214982,21.7,3.2138128984448424,21.18387368121634,0.0009489676455624201,29.4,0.08380343036235262,6.560871493568895,0.0006397100354412766,28.3,0.028329142289958715,4.978951718852815
14,0.00029984232977950625,28.3,0.01969825457909607,2.8129458617926772,9.397424803086992e-05,28.3,0.019986018302718792,6.736521694278579,0.005221285564215391,21.7,3.1376420042704094,20.673273870719395,0.0008924710658777309,29.4,0.0839646414356037,6.567061389061517,0.000660303420331395,28.3,0.02830018300346446,4.974776148482448
15,0.00024347487924476313,28.3,0.01968876010531676,2.8130704621219267,7.889451265176608e-05,28.3,0.01988621654918432,6.742950177802232,0.005221285533784103,21.7,2.74075622024156,18.022608142190766,0.0008708328323737517,29.4,0.08403067607358572,6.569549101911836,0.0006363474284734881,28.3,0.028334396016042134,4.979700615527566
16,0.0002061562167125738,28.3,0.01967752327535262,2.813085923434985,7.583206116109613e-05,28.3,0.019861242458105607,6.744579342047237,0.005221285564215399,21.7,2.4300258611560843,15.957748474825609,0.001034925178113493,29.4,0.08359375984974109,6.552834721987642,0.0008127445527559994,28.3,0.028133838340260106,4.950743821856797
17,0.00025300276127536133,28.3,0.019690598223252136,2.8130424417352926,8.182721445332279e-05,28.3,0.01990845722130169,6.741513095831945,0.0052212855547397515,21.7,2.7909761093650105,18.357096198898873,0.0009280480933933387,29.4,0.08385873160898404,6.562939106377854,0.0006435361290003719,28.3,0.028322843785856314,4.978095373905239
18,0.00027903883902408497,28.3,0.019695212264741024,2.8129869338806173,7.092074269197269e-05,28.3,0.019820637015059237,6.748182912226856,0.005221285564215399,21.7,2.384321056801917,15.655087444814441,0.0007693727455477052,29.4,0.08440510820769287,6.584052744192411,0.0007052221344014926,28.3,0.02824356765188568,4.966588035021928
19,0.00030321829134332025,28.3,0.01969871068269826,2.8129398382966975,5.9147231860668165e-05,28.3,0.019676719707476014,6.755891468252524,0.005221285563653746,21.7,3.210920354761895,21.164524491626953,0.0008930256026774656,29.4,0.08396289567389179,6.566992361805708,0.0007986096010881902,28.3,0.028146158761369753,4.952547220945705
20,0.00031920608995441235,28.3,0.019700758922866973,2.812914014610662,7.363353357876314e-05,28.3,0.019842089660933832,6.745838711700954,0.005221285564212907,21.7,3.179821635610116,20.956035540024622,0.0008036373252565327,29.4,0.0842665761197592,6.578661424887177,0.0005596465273618214,28.3,0.028460084964657677,4.9980227594767
21,0.00022335333135434875,28.3,0.019683310207000437,2.8130844641932016,7.095515349860136e-05,28.3,0.019816565950661058,6.747380783236595,0.005221285564215399,21.7,2.4463167592724937,16.065792369783345,0.0007217898001569486,29.4,0.08461362185035551,6.591966253284567,0.0007297761227958224,28.3,0.02821518572322013,4.96251100074704
22,0.00023110714794254852,28.3,0.01968567380558238,2.813086519074803,8.185212292031724e-05,28.3,0.01990863732622596,6.741499481590776,0.005221285564215399,21.7,2.5332704998962625,16.642901170429994,0.0007464526105356471,29.4,0.08450069030530805,6.587640924229227,0.0006304709086926019,28.3,0.028342919503152087,4.980926927705226
23,0.0002454097864134083,28.3,0.01968910157609538,2.8130626091125017,8.717193717083877e-05,28.3,0.01994519387117424,6.7391412967186985,0.005221285564196674,21.7,2.7737500315354464,18.242580437581175,0.0007106675820317103,29.4,0.08466780804145148,6.594058509235466,0.0008062792343820864,28.3,0.02813972989642403,4.951584789214286
24,0.00023397119334702554,28.3,0.019686431802363288,2.8130837090681293,8.346326412694675e-05,28.3,0.019920208846519214,6.740756182722806,0.005221285564215266,21.7,3.2412623654144253,21.36678872303728,0.0007962259876675191,29.4,0.08429500679085795,6.5797548325804955,0.0006164218293800332,28.3,0.02836340748064354,4.983956161837014
25,0.0002372131952957419,28.3,0.019687336005809717,2.8130835627889743,8.836647079321663e-05,28.3,0.019952809302225778,6.738651265748647,0.005221285564215399,21.7,2.8382960030818425,18.672974286145333,0.0005454655527971808,29.4,0.08575503475260828,6.636113429439224,0.0006611853143832175,28.3,0.028298988982110883,4.974603747956765
26,0.0002266255048578566,28.3,0.019684328146242245,2.813085362941788,8.761649386395979e-05,28.3,0.01994802779087959,6.738953773789934,0.005221285564215399,21.7,2.453911246584314,16.116168447900236,0.0009069267014327793,29.4,0.08392135595425683,6.56539701200275,0.0006119288493470058,28.3,0.028370541908370087,4.984975669741288
27,0.0002716376080686836,28.3,0.01969395862840182,2.81299993624822,6.930170031644e-05,28.3,0.019800981777086977,6.748572539699021,0.005221285564215399,21.7,2.3525237292330536,15.443955562228636,0.0006127408989151313,29.4,0.08523454503809592,6.615917206137982,0.0006824689968297116,28.3,0.02827111382332183,4.9705808797103925
28,0.00026797386781599237,28.3,0.019693334482275403,2.81300778887592,6.19917540940472e-05,28.3,0.019714521012360466,6.753493937573833,0.005221285564215399,21.7,2.6646419538243427,17.516142167966837,0.0007128184494565987,29.4,0.08465835309538171,6.593739640820207,0.0005821197330057065,28.3,0.02841892544947854,4.992078068500292
29,0.00023017648758649544,28.3,0.019685738859214364,2.8131037408693267,7.471226464927283e-05,28.3,0.01985158323700035,6.745206054557392,0.005221285564215393,21.7,2.9433970482583023,19.37449597411986,0.0006537144999500285,29.4,0.08497578379819157,6.605951151083762,0.0004725809929818308,28.3,0.028665387622308032,5.027292532034547
30,0.00022737732281872302,28.3,0.01968506957282658,2.8131117837820967,7.00945552406874e-05,28.3,0.019808659876745113,6.748016843977877,0.005221285564215399,21.7,2.737202211435354,17.999203407719765,0.0007516679065892545,29.4,0.08447851224312439,6.586815435059279,0.0003585742928724904,28.3,0.029089489649209578,5.0883678026558705
31,0.00023171713591047617,28.3,0.01968592559700915,2.813090779991401,8.570864396026836e-05,28.3,0.01993560948606518,6.7397650451589755,0.005221285328691476,21.7,3.2526591372656455,21.443223242265095,0.000854286720842649,29.4,0.08408636426806067,6.571738284820282,0.0005921364835367063,28.3,0.028404782802402787,4.989853679014921
32,0.00027254844271077885,28.3,0.019694084805524443,2.812996710693307,9.361471001592698e-05,28.3,0.01998377563742565,6.736613768601032,0.005221285479734153,21.7,2.7228887396655375,17.903648576427003,0.0008020456588623621,29.4,0.08427261664893232,6.578893322773232,0.0006201279239276814,28.3,0.028361126077839024,4.983430102172391
33,0.00023639488347204564,28.3,0.019687027952369672,2.813079351073119,6.88707530416149e-05,28.3,0.019794109158620076,6.748510155590025,0.005221285564111767,21.7,2.7441916517590714,18.045668083565086,0.0008100273672539941,29.4,0.08424244495844828,6.577732008736831,0.0007171988316751391,28.3,0.028229487904523162,4.964562848246632
34,0.00017704239647323248,28.3,0.019668621301738194,2.8132590410504905,8.985662668138884e-05,28.3,0.01996203896802372,6.738060368288641,0.005221285564215399,21.7,2.637188275566073,17.33351254274182,0.0007640774293288795,29.4,0.08442509787433139,6.584759435080981,0.0007595364043881952,28.3,0.028183769837017696,4.957975325991864
35,0.00023352700441455493,28.3,0.019686524850438175,2.8130947468244205,7.34785803410749e-05,28.3,0.01984060406867305,6.745918601982446,0.005221285564215399,21.7,2.52245639060193,16.571029718052284,0.0008381832698716377,29.4,0.0841411107124006,6.573838963771609,0.0005307197388699389,28.3,0.028523673102607883,5.006873647008368
36,0.00026191095090444125,28.3,0.019692021774520185,2.8130084222200638,8.66666354824386e-05,28.3,0.01994079820041397,6.739154783204913,0.005221285564215398,21.7,2.6601676287963256,17.486396104447568,0.0007795886150374751,29.4,0.08435818753767396,6.582133557407375,0.0007171105182152469,28.3,0.028227222879118948,4.964336097600379
37,0.000291847999721958,28.3,0.019697142890882507,2.812961248849893,9.969522461745152e-05,28.3,0.02001650825839921,6.734656523964605,0.005221285564215399,21.7,2.347072686160237,15.408339215556737,0.0009278027591713412,29.4,0.08386087503309111,6.563076259327459,0.0007389181591964012,28.3,0.02820535936817646,4.961090977215592
38,0.00025555827536349147,28.3,0.019691086324341654,2.8130361674658517,6.683097909681757e-05,28.3,0.01977541289107748,6.750317449463559,0.005221285564215399,21.7,2.5139832074629553,16.514767631014152,0.0006075345274312535,29.4,0.08527025147238335,6.6172972597171,0.0006468506475752779,28.3,0.02831883775325045,4.977468962596173
39,0.00029578339563891696,28.3,0.019697687620421997,2.8129530883085256,8.672217741382562e-05,28.3,0.019942266217890067,6.739328263666352,0.005221285561605865,21.7,3.478206573035998,22.95815415576789,0.0008395071626838446,29.4,0.08413653155087648,6.573663099944539,0.0005392543492070188,28.3,0.028502508052553253,5.004137084613616
40,0.0003067475065050899,28.3,0.019699206809095177,2.8129351802773024,7.998680568612363e-05,28.3,0.019894702802232586,6.742403996053165,0.005221285564196369,21.7,2.740643515076319,18.022036700145243,0.0007270869027515492,29.4,0.08458920421220148,6.59104624103064,0.0006167988077263634,28.3,0.02836312485477688,4.983889520065279
41,0.00021973485412806308,28.3,0.019682161675818353,2.8130842606094904,6.99039833869845e-05,28.3,0.019805518074006743,6.747949568430791,0.005221285564215399,21.7,2.5535613254165526,16.77767174888653,0.0007110474545122217,29.4,0.08466549009220346,6.593956024993119,0.0008501726514853718,28.3,0.02810266655124145,4.946224886742913
42,0.00026013706522069096,28.3,0.019691940972560874,2.8130254363959173,8.429470599855452e-05,28.3,0.019925986895860472,6.740379431899137,0.005221285564215399,21.7,2.5287233402017044,16.612647075669933,0.0005421278926450779,29.4,0.0857844951131082,6.637257334968094,0.0006573587293148673,28.3,0.028304207787042956,4.975356674162082
43,0.00024100591949318358,28.3,0.019688185019230784,2.8130745595728066,8.944046869677953e-05,28.3,0.01995945383869431,6.738217867250322,0.005221285564215399,21.7,2.351784927610105,15.43918526479625,0.0006846528749238314,29.4,0.08480116780792556,6.599190189169895,0.0006826485850456501,28.3,0.02827084039096747,4.9705444314695155
44,0.0002838531139538955,28.3,0.019695919048992802,2.8129749601616973,6.78877951288615e-05,28.3,0.019786052772899465,6.749408918089262,0.005221285564214766,21.7,2.8873405222505952,19.000022839354656,0.0007063646118722492,29.4,0.08469066060121742,6.594956860611792,0.0005973314972418476,28.3,0.028395660457445574,4.988506674029152
45,0.00028915554846668,28.3,0.01969671868123928,2.8129647227159467,8.404162073073376e-05,28.3,0.019924222821283383,6.7404905386728196,0.005221285564215399,21.7,2.4054987720767107,15.795127375052562,0.0007027220236431637,29.4,0.08470695175450864,6.595549679696839,0.0006612122002137437,28.3,0.0282989490604732,4.974598430421343
46,0.00024225808087895202,28.3,0.019688106941534646,2.8130537909062348,7.339491715177913e-05,28.3,0.019838640279399675,6.745811689902912,0.005221285564215399,21.7,2.1170307590255972,13.887249964268413,0.0007962927564990872,29.4,0.08429471865887153,6.579743043231226,0.0006866216837945849,28.3,0.028266137671672464,4.969847456750825
47,0.000252957055160585,28.3,0.019690557631309336,2.8130408603270625,8.838372306218944e-05,28.3,0.01995157531645807,6.738412369728532,0.005221285564212844,21.7,2.279669520376364,14.96340800983182,0.0008074120986651519,29.4,0.08425155718052817,6.578061181588903,0.0007712338985570538,28.3,0.02817494764298788,4.956462023858883
48,0.00025941778468418055,28.3,0.019691807213440483,2.8130269961780683,6.631040106355671e-05,28.3,0.019768438863224637,6.750506016019953,0.005221285564131227,21.7,3.1283609354688764,20.61132574840415,0.0006589118272381208,29.4,0.0849447180752342,6.604729565858306,0.0007774558677931375,28.3,0.028166030522874162,4.955415011998083
49,0.00026420644055389627,28.3,0.01969267124033085,2.8130159643102086,7.029866242272388e-05,28.3,0.01980972548768562,6.747736554387483,0.005221285564215399,21.7,2.663948071058448,17.511529059110707,0.0007339193925337509,29.4,0.08455705732390965,6.589798901297801,0.0007602765985438202,28.3,0.02818308250232577,4.957871048171926
50,0.00016960329585167952,28.3,0.01966662875090815,2.8133525897050555,7.129532051297109e-05,28.3,0.019820329291066842,6.747248324558883,0.005221285564215245,21.7,3.058221297693638,20.14214405766186,0.0008568560381525725,29.4,0.08407773390078901,6.571403726144281,0.0005830433979050132,28.3,0.028419735918724702,4.992027184056078
51,0.00022988649392270818,28.3,0.019685703737911724,2.813106294508461,7.146097028866293e-05,28.3,0.019821953679882893,6.747151136152705,0.005221285564215399,21.7,2.6371739719013028,17.333417470457537,0.0008332330977457805,29.4,0.0841583595675402,6.57450042588063,0.0005595818799241938,28.3,0.028464278592494903,4.998358984952679
