toy_id,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
0,6.617533994589917e-05,28.3,7.521218498517799e-21,2.1994376219514664,1.4731140950400587e-05,28.3,0.009851756022545583,5.137806899624682e-64,7.233910020672038e-05,21.7,0.0541752195824132,0.008626689645947793,0.019999999999999997,29.4,3.9716568414766407,173.49190615160398,0.00015114164559040086,28.3,0.002338280263928104,6.614979674490565
1,0.00019865761454758074,28.3,0.019696616535624628,8.188605312324892,2.0842950717909913e-05,28.3,0.023316591543786437,1.3411330676047859e-42,0.0004381976191850911,21.7,0.27116226464766885,1.0301131099778658,0.0001654256987365726,29.4,0.01841128650729039,1.3436175240313009,0.00019057375687969944,28.3,8.313839006229491e-16,9.043869405732922
2,0.0001421254592387212,28.3,0.00695669787102784,5.992760435709109,1.3371776864228623e-05,28.3,0.008226186363248346,1.3899106821954434e-20,5.510408894092634e-05,21.7,0.01847850155356998,0.08963982777565224,0.019999999999999997,29.4,3.662138382221305,184.62665054634283,0.000369192318496425,28.3,1.226249215764606e-19,17.99257219169179
3,4.932365836703088e-05,28.3,1.704213728624492e-26,1.329950018494881,2.9438079170305767e-05,28.3,0.04514720998999511,1.6074475469772955e-32,0.019999999999999997,21.7,11.594550035447382,92.65967402932978,0.019999999999999997,29.4,4.364303160061915,176.32587275810067,0.019999998614904587,28.3,2.1278963251286878,991.5364549438851
4,7.865559205840459e-05,28.3,1.347218783659493e-27,2.6443042529948135,1.2462333582544099e-05,28.3,0.0024273956274990173,0.012486804896330382,0.00017902423820226768,21.7,0.10349302219873882,0.43546249547369964,0.019999999999999997,29.4,3.882006239153187,186.35593554484444,0.019999999999999938,28.3,1.7464205724562532,930.3612802072789
5,9.177983088598233e-05,28.3,0.017203366545524897,2.3896836571800604,8.224144020415917e-06,28.3,2.4572616604206085e-27,1.7584787218874078e-47,8.659162661702789e-05,21.7,0.032541306810838146,0.1483956371209655,0.019999999999999997,29.4,4.760523886277653,180.165130342779,0.00014637773472687962,28.3,5.72456740937333e-22,6.966044579294134
6,0.0004957024698009815,28.3,0.17148574580367104,14.437819961613789,2.4540054120075933e-05,28.3,0.03150789230887502,4.636644670691177e-34,0.019999999999999997,21.7,14.597783741477127,50.37097664176092,0.01999999999999985,29.4,4.745377472636455,178.88124423406063,0.00010513603744960608,28.3,0.009284228472023029,4.735882635710119
7,0.00015990132344882155,28.3,0.03839304053290374,4.602630980479336,2.1545604457728795e-05,28.3,0.023566556372730495,9.815418357107218e-44,0.00014788417001687597,21.7,0.0778686273746306,0.29104892144528943,0.019999999999999997,29.4,3.1372610099487077,191.9272838966466,0.01999999999999861,28.3,8.44436527935012,743.8170121068439
8,3.720379020829756e-05,28.3,0.0024140806540267146,0.7030588018455658,1.3129484548384934e-05,28.3,0.005449858915830067,2.2623421006171638e-68,0.019999999999999997,21.7,16.401600606726845,48.53706995264017,0.019999999999999997,29.4,5.255261707697903,161.38954871505652,0.0006399905939547807,28.3,0.007544736118725497,33.6187839893174
9,8.575594243137427e-05,28.3,0.005105341142822712,2.918780637952052,2.9974663588392733e-05,28.3,0.041479774787842594,6.020551643346264e-57,0.019999999999999997,21.7,19.335098619811557,19.104329017196864,0.019999999999999997,29.4,5.722815390179599,185.16052500695108,0.019999999311498637,28.3,1.366959767794764,956.4198117915158
10,0.01999999999948191,28.3,4.591369833448826,782.890221500788,1.553644672335562e-05,28.3,0.012681119475602718,1.811322621161818e-46,0.019999999999999997,21.7,11.180963610021731,84.32573487712139,0.00031299268217630725,29.4,0.03927131064324706,2.8018554486258194,0.0009742556339428148,28.3,1.5318737120874662e-38,50.11037281472267
11,0.00010369939902529067,28.3,3.9059269888317874e-15,3.9720797287791263,1.3680008903480649e-05,28.3,0.021262147859604737,4.902259943144179e-40,0.019999999999999876,21.7,16.527295760230334,34.56265686801496,0.019999999999999997,29.4,5.576662686097926,155.54131629674225,0.0002513717819110765,28.3,0.012930480141186597,12.609271707793377
12,0.019999994229622894,28.3,4.396163509028478,768.5160247715033,1.4440542618753619e-05,28.3,0.007965155158966062,2.4160792450353664e-106,0.019999999999999997,21.7,14.525672110508122,57.18391801201026,0.00048452630267774364,29.4,0.07632011120898018,4.41432211132903,0.019999999999999997,28.3,2.3233480560958912,893.5902935832507
13,0.00016912705175573054,28.3,0.0040505534140570214,7.631214690126521,2.144315204925579e-05,28.3,0.02743784441794064,1.5583687173689431e-41,0.0001632310444117662,21.7,0.0935338358176023,0.2997738771808991,0.019999999999999997,29.4,3.769805689229774,203.5067796927757,0.004779991483619298,28.3,0.5301373274874451,214.55488493157335
14,6.637649484590103e-05,28.3,0.0021030726990766005,1.8948851215783322,2.2545581819639693e-05,28.3,0.02789697479929646,1.0754096052323212e-29,0.01999999999999997,21.7,15.34083350215104,45.129132976451906,0.019999999999999997,29.4,3.749038881644166,181.67895828879102,0.00023591270843330078,28.3,2.108193331095233e-11,11.77781519691211
15,4.514407935407242e-05,28.3,0.007476678058248961,0.859595496299933,1.2124406610484123e-05,28.3,0.009316534492733258,7.127121721091737e-133,0.00040317476784363607,21.7,0.23366565855183824,1.087739416330443,0.019999999999999997,29.4,2.7886869101867986,224.80880663479206,0.019999999999999997,28.3,1.5515919275167402,922.5100295515525
16,8.742768248526919e-05,28.3,1.0468950355792449e-13,3.3530807917493255,2.023992714771683e-05,28.3,0.014578075720111156,0.019791735343035306,0.019999999999999997,21.7,19.179584987207434,30.83956304980957,0.019999999999999997,29.4,6.135239765546853,162.5618798098528,0.019999999974238975,28.3,1.160145532979208,993.3439491302979
17,0.00044321948277708086,28.3,0.11771648094346696,13.13412712053897,2.3144352044493777e-05,28.3,0.0320586180890631,3.363908109616981e-43,0.019999999999999997,21.7,15.896063451249752,46.69386717410221,0.019999999999999997,29.4,3.769842050706268,175.10198245996426,0.0009898955205316742,28.3,0.04169586494417014,51.021980779211404
18,2.9321848475424054e-05,28.3,2.863651277820826e-19,0.4540242825860849,2.0743674291745237e-05,28.3,0.0155307359606424,0.020651068585898717,0.01999999999999769,21.7,10.558823165584288,120.00437159846078,0.019999999999999997,29.4,5.336387746004663,170.80769006568445,0.0006390885582276901,28.3,0.032681598190243064,29.711213112727616
19,0.00019838012266626442,28.3,0.02870810690390888,6.6585099541115405,1.0962813798496049e-05,28.3,0.004073025886904212,8.854746012699896e-41,0.019999999999999997,21.7,17.519140308952878,32.58571313245579,0.00037224676244744943,29.4,0.06143496357094384,3.1508478679161374,0.018202022146476718,28.3,0.4467740933869196,999.9999991338651
20,0.0001406960563403636,28.3,0.05228753963517143,3.2200082600250117,2.4949215845588725e-05,28.3,0.04087895739700555,1.164388111953702e-47,0.019999999999999997,21.7,11.791870607089438,78.75994815231667,0.019999999999999997,29.4,4.375303438755114,177.01698065874155,0.01999999984456901,28.3,1.4008883268561336,962.0782560260218
21,0.0003277458147901222,28.3,0.03886873595494602,14.264156518416307,1.4429539711369358e-05,28.3,0.009599899320976272,9.639006090834935e-40,0.019999999999999997,21.7,13.79283207986618,53.366984085667,0.01999999999999369,29.4,5.087925406871712,168.65016424854477,0.00042766882135217033,28.3,0.01010307503547648,19.909569206764832
22,0.00011762201722561588,28.3,0.003489993890476222,4.7906475082217534,1.1460838675597662e-05,28.3,0.0025145039182003248,0.0017466511966931551,7.503051745262264e-05,21.7,0.024798698179011074,0.19169987365849925,0.019999999999999997,29.4,3.5282118097813444,199.006874430291,0.00015392170077819874,28.3,0.022213982356382174,6.6078903991486015
23,0.0004269785030329263,28.3,0.17994422372159308,11.902592891674113,1.3969635880649184e-05,28.3,0.00891377158981391,1.2098476888777909e-98,0.0007212999294335429,21.7,0.43433661423483577,2.455996546186186,0.019999999999999997,29.4,4.315919932335673,189.30676690569646,0.0003700707621445681,28.3,0.009008260416511938,18.34889776722224
24,0.0003136827825815588,28.3,0.06356105990743474,11.140443374102064,1.3742057515283165e-05,28.3,0.0030901640666374064,0.028922314682325412,0.0006552465301581115,21.7,0.5048117815774582,1.2548584899777524,6.88841867612913e-05,29.4,3.2517550200031144e-12,0.44968619261852916,0.019999999999999993,28.3,1.7025961425546288,945.2692092920912
25,0.002155181347618229,28.3,0.6354182732046889,74.60181242078187,1.0431410142952518e-05,28.3,1.3122274086387272e-41,0.009443684181377794,0.019999999999999997,21.7,14.749785001627261,48.02961981720272,0.00016825242505085768,29.4,0.032440180352359196,1.10028924594087,0.00041530443742848267,28.3,6.404703549311478e-47,20.134392094518084
26,0.0006284322364672749,28.3,0.07193495782951004,30.542875830450416,6.304025969630091e-05,28.3,0.13560094860654875,1.3930127810298287e-47,0.0009469168474243962,21.7,0.49099617998524225,4.663492166659846,0.019999999999999997,29.4,6.06513233040949,154.8047606682374,0.01999999999997449,28.3,1.074302632826313,938.9738362662935
27,8.84429215432077e-05,28.3,0.001237327485315074,3.2193631885011396,1.0050719241388708e-05,28.3,0.0021627557227465117,6.256983835452087e-71,0.00024244417233544813,21.7,0.11424029870267546,0.9150503720750269,0.019999999999999997,29.4,5.211427285484346,166.25602763564504,0.0003675423405038341,28.3,2.675082530528563e-30,18.052727476050794
28,0.000271586773244866,28.3,0.06385011459798687,8.801845022186436,1.4085631711396214e-05,28.3,0.012205289785294521,4.4969819357897293e-60,7.179089995431875e-05,21.7,0.03912581958729316,0.03484070480512566,0.019999999999999997,29.4,3.5960130280884024,185.66798423940128,0.0002708891548751797,28.3,1.3592006202646418e-25,13.590454529460512
29,0.001316510784957565,28.3,0.5308361618245792,39.077054398278186,3.5103440672476265e-05,28.3,0.06388995774469215,1.878886670861398e-81,0.00017200316830923634,21.7,0.0739337853057588,0.6205932511611261,0.019999999999999997,29.4,4.865788659854099,178.01842277041254,0.0011802760688268787,28.3,0.016594146298266704,62.129814381782865
30,3.2212069650331905e-05,28.3,2.468145059873456e-20,0.5717037592191465,1.912381910627492e-05,28.3,0.016159746923685627,0.02080589187107758,0.019999999999999997,21.7,16.037500170190636,49.327107407964306,0.019999999999999997,29.4,3.3580849168256437,220.28298827487967,0.019999999999893076,28.3,1.141484016628564,968.9325393924724
31,5.149041860619839e-05,28.3,0.002392025168890686,1.1770194623119163,1.8926821782383138e-05,28.3,0.01800057054904534,5.035016769256315e-56,0.019999999999999997,21.7,15.04909709168383,63.359795782385504,0.00018269447494128756,29.4,0.014888331668000599,1.8147874291840984,0.01999999999994215,28.3,0.8109432429116121,993.7623122166241
32,0.019301056623195957,28.3,2.4250184605647718,999.9999794182933,6.527327677019592e-05,28.3,0.12484445709045329,1.737860063022105e-78,0.019999999999999997,21.7,18.317954563535373,43.94490011331502,0.0001506673711792263,29.4,0.009621063474308541,1.322463859248133,0.0003880174994406461,28.3,0.013969197986394071,17.953266264339597
33,7.920159545875965e-05,28.3,0.019821780010560903,1.7922119172207192,1.90665416337043e-05,28.3,0.015224750055466597,0.018314943794870354,0.0011163430840594945,21.7,0.8392637298210707,2.3483019210235256,3.909906569746584e-05,29.4,3.5737163395441663e-37,0.12504734587951144,0.000283810966156265,28.3,0.0015256912871717627,13.884747190024056
34,0.00026170193614576625,28.3,0.004516195495620399,14.214710773348067,2.895176217330665e-05,28.3,0.03303453199617999,0.028467062405838513,0.019999999999999997,21.7,15.454149010709319,47.965003802830005,0.019999999999999997,29.4,3.8726280958878476,180.6345174118973,0.01999999973792074,28.3,3.522769193761651,888.6063018158538
35,5.260953485879759e-05,28.3,0.0009595954008863934,1.3768086447561743,3.192705865918136e-05,28.3,0.044920952907774994,2.9972794644281274e-38,0.019999999999999997,21.7,13.65360302607734,67.74626476584292,0.019999999999999997,29.4,4.619093365054822,186.32991008332374,0.0004006365597075636,28.3,0.023688666381809196,19.29781287945774
36,0.01961862742632266,28.3,2.6303933673462363,999.9996138095089,1.1716290754827173e-05,28.3,0.0035023296983352384,8.466693707673769e-102,0.019999999999999997,21.7,13.460781809007477,61.71209333598057,0.019999999999999997,29.4,5.671666708427068,150.99711884299657,0.019999999999999997,28.3,2.011259923011466,974.8422295736608
37,4.895197969122618e-05,28.3,7.85564092366651e-23,1.3393429598242708,1.329249039749878e-05,28.3,0.007258709741577176,1.1494197058966516e-40,0.000394852793516191,21.7,0.28065418602398057,1.0386891385806247,0.019999999999999997,29.4,4.428941502004556,180.65451088586008,0.0002917990467553301,28.3,1.1005971164166381e-20,13.991359115122549
38,0.00041986835863920893,28.3,0.09828939857755756,14.726480874731857,1.5967398956732347e-05,28.3,0.01829845949092701,4.895167030817603e-66,0.00043042141534311424,21.7,0.3248370311927604,0.6920003378525005,0.013097588885334337,29.4,2.7881506129708264,122.72475838868857,0.00025846672619747114,28.3,0.010742806564273672,13.665645044931624
39,0.00011412974535301227,28.3,0.01934305888573989,3.749340302719193,1.5185172571596842e-05,28.3,0.015282285205280535,4.408891295163176e-50,5.081208436751915e-05,21.7,0.013095454053070544,0.07456524414990669,0.0005673016494939533,29.4,0.06221565215629928,5.715993020643069,0.00025113442427126756,28.3,1.0100219333067671e-21,12.385863954898399
40,0.019999999982622484,28.3,7.986652186640458,583.4580054885128,2.2051243253057897e-05,28.3,0.016105491210676,0.026850486407713016,0.019999999999999997,21.7,15.638058292130594,52.40898786002255,0.0010613963580781642,29.4,0.16479818160557017,10.306453420005855,0.019999999999999997,28.3,4.573858884109478,834.3896887004988
41,0.00014606643116361225,28.3,0.05558549684149565,3.337068391112531,9.628050167820239e-06,28.3,0.00031994368064799727,4.0586399906865e-38,0.019999999999999997,21.7,19.90456065862721,14.029480990769029,0.00026447025188009707,29.4,0.035100797699049974,2.1952095803991125,0.01999999999527104,28.3,2.6154728074680174,943.838683791735
42,8.398555813532325e-05,28.3,0.00416041627989292,2.7631350903137144,1.0362889631811967e-05,28.3,0.002727894754730651,1.7569703925578144e-59,0.00016906242483106387,21.7,0.1637208175736874,7.065692177874232e-10,0.00013587478673792906,29.4,0.015798857813718693,1.016913380935361,0.019999999999370185,28.3,1.6151188181898302,955.3336108314401
43,0.019999999837688485,28.3,6.500133394540154,672.405026155723,2.2834410689281518e-05,28.3,0.016593081344762242,0.05605549978402317,0.0006282585999574888,21.7,0.43743622091433776,1.676600906638746,0.0001699404804197158,29.4,0.01524566078554891,1.4615494480755507,0.019999999999999997,28.3,1.3841579863837943,951.066155849746
44,0.001073947744632696,28.3,0.2505530690092598,37.83341606935475,3.886132239818053e-05,28.3,0.07938535655709007,1.880145596198882e-63,0.019999999999999997,21.7,14.382521106287593,46.618739616022935,0.019999999999999997,29.4,5.883230671259591,147.04305531704247,0.0005185858916065947,28.3,1.8725335366790997e-28,25.73465315130149
45,0.019999995067671392,28.3,4.913369263464241,789.1734181955142,1.4432758936915656e-05,28.3,0.003441413174915249,0.03118212140825568,0.019999999999999997,21.7,15.953925488361417,32.57328295256179,0.019999999999999997,29.4,3.460182633094709,194.31027276738325,0.0002577818311556668,28.3,0.012701295103762512,11.829769631081383
46,8.183482296201275e-05,28.3,0.006800112193533019,2.331887171409487,2.1935288611904994e-05,28.3,0.017336958743692427,0.03609999642880953,0.019999999999999997,21.7,14.892243976995326,55.00762326512285,0.0012556202682141545,29.4,0.304677109479098,10.185148122919495,0.01999999892665414,28.3,1.2353381039725788,999.9999999998936
47,5.98714355170165e-05,28.3,0.014709494534844717,1.1952778747094575,1.1762025548718899e-05,28.3,0.0032811088321815962,1.2181798887172826e-52,0.019999999999999997,21.7,17.04089083854521,40.75139313388879,0.019999999999999997,29.4,3.4591660667342263,204.68204795077185,0.019999999989028842,28.3,0.9780030564808936,993.3090366201241
48,0.01999999989577654,28.3,2.413686451241412,985.3852270713338,2.4854019142411925e-05,28.3,0.03164394721297879,1.6958500089045706e-60,0.019999999999999997,21.7,14.648666128824264,49.10594082392582,0.0002975937571008482,29.4,0.04474933529528856,2.4284036618661022,0.00027128992809535504,28.3,0.004930401008231037,13.77763406608164
49,0.00018313724959162384,28.3,0.07841607203006064,4.127331933189988,1.822735090348756e-05,28.3,0.014071650804342169,0.00647487487383447,0.019999995251015344,21.7,12.20414235460926,73.26491658977486,0.019999997408126503,29.4,2.830292841653065,208.80307521484755,0.0016312945301694196,28.3,0.28850952447184985,73.01660149929695
50,0.00010955640376773433,28.3,0.012376144451949378,3.4966362969024223,3.455827683271129e-05,28.3,0.04885184637641484,3.1262016035852063e-62,7.529557827084967e-05,21.7,0.035568900325473406,0.10433150808264155,0.00016197189262777517,29.4,0.018238478243238897,1.3066240324435223,0.00045612758760566,28.3,0.03821339352407282,20.232439679370735
51,0.019999999985889808,28.3,4.154546514808686,773.2410677449699,2.3808558897771176e-05,28.3,0.01770427044724014,0.06381313600158481,0.003018759712110918,21.7,2.0392713989759943,9.827142437639466,0.00019675683336609797,29.4,0.017886547448534885,1.9150041538425855,0.00014763835741435824,28.3,2.6409737018762967e-39,7.014738503028533
52,0.0001312404280581048,28.3,0.03153378031318421,3.3822435117146283,1.4682280388467479e-05,28.3,0.008216145436693374,0.0007585850017520234,0.019999999999999997,21.7,14.012815890246134,72.25329337341029,0.019999999999999997,29.4,4.914539804008705,172.11939980661919,0.019999993135911828,28.3,1.4488924272999577,953.3315448873799
53,8.037930282874706e-05,28.3,8.168254346110302e-51,3.041938126751899,1.5888166799386746e-05,28.3,0.004610740467251717,0.04994813221829703,0.000160905696064968,21.7,0.07982230604942929,0.5574398613009526,7.539905086009732e-05,29.4,0.008354566093907218,0.4179645763773798,0.019999999999999997,28.3,2.0623730000688236,906.4591716813921
54,0.0001255148741596257,28.3,0.005532631477638174,4.9757940676670565,2.1322859308894227e-05,28.3,0.024819618826389604,9.374797608809762e-86,0.00026781387939673793,21.7,0.13740869836165293,1.0906534380522144,0.019999999999999997,29.4,4.137576526268141,178.7556515291368,0.019999999999999997,28.3,2.1823418973556254,936.367579109472
55,0.0005199520133101306,28.3,0.07254688717899208,23.62007775836168,1.894801672187089e-05,28.3,0.0171046749130232,1.0097400815867294e-52,0.019999999999999997,21.7,22.665485995273098,8.860375033268868,4.958416358705911e-05,29.4,1.3625996547927045e-17,0.23077045438335314,0.0003565034554306745,28.3,6.670357793811111e-33,17.93415125310201
56,0.0004112049467746592,28.3,0.17507430583032688,11.94265436622919,1.4775736478635774e-05,28.3,0.007059024885693545,0.014083589670278443,0.019999999999999997,21.7,11.084770568096019,85.96329900885466,0.00019257702226865026,29.4,0.027873738556911453,1.5016444476473125,0.0004832871396438343,28.3,0.00402745289587314,24.074188520797456
57,7.364409358578935e-05,28.3,1.1831742873964656e-24,2.6739897488073128,2.3690843753118563e-05,28.3,0.036064384487918794,9.235003928125597e-46,0.0006217004201160215,21.7,0.39293708484724227,1.7264825530123327,0.0001434866009714186,29.4,0.008532404086609208,1.2871862760651405,0.0005699974570469171,28.3,4.32623852184656e-16,28.999349255133254
58,0.019999999712822146,28.3,5.9277512856846535,724.2894666398295,1.1745820190443644e-05,28.3,0.00766754743612442,2.9612224670048058e-89,0.00015485188651407053,21.7,0.12483745959778376,0.11960825928932604,0.0034058553116203217,29.4,0.758820989253094,31.06316202685035,0.0006875761243043025,28.3,0.0478789552954367,33.21106019198925
59,0.00038483813194944505,28.3,0.04804581192570756,16.424944857482018,1.0375974984850465e-05,28.3,0.005462560128967438,4.4024587788400173e-54,0.019999999999999997,21.7,14.882554693396695,61.2433768519866,0.019999999999999997,29.4,4.348777206100112,184.84827805742046,0.00013740324128480626,28.3,0.0025891435712818395,6.534382107497984
60,0.019999989896608297,28.3,6.896965021924486,651.8274741776454,1.667861489576535e-05,28.3,0.013371139498810965,1.0138608630959622e-82,0.019999999999999997,21.7,13.235764665973631,48.65754755588131,0.019999999999999997,29.4,4.540099550940304,180.9196376638778,0.00017773643947470306,28.3,1.5599418583294761e-18,8.579970527155346
61,0.019999998814786223,28.3,4.182264879069649,803.8725433092599,2.3368706696835895e-05,28.3,0.03013757626769374,1.1653272311785156e-51,0.019999999999999997,21.7,18.695957827460163,31.12277908410532,0.019999999999999997,29.4,3.765426502870522,181.63483047747093,0.00033700590952580095,28.3,8.852418340220883e-28,16.04964146550775
62,9.984562243036645e-05,28.3,1.3953937804438006e-23,3.878819144531967,1.7355039557934384e-05,28.3,0.022284039074435023,8.036103485072652e-52,0.019999999999999997,21.7,15.611626289420284,44.17563640143692,0.0005310348201568478,29.4,0.05865824171743327,5.30113384667673,0.019999999474831755,28.3,1.1822729680933626,972.5870640432487
63,0.0002596496300710647,28.3,0.0409886564933987,9.956784492291986,1.8754769543422292e-05,28.3,0.00911626571423843,0.040322865119934305,0.0004899066992793544,21.7,0.35527676564387456,0.9339677111289094,0.019999999999999997,29.4,4.469310740678118,159.1402459802666,0.000512064863826489,28.3,0.05251856960812196,23.41967195003931
64,0.00024582529192643623,28.3,0.044151312213183656,8.286703078283727,1.690173869069032e-05,28.3,0.012825436922713533,1.2889131904337721e-51,0.019999999999999997,21.7,19.71607092807728,19.301498601056508,0.00022802590247708736,29.4,0.0238202620531969,2.1380364635815092,0.019588078642588144,28.3,0.5944204308021911,999.9999999975881
65,0.00016958310322493203,28.3,0.013587600886253146,6.740187589973258,1.9200406904959667e-05,28.3,0.014910182224248737,0.01593798117669175,0.019999999999999997,21.7,16.40060605785675,38.216388220147216,0.019999999999999997,29.4,3.9949113912483694,178.60663511750073,0.01999999988435188,28.3,2.309865990718969,955.0483545802617
66,0.00016561249352884525,28.3,1.4008806852761997e-32,8.311495632637984,1.9260740468473712e-05,28.3,0.016750541599710955,2.9885842206866484e-59,0.01320609578863875,21.7,5.544655934783939,124.42167621083276,0.019999999999999997,29.4,4.427029128837237,171.8446670874811,0.019999999999999997,28.3,1.2665076418360348,901.412668213419
67,9.272874701749852e-05,28.3,7.878020690357228e-18,3.6353203620566856,1.54390976043324e-05,28.3,0.007916937669207244,0.02668415246246596,0.019999999999999997,21.7,13.673590538842381,70.6063158656421,0.019999999999999997,29.4,2.6238572327419303,230.80812440088656,0.019999999835356427,28.3,2.7550683570755607,911.8585920591031
