fCF4,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,2.5bar,Err 2.5bar,ErrStat 2.5bar,ErrSyst 2.5bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.07847403590276894,0.05000108113976223,0.05000101632178853,8.051045474801594e-05,0.03508579911130599,0.022355526857538565,0.02235549113596059,3.996433554542475e-05,,,,,0.017490989169117312,0.011144708259378478,0.011144670015607061,2.919640196596962e-05,0.004099266344864307,0.0026119150847352564,0.002611914642326767,1.5202192659539981e-06,0.0025752674919822154,0.0016408750947152042,0.0016408738306657,2.0367358939102267e-06
0.1,0.07029115224046303,0.03944866512302632,0.0394485703491883,8.647192500853967e-05,0.037258925430024285,0.020910390434202474,0.020910332155792695,4.936846370249409e-05,,,,,0.0174766344541602,0.009808221894199515,0.009808179575339469,2.88122152640978e-05,0.006504098516746416,0.003650215571426159,0.0036502088771881557,6.990763819756263e-06,0.0007155239257867145,0.00040156659126853257,0.00040156399522892007,1.443938647084273e-06
0.2,0.08910944608677338,0.028950453471480942,0.028950283020690182,9.93439797913262e-05,0.03484618837665697,0.011323287618215522,0.011320988514664803,0.00022816997098773495,,,,,0.019072398466367848,0.00619639675891246,0.0061963277489913956,2.92441607856464e-05,0.006473054849109349,0.002103031249971804,0.0021029955646641838,1.2251259557293642e-05,0.00024493926957506513,7.958247298435448e-05,7.957698637441983e-05,9.344762548674403e-07
0.5,0.0687776190048967,0.012902564166239453,0.012902237589846245,9.179999501606612e-05,0.039261516144290756,0.0073654750266161475,0.007365207123485304,6.282034596746117e-05,,,,,0.02536929832543904,0.004759361108335878,0.004759116689677771,4.823373892417701e-05,0.01963396544374208,0.0036833495166336094,0.0036832052439610585,3.260049911895692e-05,0.00999153214806163,0.0018744712996133467,0.001874346968185971,2.158925487846103e-05
1.0,0.06956799947398626,0.010396793396947728,0.010396383659031287,9.230250832521075e-05,0.023521606238836992,0.003515302168680401,0.0035151167862323626,3.610147194500063e-05,,,,,0.015362042385565093,0.002295909273081844,0.002295734930344743,2.8293458929923992e-05,0.0036875702548525005,0.0005513161288091074,0.0005510780161705523,1.620166592017163e-05,0.0035808472869849196,0.0005351291380534916,0.0005351291182926317,1.4542772589333855e-07
2.0,0.07748355314196348,0.005286924754014726,0.005285120383131009,0.0001381154966932016,0.032499225912463035,0.002217429509062918,0.0022167584518386642,5.454900425180126e-05,,,,,0.024711188651423917,0.0016859772222149643,0.001685539724717465,3.8406122260114736e-05,0.015962388461893226,0.0010891925059717967,0.0010887877646607019,2.969037874926174e-05,0.013476523143548318,0.0009197432405906222,0.0009192279428539782,3.07833995618189e-05
5.0,0.04427335357366738,0.004809386255443279,0.004808027924186955,0.00011429625665439896,0.021797701853392526,0.002367904275456576,0.0023672017304907215,5.7676900811895124e-05,,,,,0.008909059530426519,0.0009679412937249817,0.000967512138633468,2.8820300048477097e-05,0.0022996001955260456,0.0002501911609593345,0.0002497335544315113,1.5125105394111788e-05,,,,
10.0,0.03413396440694031,0.0037037969385435494,0.0037026485304699533,9.222592787965639e-05,0.021644336811025965,0.002348466804082149,0.00234784834632473,5.3893158527329454e-05,,,,,0.005628689128819597,0.0006113950868196372,0.0006105665689115959,3.181850271010778e-05,0.006018642545971357,0.0006534236007986079,0.0006528663858843683,2.6979330290087707e-05,0.011430497894299979,0.0012409485094416822,0.0012399121217301187,5.070634548306422e-05
20.0,0.0281847912801285,0.003057570752426132,0.003057317772141094,3.933123748270026e-05,0.024839345886935114,0.0026958251872582824,0.00269442384276334,8.691142505210837e-05,,,,,0.014168804347696538,0.0015369724747864965,0.0015369472461818114,8.806287837344329e-06,0.010296811122300116,0.0011170881403284258,0.001116936553749945,1.840239548582534e-05,0.019850320963900124,0.0021537229474343027,0.002153244225314699,4.5407493368397264e-05
50.0,0.016464796268923033,0.0017881354489146068,0.0017860027327273953,8.730763056754264e-05,0.012603423620235404,0.0013679692842217264,0.0013671440970058114,4.750768986455569e-05,,,,,0.015289375679485729,0.0016586487563053965,0.0016585001295642172,2.220398677970324e-05,0.016922014186569898,0.0018356908498374741,0.001835599000851923,1.8363121969034238e-05,0.016312679806961515,0.0017712080206199066,0.001769502047731439,7.771972325305333e-05
100.0,0.001187787165007242,0.00018777530548060977,0.00011110603067122896,0.00015137706331152102,,,,,,,,,,,,,,,,,,,,
