fCF4,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,2.5bar,Err 2.5bar,ErrStat 2.5bar,ErrSyst 2.5bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.006451705741769752,0.02153019661973326,0.02107958658073519,0.00438182565486833,0.005393208066702945,0.014535572928185752,0.014232207330657495,0.002954175832239102,,,,,0.0038185225248870847,0.011725507804534196,0.011479794626099285,0.002387854396058167,0.002755206379490026,0.00820367554769142,0.008032641785529905,0.0016664208463497646,0.00022276002813544516,0.003897899827908359,0.0038145038866329566,0.0008019870119085966
0.1,0.009962619373306458,0.017575282852873332,0.01710064941389892,0.004056890062772451,0.011580646304927882,0.01416499772681223,0.013791753809788284,0.003230276683317707,,,,,0.00890461774972542,0.010163056346298714,0.009891983530189006,0.0023316037691923598,0.005634604100141445,0.006745878100942116,0.006567331522918602,0.00154176133718875,0.007405265985366802,0.00600770370742388,0.005852662093342271,0.0013560421296365003
0.2,0.03309071318594183,0.016908600951595923,0.015677603607014104,0.006333524396546435,0.03379595494701305,0.014980348266506547,0.01389003303600943,0.005610509463889388,,,,,0.03232820224125916,0.013290060029896958,0.012332381911979988,0.004953589806931287,0.025729713511765884,0.010369728795053736,0.00962387244920065,0.0038616517663408387,0.012783311129574287,0.0050041740799022,0.004633358010094723,0.0018904369262834715
0.5,0.0493076979974294,0.014008621985207104,0.011455285339930116,0.008063369500724248,0.04886749652141616,0.012826060369643913,0.010507797337570289,0.007354863677750994,,,,,0.05334336821675462,0.013352854501493722,0.010949113472711105,0.0076430123315193825,0.05379543232339071,0.013144070736141107,0.010786788473802005,0.00751077825116234,0.04757797960958198,0.011297576387393144,0.009284035705392461,0.006437539378518865
1.0,0.0784163750838793,0.017025251365244975,0.012762974856291501,0.011267903836448323,0.080935475711588,0.017020672101871907,0.012756794503232817,0.011267984416111411,,,,,0.08053424338257306,0.016659083548183184,0.012469272278648209,0.011047276293561364,0.07946078334812745,0.016416203960172345,0.012313880596169675,0.010856339029583321,0.07511234322798185,0.01522283578044889,0.01142731992906094,0.010057389742741486
2.0,0.12266318819449247,0.019092508092395283,0.008774354627115441,0.016956844226913133,0.12584441498632248,0.019238279952504742,0.008828226530429457,0.017093093103893377,,,,,0.12936503185078765,0.01969365027670978,0.009047990520348834,0.017492104755146787,0.12561531282173105,0.018963587703051808,0.00871576633177525,0.01684200331971321,0.12745726986852404,0.01926670301705018,0.00884936481597871,0.01711416335965415
5.0,0.19227010068260716,0.033243460692997856,0.021126343249888248,0.025667202803086958,0.20603914425872435,0.03554799026147549,0.022556464552374676,0.02747481607813637,,,,,0.20033048411959042,0.03455674105386804,0.02192591863327426,0.026709969006929332,0.20598134303830679,0.03557557268876306,0.022560189805639605,0.02750743914047578,0.1969285632863387,0.033835834129189946,0.0214269709111891,0.026186801805281823
10.0,0.2215751829714091,0.038056644385051304,0.024216746049486128,0.02935740779811724,0.2423572838710995,0.04166466581752172,0.026507418910780147,0.032145001483499386,,,,,0.24575896435427097,0.042355349055738824,0.026922766049063133,0.03269771034645835,0.2546221893656328,0.04392606701960559,0.02793269258872734,0.03390079716694784,0.2590338206970813,0.04444120759384195,0.028247155217226944,0.03430917012305666
20.0,0.21920073653378777,0.03727159597991795,0.02392224106076107,0.028581431901167464,0.2374065548700047,0.04042554021734621,0.025957851379803738,0.03099055103750653,,,,,0.24687744751714383,0.04223829132301835,0.02702189664873706,0.03246367747796204,0.2648098201644788,0.04534860108061799,0.0289624529095044,0.034895156417958165,0.265462474129206,0.04533739210395833,0.029032455363967185,0.0348223442394006
50.0,0.21612525385158693,0.03645992499758307,0.023617052845789736,0.02777698590035567,0.2294508205782904,0.038740326149975426,0.025063518410506993,0.02954036078135551,,,,,0.24237890002116627,0.04103344876595573,0.026511466537250415,0.03131910055657035,0.25771804024889383,0.04360060126550561,0.028174842991518158,0.033274474497982834,0.2778168321368273,0.0471616310321973,0.030335207969988988,0.03611086538750674
100.0,0.17034926487202737,0.02596346847294627,0.015947876423463486,0.020488214483639425,,,,,0.1797038325852115,0.02184605095388674,0.0,0.02184605095388674,,,,,0.1820960687399362,0.028227897997553656,0.017033330544876036,0.022509550770934694,,,,
