fCF4,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,2.5bar,Err 2.5bar,ErrStat 2.5bar,ErrSyst 2.5bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.03362835711711987,0.021898587185415645,0.021426858116121363,0.0045208264718803876,0.017014066565272812,0.011079202557759921,0.01084079097300748,0.0022860403311038835,,,,,0.011321255620758513,0.00737247340528523,0.007213523308245099,0.0015226442765934114,0.008677784336911338,0.005651711391085234,0.005529192315334385,0.001170416160248044,0.0012775022251611653,0.0008320266759274901,0.0008139814510183835,0.00017234438445436922
0.1,0.033197272702770134,0.019157914871899898,0.018630864708781295,0.004462799843377574,0.016407075755550136,0.009469290758381899,0.009207925343905526,0.002209429412278004,,,,,0.009377533283325504,0.005412117051570729,0.005262828530162732,0.0012623972599811097,0.005114766532874269,0.0029519867309355115,0.0028704925294369505,0.000688838368607603,0.0013936139967365105,0.0008041750955437959,0.0007821194849929744,0.00018704730815277096
0.2,0.03319673749395336,0.011671328613470243,0.01078510739341424,0.004461095170037364,0.016905244206342897,0.005953130700849427,0.0054922527947365825,0.0022967203530478387,,,,,0.011250366329219608,0.003955931508378043,0.003655070294121099,0.0015132267655614878,0.004275119808400094,0.0015033257835290856,0.0013889204100766175,0.0005752290899249963,0.0009462246770780788,0.00033304815235126427,0.00030741378614222584,0.0001281321032149741
0.5,0.032450654240275364,0.007491582791670779,0.0060875333722177185,0.004366434491274697,0.017159913322516186,0.003962185636899819,0.0032190890279657513,0.002310060789521726,,,,,0.011160048615352618,0.0025753135214387148,0.002093553118482665,0.0014997583384654288,0.0047133572884759875,0.001087886515607819,0.0008841954179516016,0.0006337945516606417,0.0038366241452006183,0.0008876529996643856,0.0007197259367294301,0.0005195405891863754
1.0,0.02692799709370395,0.005414285782884772,0.004024174779671644,0.0036222241622244807,0.012207871498605912,0.002455634532153362,0.001824369203071866,0.0016437207689832803,,,,,0.006441419611789999,0.0012963870556676666,0.0009626188779227225,0.000868322690000371,0.006753639075614614,0.0013591513220531592,0.001009277591070734,0.0009103027300856052,0.0032095350461273436,0.0006461549950055801,0.0004796394600814094,0.0004329691281182474
2.0,0.024540392975060363,0.0037014566587756405,0.0016738898238817896,0.0033013443101711643,0.011315565117279151,0.001709310866773852,0.0007718299099991788,0.0015251302335544453,,,,,0.008089460103600229,0.001221410631429268,0.0005517786517059979,0.0010896716248897896,0.0057967489822765336,0.0008742343356680643,0.0003953937959710257,0.0007797111130211014,0.003900044486257194,0.0005911767764373855,0.0002660203846314381,0.0005279423604518207
5.0,0.007860581260321395,0.0013625179652850357,0.0008536487785385375,0.0010619505490483709,0.004353984527940269,0.0007576484204337089,0.00047283698888953837,0.0005919935058119883,,,,,0.0009223172411507029,0.00015999081203409504,0.00010016243840740342,0.00012475794911592704,0.0004791931722320237,8.428810230883879e-05,5.203974777599955e-05,6.630496845814516e-05,0.00016151329961562166,2.956010060390194e-05,1.7540131749616562e-05,2.3793766534932988e-05
10.0,0.004218983312664595,0.0007324358058336494,0.00045765010405701906,0.0005718553942420995,0.005244871138661558,0.0009077412299034208,0.0005689322864038882,0.0007073260874263152,,,,,0.0007227668194400945,0.00012639273652583348,7.840142650785027e-05,9.913798549508111e-05,0.002248685803690475,0.0003901601388074338,0.0002439240015387804,0.0003045094668274618,0.001986498010897039,0.0003470548000574384,0.00021548343617929964,0.0002720549999086035
20.0,0.0026811050703461387,0.00046352178363819356,0.00029083026015970824,0.0003609296381326542,0.002827678170429447,0.0004937887385341837,0.0003067296343771238,0.0003869680215444894,,,,,0.0030217329430616766,0.0005238443862261374,0.0003277795367603147,0.0004086239301140256,0.0015320169127666563,0.0002634229406952489,0.00016618404188519065,0.00020438813543656052,0.0038368982014184145,0.0006719451401626608,0.0004162037939008373,0.0005275269408577797
50.0,0.0014372806007089869,0.0002522861715037218,0.00015590761274146214,0.00019834598211525137,0.003313074360622118,0.000575995209177482,0.0003593825131604385,0.00045012741555019564,,,,,0.0017800327503823528,0.00031216741688165866,0.00019308731821527072,0.00024528714541737005,0.0020924397274539935,0.000358282755047461,0.0002269753606580547,0.0002772160136401664,0.0036948961789033245,0.000637767916611221,0.00040080026286878537,0.0004960917906425481
100.0,0.00045849420829012293,6.308271573297697e-05,4.2887710079400164e-05,4.6260926799977727e-05,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,
