fCF4,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,2.5bar,Err 2.5bar,ErrStat 2.5bar,ErrSyst 2.5bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.08341698288309163,0.014271610271680592,0.011869967322031261,0.007923555737208453,0.09157022724012617,0.01383607794819763,0.013030147668306439,0.0046532037061286086,,,,,0.10315876755812953,0.014734362831848731,0.01467915953771827,0.0012742540275706843,0.11125099631590746,0.016010339503405708,0.015830657561230404,0.002391913918470316,0.0953591613791139,0.01383802256399129,0.01356930076232501,0.0027138432716533115
0.1,0.06394161954297442,0.026649898740849567,0.02611213131655661,0.005326697007005256,0.08624341906943547,0.03527240975558624,0.035219619084192556,0.0019290727125628668,,,,,0.09329643045431295,0.03811553394440292,0.0380998895680409,0.0010919444903562114,0.0880211382777572,0.03608962509572506,0.03594559439954195,0.0032210685825679805,0.09303309613086927,0.038122081766629075,0.037992350527224196,0.0031423589289067827
0.2,0.05686044049521424,0.011059604392082454,0.010850281011295277,0.002141553474768871,0.0766225975624335,0.014635092717523713,0.014621355517598677,0.0006339571582546985,,,,,0.09492244437958755,0.018115766516162545,0.018113387564844086,0.00029357689600456593,0.09019603108604878,0.017418801445006567,0.0172114791032884,0.002679483319154935,0.073674798511082,0.014759013141607725,0.014058847598324193,0.004491911967218813
0.5,0.05853232366717031,0.011973810332365272,0.011765369427958116,0.0022244586080945317,0.08114642802239196,0.01631200628713097,0.016310948269735916,0.0001857838889654656,,,,,0.0899162434415886,0.018150709053639996,0.01807373696079422,0.0016698117923615932,0.10337603235760068,0.020932522319807398,0.020779240161379414,0.0025285705418183896,0.11096831041187932,0.022478022225959217,0.022305336350833593,0.002780908748394685
1.0,0.05486452902258044,0.010548680439308872,0.010548657304851924,2.2092429737996522e-05,0.06737829229231193,0.01322399428168907,0.012954645338980724,0.002655407483489164,,,,,0.07602663789837552,0.015073807260153237,0.014617439783360994,0.0036810486951497634,0.08640905640568287,0.016941535419107017,0.01661363981970984,0.003317015872408388,0.09262624670921299,0.01823337213199119,0.01780900248989691,0.0039109192804913095
2.0,0.07006934241884198,0.010055263576908672,0.009876530377113404,0.0018874515387321406,0.08130574166990176,0.011844936593295191,0.011460341994312541,0.002993841056666162,,,,,0.09653526696832543,0.013992052691234878,0.01360699934896257,0.0032599244211523326,0.10029086080296953,0.014588734643261759,0.014136364051291903,0.003604773210737086,0.1081534395222655,0.015856057164877337,0.015244623311088955,0.004360734905822776
5.0,0.11414391654622856,0.022030917517398333,0.021558983736047494,0.004535586723594678,0.12129374979980503,0.023561114362309215,0.022909411717611263,0.0055031776953674075,,,,,0.11891112400294879,0.023326360026518344,0.022459392195259345,0.006300378901802378,0.128735839855697,0.025229122657972433,0.024315039834570045,0.0067295964168952935,0.12519355420872522,0.024755093322379382,0.02364598903482313,0.007326789744815709
10.0,0.17757799335679245,0.015314997953086912,0.014228051804410953,0.0056667189937436024,0.18752797250186332,0.017076951436610793,0.015025272316101467,0.008115630733058168,,,,,0.19251732385652714,0.01670770157924136,0.015425033278609548,0.0064199408419994275,0.20043618562078344,0.017384856323342326,0.01605951491275793,0.006657718088817016,0.2041199325094919,0.017876937917291853,0.016354667147424604,0.007218709842877577
20.0,0.24353116906007527,0.02116070693453513,0.019512407049299366,0.008187886730514515,0.25272960683741763,0.022505407000578913,0.020249411937921572,0.009821133357717213,,,,,0.2546563342978607,0.022208111986151094,0.020403786799366736,0.008768450389630741,0.2667259366662428,0.023250749037744472,0.021370837527386537,0.009158855506788105,0.29221650392302345,0.02520119831094262,0.023413213976165255,0.009323186558991364
50.0,0.4239600826635034,0.03608432705785252,0.03396888265889363,0.012173482251368467,0.4188190713251838,0.036170173029352944,0.03355697026892925,0.01349856152867887,,,,,0.4180357076358021,0.0360086538507939,0.0334942049513157,0.013219734748683626,0.4149344319625653,0.03535257682652167,0.03324572196023968,0.01202192412293282,0.4208763929902603,0.03603580100960016,0.03372180870794817,0.012705060876204044
100.0,0.8217044247670195,0.11837360623297948,0.11639624289598563,0.02154588806011931,,,,,0.7743313583348994,0.020388511588767366,0.0,0.020388511588767366,,,,,0.6363613683615236,0.09141028346709527,0.09014199043948315,0.015174369283197264,,,,
