concentration,CF3,ErrCF3
0.001,0.1696,0.004118251921046845
0.002,0.3529,0.005940539969809485
0.005,0.8703,0.00932898982514926
0.01,1.7316,0.013159031902864661
0.02,3.4387999999999996,0.018544002879573532
0.05,8.407,0.028994828602025492
0.1,16.307,0.04038194417451651
0.2,30.918499999999998,0.055604370913661744
0.5,70.0711,0.0837086757814869
1.0,133.5141,0.11554762918366636
