concentration,Ar_1s4_1s5,ErrAr_1s4_1s5
0.001,44.235299999999995,0.06650976606802302
0.005,42.9989,0.06557424146052146
0.01,41.3913,0.06433535335601002
0.02,38.7379,0.06224026016419812
0.05,33.2413,0.057655106967125856
0.1,27.41,0.052354236199446076
0.2,20.6687,0.04546218303109972
0.5,10.2349,0.03199180457603457
1.0,0.0,0.0
