concentration,Ar_dbleStar,ErrAr_dbleStar
0.001,104.6305,0.10228903266466435
0.005,103.79580000000001,0.10187998850165941
0.01,102.9145,0.10144674269726206
0.02,101.26859999999999,0.10063219975296134
0.05,96.5113,0.09824019395033774
0.1,89.6721,0.09469534655618714
0.2,77.2593,0.08789763951769128
0.5,45.095,0.06715279730764241
1.0,0.0,0.0
