concentration,Ar_res,ErrAr_res
0.001,25.2716,0.05027026672
0.005,24.676,0.049675255599999996
0.01,23.8485,0.04883457345
0.02,22.5557,0.04749328192
0.05,19.8288,0.04452953616
0.1,16.9026,0.04111219398
0.2,13.3262,0.03650445966
0.5,7.0123,0.026480548490000002
1.0,0.0,0.0
