concentration,Ar_2nd_precursor,ErrAr_2nd_precursor
0.001,203.8877,0.14278882946684562
0.005,201.0471,0.1417919882889296
0.01,197.7164,0.1406107520250505
0.02,191.75799999999998,0.1384768234641347
0.05,177.7825,0.13333414450926756
0.1,160.3044,0.12661076085019204
0.2,133.9961,0.11575608762435981
0.5,75.7088,0.08701089824440365
1.0,0.0,0.0
