concentration,Ar_1s2_1s3,ErrAr_1s2_1s3
0.001,55.0219,0.07417583592124874
0.005,54.2524,0.07365768624323553
0.01,53.410599999999995,0.07308149074644744
0.02,51.7515,0.07193845302958736
0.05,48.0299,0.06930185441405982
0.1,43.2223,0.06574275667813714
0.2,36.0681,0.06005553016470046
0.5,20.3789,0.045143356842679255
1.0,0.0,0.0
