concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.1,4.3,0.57,0.05,120.24,119.24,0.07485029940119761,0.0249500998003992,94.20326014637392,0.8851328981523996,0.016633399866932803,0.011761589840095602,0.008316699933466402,0.008316699933466402,70.32601463739189,0.7647747127460179,70.32601463739189,0.7647747127460179,79.90685296074518,0.8152063043807616,79.90685296074518,0.8152063043807616,70.32601463739189,0.7647747127460179,75.06653359946773,0.7901302645717646
0.1,17.2,0.57,1.0,92.13,91.4,0.054271138608488007,0.024270791028978507,533.9737327689135,2.407461836224759,0.0,0.0,0.0,0.0,368.4359057853034,1.9997717925412406,368.4359057853034,1.9997717925412406,427.1247150765223,2.153162539848253,427.1247150765223,2.153162539848253,368.4359057853034,1.9997717925412406,395.9947899706936,2.0732143224827775
0.1,44.5,0.05,0.2,97.4,96.13,0.061601642710472276,0.02514876532631599,47.217659137577,0.6962620876051734,0.01026694045174538,0.01026694045174538,0.27720739219712526,0.05334858750212147,37.474332648870636,0.6202795674329862,37.474332648870636,0.6202795674329862,41.72484599589322,0.6545124209654714,41.72484599589322,0.6545124209654714,37.474332648870636,0.6202795674329862,39.40451745379877,0.6360533265598989
0.1,55.6,0.05,1.0,87.55,86.56,0.03426613363792119,0.019783561479941487,141.66761850371216,1.2720589016517327,0.011422044545973729,0.011422044545973729,0.0,0.0,105.10565391205026,1.095683102460349,105.10565391205026,1.095683102460349,119.2233009708738,1.1669506650271697,119.2233009708738,1.1669506650271697,105.10565391205026,1.095683102460349,112.2215876641919,1.1321660537749292
0.1,95.4,0.57,10.0,218.4,226.79,0.07326007326007326,0.018315018315018316,1738.3608058608058,2.82126345798521,0.004578754578754579,0.004578754578754579,0.0,0.0,1077.5869963369962,2.2212623423369906,1077.5869963369962,2.2212623423369906,1288.0906593406594,2.4285491562468007,1288.0906593406594,2.4285491562468007,1077.5869963369962,2.2212623423369906,1172.4175824175825,2.316940304303691
0.1,180.8,0.05,10.0,92.45,91.68,0.02163331530557058,0.015297063952115685,490.8058409951325,2.3041004222975436,0.0,0.0,0.0,0.0,338.71281773931855,1.9140900167172046,338.71281773931855,1.9140900167172046,392.7744726879394,2.061190676725156,392.7744726879394,2.061190676725156,338.71281773931855,1.9140900167172046,363.980530016225,1.984200792627814
0.2,4.3,0.57,0.05,114.92,113.9,0.06961364427427776,0.02461213996472494,95.86668987121476,0.9133475273990216,0.00870170553428472,0.00870170553428472,0.01740341106856944,0.01230606998236247,72.16324399582318,0.7924287347455247,72.16324399582318,0.7924287347455247,81.81343543334494,0.8437513993405777,81.81343543334494,0.8437513993405777,72.16324399582318,0.7924287347455247,76.89697180647407,0.8180066045809968
0.2,17.3,0.57,1.0,93.3,92.98,0.11789924973204716,0.035547961311419074,533.0225080385852,2.3901873982834534,0.010718113612004287,0.010718113612004287,0.0,0.0,367.9849946409432,1.9859770844786748,367.9849946409432,1.9859770844786748,427.53483386923904,2.140646379601237,427.53483386923904,2.140646379601237,367.9849946409432,1.9859770844786748,395.3590568060022,2.0585196837488797
0.2,44.3,0.05,0.2,101.32,100.02,0.1381760757994473,0.036929109620745575,47.44374259771023,0.6842926573889835,0.0,0.0,0.29609159099881566,0.05405868115921498,37.34701934465061,0.6071281681496131,37.34701934465061,0.6071281681496131,41.99565732333202,0.6438053792854495,41.99565732333202,0.6438053792854495,37.34701934465061,0.6071281681496131,39.636794315041456,0.6254630682098247
0.2,56.3,0.05,1.0,103.95,102.97,0.0962000962000962,0.030421141511961323,136.77729677729678,1.1470827828873145,0.00962000962000962,0.00962000962000962,0.0,0.0,102.17412217412218,0.9914212213943644,102.17412217412218,0.9914212213943644,115.7960557960558,1.0554426420783023,115.7960557960558,1.0554426420783023,102.17412217412218,0.9914212213943644,109.38912938912938,1.0258286782147894
0.2,95.5,0.57,10.0,144.05,156.34,0.15966678236723358,0.03329282556968218,1837.5147518222839,3.5715668707152695,0.013884068031933355,0.009817518655835439,0.0,0.0,1142.7421034363067,2.8165501155726225,1142.7421034363067,2.8165501155726225,1363.4085387018395,3.0764961325065228,1363.4085387018395,3.0764961325065228,1142.7421034363067,2.8165501155726225,1242.276987157237,2.936652703691422
