concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
1.0,2.3,1.3967,0.05,105.4,104.51,161.49905123339659,1.2378404836389263
1.0,2.3,1.3967,0.05,105.4,104.51,161.49905123339659,1.2378404836389263
1.0,208.1,0.0107,1.0,101.78,100.55,51.5621929652191,0.7117614571143578
1.0,223.9,0.0299,10.0,111.53,111.75,370.5101766340895,1.8226539429154667
1.0,226.2,0.0291,10.0,125.39,125.79,354.031421963474,1.6803101606345432
1.0,231.0,0.0096,1.0,97.97,96.72,46.003878738389304,0.6852525668060447
1.0,25.7,0.2222,1.0,115.82,115.86,312.83025384216893,1.6434730742641313
1.0,251.2,0.0227,10.0,109.4,109.36,315.40219378427787,1.6979452949724783
1.0,259.2,0.0211,10.0,100.27,99.95,297.9754662411489,1.7238709315786624
1.0,28.5,0.118,0.05,125.01,121.53,27.581793456523478,0.46971980660437396
1.0,28.5,0.118,0.05,125.01,121.53,27.581793456523478,0.46971980660437396
1.0,281.8,0.0175,10.0,109.63,109.29,274.16765483900394,1.5814060704093487
1.0,284.8,0.008,1.0,87.39,85.93,41.240416523629705,0.6869587376040112
1.0,297.0,0.0156,10.0,110.72,110.28,256.2229046242775,1.5212336955594283
1.0,3.5,0.7054,0.05,75.28,74.3,113.04463336875664,1.2254205797820203
1.0,3.5,0.7054,0.05,75.28,74.3,113.04463336875664,1.2254205797820203
1.0,3.9,0.6076,0.05,82.84,81.85,104.53887011105746,1.1233597415868508
1.0,3.9,0.6076,0.05,82.84,81.85,104.53887011105746,1.1233597415868508
1.0,31.6,0.1143,0.05,128.21,124.03,26.33959909523438,0.4532560713132403
1.0,31.6,0.1143,0.05,128.21,124.03,26.33959909523438,0.4532560713132403
1.0,31.6,0.1361,1.0,111.17,110.55,241.69290276153637,1.47447748725025
1.0,316.2,0.0074,1.0,84.37,82.66,39.148986606613725,0.6811868221169141
1.0,316.2,0.0137,10.0,104.04,103.48,235.88043060361397,1.5057254265010165
1.0,340.3,0.0118,10.0,102.93,102.22,220.54794520547944,1.4637958837385
1.0,35.1,0.1129,1.0,114.39,113.72,214.162077104642,1.3682871713344433
1.0,351.1,0.0112,10.0,109.45,108.68,214.60027409776154,1.4002553904554056
1.0,354.8,0.0108,10.0,81.69,80.89,211.44570938915413,1.6088479091951813
1.0,366.1,0.0103,10.0,107.79,107.09,201.83690509323685,1.3683936593370287
1.0,389.9,0.006,1.0,63.32,61.7,32.691092861655086,0.7185289428981254
1.0,389.9,0.009,10.0,88.79,87.94,197.21815519765738,1.4903607964176957
1.0,389.9,0.0093,10.0,98.72,97.97,193.3042949756888,1.3993236636740192
1.0,398.1,0.0086,10.0,94.85,94.0,188.624143384291,1.4101976045814366
1.0,4.1,0.57,0.05,81.03,80.05,100.72812538565964,1.1149424636914953
1.0,4.1,0.57,0.05,81.03,80.05,100.72812538565964,1.1149424636914953
1.0,423.9,0.008,10.0,95.94,95.16,176.5686887638107,1.3566161687324532
1.0,43.3,0.1078,0.05,133.17,128.05,21.874296012615456,0.4052880909668435
1.0,43.3,0.1078,0.05,133.17,128.05,21.874296012615456,0.4052880909668435
1.0,43.3,0.075,1.0,93.34,92.55,168.89865009642168,1.3451762501439648
1.0,432.9,0.0077,10.0,94.12,93.31,173.59753506162346,1.3580970875961946
1.0,44.1,0.05,0.2,96.89,95.54,48.869852409949424,0.7102006014589234
1.0,446.7,0.007,10.0,77.95,77.14,169.49326491340602,1.4745794017191545
1.0,48.1,0.0638,1.0,108.64,107.78,155.43078055964654,1.1961169246130534
1.0,480.6,0.0065,10.0,112.19,111.33,156.37757375880204,1.180620068797465
1.0,490.8,0.0062,10.0,109.39,108.57,157.95776579211994,1.2016602076728893
1.0,5.3,0.4023,0.05,82.31,81.32,79.54076053942413,0.9830340675080768
1.0,5.3,0.4023,0.05,82.31,81.32,79.54076053942413,0.9830340675080768
1.0,501.2,0.0056,10.0,72.17,71.26,152.39018982956907,1.4531155571247223
1.0,533.7,0.0046,1.0,40.45,38.76,28.875154511742892,0.8448953023799782
1.0,533.7,0.0055,10.0,97.41,96.51,143.630017452007,1.21428557238772
1.0,54.8,0.05,1.0,88.69,87.78,139.36182207689706,1.25352956226743
1.0,562.3,0.0046,10.0,70.07,69.17,136.8916797488226,1.3977273636872036
1.0,568.3,0.005,10.0,104.33,103.38,133.36528323588612,1.130620334592399
1.0,59.3,0.0456,1.0,94.61,93.72,127.31212345418032,1.1600223576956943
1.0,592.6,0.0047,10.0,109.64,108.67,130.8920102152499,1.0926273198992267
1.0,6.6,0.3175,0.05,79.46,78.46,69.6073496098666,0.9359513359251473
1.0,6.6,0.3175,0.05,79.46,78.46,69.6073496098666,0.9359513359251473
1.0,65.8,0.1059,0.05,112.09,106.23,17.378891961816397,0.3937563830977591
1.0,65.8,0.1059,0.05,112.09,106.23,17.378891961816397,0.3937563830977591
1.0,65.8,0.0393,1.0,86.17,85.24,119.83288847626784,1.1792610853392356
1.0,657.9,0.004,10.0,103.92,102.99,118.48537336412625,1.067782506856554
1.0,730.5,0.0036,1.0,21.13,19.55,23.473734027449126,1.0540017724240458
1.0,761.8,0.0032,10.0,99.04,98.12,105.27059773828755,1.030975224020098
1.0,8.1,0.2562,0.05,72.19,71.11,59.92519739576119,0.9111003547530322
1.0,8.1,0.2562,0.05,72.19,71.11,59.92519739576119,0.9111003547530322
1.0,81.1,0.0298,1.0,103.19,102.21,98.39131698808025,0.9764715190238163
1.0,882.0,0.0026,10.0,95.21,94.21,96.17687217729231,1.0050647509647779
1.0,97.9,0.6667,10.0,52.1,87.72,2575.9500959692896,7.031530435696382
0.5,17.4,0.57,1.0,97.5,97.91,518.225641025641,2.3054576074502355
0.5,184.5,0.05,10.0,124.21,124.77,483.02069076563885,1.9719894467146062
0.5,4.5,0.57,0.05,156.94,155.95,93.1566203644705,0.7704421562478319
0.5,44.3,0.05,0.2,98.01,96.79,47.862463013978164,0.6988151750298037
0.5,55.9,0.05,1.0,94.27,93.33,138.1775750503872,1.2106874201823494
0.5,96.8,0.57,10.0,84.3,104.67,2010.67615658363,4.883793321527616
0.2,17.3,0.57,1.0,93.3,92.98,533.0225080385852,2.3901873982834534
0.2,181.7,0.05,10.0,103.7,103.25,500.3471552555448,2.196576531685619
0.2,4.3,0.57,0.05,114.92,113.9,95.86668987121476,0.9133475273990216
0.2,44.3,0.05,0.2,101.32,100.02,47.44374259771023,0.6842926573889835
0.2,56.3,0.05,1.0,103.95,102.97,136.77729677729678,1.1470827828873145
0.2,95.5,0.57,10.0,144.05,156.34,1837.5147518222839,3.5715668707152695
0.1,17.2,0.57,1.0,92.13,91.4,533.9737327689135,2.407461836224759
0.1,180.8,0.05,10.0,92.45,91.68,490.8058409951325,2.3041004222975436
0.1,4.3,0.57,0.05,120.24,119.24,94.20326014637392,0.8851328981523996
0.1,44.5,0.05,0.2,97.4,96.13,47.217659137577,0.6962620876051734
0.1,55.6,0.05,1.0,87.55,86.56,141.66761850371216,1.2720589016517327
0.1,95.4,0.57,10.0,218.4,226.79,1738.3608058608058,2.82126345798521
100.0,358.4,0.57,10.0,2882.86,25091.95,0.0,0.0
100.0,39.4,0.57,1.0,92.87,203.97,0.0,0.0
100.0,400.2,0.05,10.0,129.15,257.92,0.0,0.0
100.0,47.7,0.05,0.2,101.45,100.5,0.0,0.0
100.0,6.0,0.57,0.05,340.29,344.47,0.0,0.0
100.0,73.9,0.05,1.0,97.03,101.94,0.0,0.0
