fN2,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.03250929473995247,0.0048045104860224485,0.004625967673349358,0.0012975916520332545,0.014913125598762995,0.0022145445640855193,0.002122089620224633,0.0006332008133725,0.00908975266814192,0.0013545652718148843,0.001293442455086218,0.000402310441061959,0.007406192345323289,0.0011159552259064926,0.0010538772571392636,0.00036701334187278986,0.005450743991681849,0.000814781149137167,0.0007756232702961534,0.00024955332809718745
0.1,0.123599933974092,0.05068638420211704,0.05047506975452944,0.004623513464888707,0.06450629724539932,0.026465133983476066,0.02634273132986,0.0025424049335525008,0.03178084339736871,0.013039435280507314,0.012978488222139413,0.001259252120239392,0.0226853320716398,0.009308180113605275,0.009264112705437994,0.0009046727630801308,0.01701625963812472,0.006984117203155641,0.006949007694256245,0.0006994177382523854
0.5,0.24602103118568144,0.05032217881682363,0.04945179240458267,0.009318900624345844,0.11236051706521319,0.02297754618594367,0.02258517874509209,0.004228159147834316,0.0702045395386455,0.014360875110453003,0.014111559074411644,0.002664326261443771,0.0556272570149247,0.011384021763258029,0.011181432549407682,0.0021381107663960876,0.03238985943384548,0.006640631785625504,0.006510567803966518,0.001307859848077908
1.0,0.25341127967894966,0.04965963551207343,0.048722713821475555,0.009600862308281485,0.12165282559630022,0.02381471012705377,0.02338986573372636,0.004478236192280487,0.07677306254854599,0.015054786062454223,0.01476095286875177,0.0029598739487949263,0.058002238821355925,0.011365221292446217,0.011151936435813501,0.0021914763877003314,0.052164577785088984,0.010225584288443638,0.010029544850020016,0.001992687667825132
2.0,0.26251624956309083,0.038292330700817855,0.037002626595201885,0.009854350082925595,0.1314457395098213,0.019167927105708412,0.018527758280514218,0.0049123927600089184,0.08368135936033055,0.012202455260650348,0.011795194006247773,0.00312622979691992,0.06055868873507733,0.008820734968016953,0.008535968916547333,0.002223195904938382,0.046239798602308035,0.006760086256387836,0.006517668922842573,0.0017940897430217435
5.0,0.2262320503848535,0.04356320001040559,0.04272968058568765,0.008480966465663556,0.12578793021042844,0.024221702883559217,0.023758252070309804,0.004715543356076872,0.08458079120814721,0.0162688424877398,0.01597523509980457,0.0030768651899067065,0.06425595202582765,0.012370063536599885,0.01213637192927421,0.0023931043215545435,0.05004528306425214,0.0096379355264674,0.009452325417720685,0.001882377594919226
10.0,0.21988026073308964,0.01942168711896443,0.01761742928467505,0.008174846539625233,0.12721232167086716,0.011267047694812857,0.01019261153185711,0.004801774038607105,0.09121474431295311,0.008061915296109631,0.0073083836734387465,0.003403234685334003,0.07115423014220287,0.006338504982301422,0.005701078458140587,0.0027702616888635803,0.04462833539876673,0.003958934071533344,0.003575748638641727,0.0016991705788411658
20.0,0.14433162554513718,0.012784449964486563,0.011564258647438451,0.005450695628046523,0.08439275278578716,0.007483812176267799,0.006761786389490685,0.00320713104075164,0.06161067715306828,0.005461823643295642,0.004936421961236017,0.0023373608474281486,0.04846800443542498,0.0043103491904010055,0.003883393797440209,0.001870391070657021,0.03316187557142873,0.0029462732320489713,0.0026570233993674663,0.0012730878261542067
50.0,0.0770130400614812,0.0068587387820016835,0.006170502903523309,0.0029945269404939995,0.044494636508379454,0.003942279091157151,0.00356503630485158,0.0016828786580336229,0.035035708894075,0.003153403344756032,0.0028071602326735787,0.0014365946132484791,0.025358386447691825,0.0022529703860330657,0.002031785747962058,0.0009735102643117031,0.02007173401369737,0.0017973576013845655,0.0016082041808944674,0.0008026042983989273
100.0,0.04214315227684692,0.006272966649594138,0.00596967040819964,0.0019269524655231782,0.024711694067355332,0.0010573386838174798,0.0,0.0010573386838174798,0.01537475626963659,0.0022958646148080156,0.0021778681132629887,0.00072655681867275,0.013142376752181219,0.0019596732063895195,0.0018616466342032502,0.0006120383037038542,0.009699405024746595,0.0014448621284879355,0.0013739421003203796,0.00044711259801744757
