fN2,1bar,Err 1bar,ErrStat 1bar,ErrSyst 1bar,2bar,Err 2bar,ErrStat 2bar,ErrSyst 2bar,3bar,Err 3bar,ErrStat 3bar,ErrSyst 3bar,4bar,Err 4bar,ErrStat 4bar,ErrSyst 4bar,5bar,Err 5bar,ErrStat 5bar,ErrSyst 5bar
0.0,0.007078494152016057,0.0046081446779429975,0.00451017839922454,0.0009451392384314285,0.00479258270959149,0.0031197299759883465,0.003053672511284081,0.0006385916668014253,0.0028117011529514534,0.0018287173020896583,0.0017915214073468677,0.0003669577877358338,0.0025830431677427695,0.0016798743538380273,0.0016458282297372366,0.0003364926193584693,0.0023433515900658786,0.0015257293215510505,0.0014931048181050515,0.0003138279222633159
0.1,0.007649650343327593,0.004412952257129211,0.00429311172312436,0.0010214398447652134,0.006287764918840866,0.0036230828278150007,0.0035287988435800067,0.0008211625288311376,0.003950532021524943,0.002278121393186311,0.0022171046483164206,0.0005237213576959206,0.0037048557024174783,0.002136745239169537,0.002079226988774207,0.0004924381649167996,0.002201033081808741,0.0012700404836215491,0.0012352565806801588,0.00029520164282066696
0.5,0.006328124225438112,0.001449495109921684,0.0011871152772655784,0.0008317411809989593,0.0036703679820663864,0.0008535618358873938,0.0006885373531673651,0.0005044641919668207,0.002407913765170742,0.000550318223595244,0.0004517090871069885,0.0003143390650969047,0.0022256101831759348,0.0005143239551810842,0.0004175101113004902,0.0003003571837578821,0.0023373868695771467,0.0005389018529803088,0.0004384786965149841,0.00031329162109467725
1.0,0.004719093968709695,0.000946567080768506,0.0007052310227789757,0.0006313782090829009,0.0033003017760863352,0.000664434575362638,0.000493203825238729,0.00044522274392399847,0.0026187289468609393,0.0005271113927122396,0.0003913481922210184,0.00035311897821042946,0.002389712829761148,0.000476894132602919,0.0003571235568215,0.0003160550250735643,0.0015028699815264497,0.0002987772182758504,0.00022459195371045146,0.00019704385422838642
2.0,0.0036367256743544242,0.0005406929916628504,0.0002480595198592795,0.00048043249873474104,0.002782281362998804,0.00041912039247702607,0.00018977823482422036,0.00037369255408303153,0.0020104270623627104,0.00029490789266579953,0.00013713037948355117,0.00026108604746190474,0.0011438800050848055,0.00016786599861296845,7.802357126877248e-05,0.00014863147653440003,0.0019302598400761121,0.00028577371747659297,0.00013166220716329615,0.0002536369074194071
5.0,0.0019022433227993858,0.00032541021192117477,0.00020658112106640704,0.00025142801443262116,0.000805632156615096,0.0001365191590089886,8.749059181123781e-05,0.00010479922290284829,0.0015347388651279794,0.0002668542887941229,0.00016667062068366096,0.00020840373232919882,4.686768106301614e-05,8.041654875292862e-06,5.0897684747987255e-06,6.225951333432226e-06,0.0010872460857656806,0.00018672469167822675,0.00011807349384830747,0.00014465393369273626
10.0,0.0009158953879169455,0.00015549780330396967,9.935085979773743e-05,0.00011962012159252454,0.00035632667795697714,6.212701841849128e-05,3.865218920297414e-05,4.863922992183413e-05,0.000982946331637463,0.00017428262695034634,0.00010662414558644936,0.0001378612550163143,0.0011181647852268317,0.00019423350010691818,0.00012129183558888274,0.00015170676709779174,0.00041601698234441573,7.107229792728389e-05,4.512703681190046e-05,5.4907395505905974e-05
20.0,0.00013495499734871103,2.433844336004508e-05,1.4639111843427757e-05,1.944366811138618e-05,0.000564373541033857,9.433207702933108e-05,6.121986996389584e-05,7.176815643634255e-05,9.403152031277314e-05,1.6009478891706017e-05,1.0199977545917697e-05,1.233952480635925e-05,0.00028965481259490323,4.838665242015182e-05,3.142002356983777e-05,3.67974218023413e-05,0.00021610504171699218,3.6328598308792255e-05,2.344178383738737e-05,2.7753375030846022e-05
50.0,0.00026143696274835145,4.460228653074766e-05,2.835911980191467e-05,3.4425634167456744e-05,0.0,0.0,0.0,0.0,0.0011120237507092118,0.00019375517346049376,0.00012062569285312693,0.00015162621628995798,0.0004123413681685006,7.023440486265705e-05,4.472832814551832e-05,5.415023811322032e-05,0.0006285948711747616,0.00010761131626285905,6.818621617660524e-05,8.325163849043653e-05
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001727214303740782,0.0002720385749531316,0.00016156423563142193,0.00021886521886166604,0.001096943316374198,0.00018265676407856803,0.00010260846500469482,0.00015111252884203208,0.0005167242262606514,8.650577730888853e-05,4.833456651397049e-05,7.174272916276309e-05
