concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_dbleStar,ErrAr_dbleStar
20.0,12.1,0.57,0.3,50.0,37497.56,37974.56,21416.574026368897,21687.352887612557,50,0.0,0.0
20.0,60.0,0.05,1.0,1000.0,140.58,140.059,73.21761002940767,73.40818947012167,1000,0.0,0.0
20.0,18.7,0.57,1.0,50.0,4635.74,5252.04,3637.4147682559556,4115.704279057602,50,0.0,0.0
40.0,75.0,0.05,1.0,1000.0,681.362,685.807,372.70785355302087,375.5788295527428,1000,0.0,0.0
100.0,19.3,0.57,0.3,50.0,80643.5,88119.96,59322.69741904383,64850.39964346199,50,0.0,0.0
100.0,95.0,0.05,1.0,1000.0,1389.456,1427.871,879.0864741839071,903.6373724342413,1000,0.0,0.0
100.0,43.0,0.57,1.0,50.0,6687.98,10576.22,7960.997759459705,12549.950508545393,50,0.0,0.0
