concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
0.0,18.7,0.57,1.0,7724.8,7723.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,12.1,0.57,0.3,37497.56,37974.56,42.8612471085906,0.033595880389945064,0.0,0.0,5.208697612296232,0.011711653029931247,0.0,0.0
20.0,18.7,0.57,1.0,5722.42,6475.54,47.56113003703166,0.08570143367716801,0.0,0.0,6.591264975585048,0.031904092099513,0.0,0.0
20.0,60.0,0.05,1.0,140.58,140.059,806.6600504073283,2.399881312569403,0.0,0.0,88.4198801933471,0.7945467406303661,0.0,0.0
40.0,75.0,0.05,1.0,681.362,685.807,904.3098131106856,1.148306081793625,0.0,0.0,105.77757299065189,0.39273159579294536,0.0,0.0
100.0,95.0,0.05,1.0,1389.456,1427.871,975.1882347915182,0.8264179468581654,0.0,0.0,125.7389498070904,0.29674979511220584,0.0,0.0
