concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
100.0,19.3,0.57,0.3,80643.5,88119.96,0.0,0.0
100.0,43.0,0.57,1.0,6687.98,10576.22,0.0,0.0
100.0,95.0,0.05,1.0,1389.456,1427.871,0.0,0.0
0.0,18.7,0.57,1.0,,,0.0,0.0
40.0,75.0,0.05,1.0,681.362,685.807,0.0,0.0
20.0,12.1,0.57,0.3,37497.56,37974.56,0.0,0.0
20.0,18.7,0.57,1.0,4635.74,5252.04,0.0,0.0
20.0,60.0,0.05,1.0,140.58,140.059,0.0,0.0
