concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
100.0,95.0,0.05,1.0,1389.456,1427.871,101.00212134009304,0.2659627170877278
0.0,18.7,0.57,1.0,7724.8,7723.8,0.0,0.0
40.0,75.0,0.05,1.0,681.362,685.807,85.79819103625364,0.3537024832100282
20.0,12.1,0.57,0.3,37497.56,37974.56,4.208870359524903,0.010527770263162524
20.0,18.7,0.57,1.0,5722.42,6475.54,5.198485377281277,0.028333512557892654
20.0,60.0,0.05,1.0,140.58,140.059,72.09104734433346,0.717439290190974
