device,concentration_percent,yield_ph_per_e,stat_minus,stat_plus,syst_minus,syst_plus,ocw_minus,ocw_plus,total_minus,total_plus
"GEM, 1 bar",100.0,0.14943237014033178,0.0,0.0,0.0,0.0,0.05603713880262441,0.03735809253508296,0.0,0.03735809253508296
"TH-GEM, 1 bar",100.0,0.5175790423076283,0.0,0.0,0.0,0.0,0.19409214086536059,0.12939476057690713,0.0,0.12939476057690713
