concentration,Ar_794,ErrAr_794
0.001,82.027,0.09056879790872151
0.005,81.524,0.09029041568242396
0.01,80.9012,0.08994512200096509
0.02,79.78659999999999,0.0893232259711576
0.05,76.4169,0.08741678609998126
0.1,71.489,0.08455115569813888
0.2,62.070899999999995,0.07878551887692305
0.5,36.6967,0.060577772642576785
1.0,0.0,0.0
