name,tex_name,value,fit_uncertainty,stat_minus,stat_plus,syst_minus,syst_plus,total_minus,total_plus,fixed
Nnorm,$N_{\mathrm{norm}}$,0.06516027174152729,108351.7677297124,0.020058930390316865,0.01783988545504364,0.008759647651346666,0.008980025271064437,0.021888172956629356,0.019972540322103084,False
P_N2,$P_{\mathrm{N}_2}$,0.5844347502153872,971827.3872732149,0.0,0.4155652496883173,0.008427512753724664,0.010879677403444754,0.008427512753724664,0.41570764261547627,False
tau_N2,$\tau_{\mathrm{N}_2}$ [ns],37.80718336483932,0.376,0.0,0.0,0.0,0.0,0.0,0.0,True
K_N2_Q_N2,$K_{\mathrm{N}_2Q(\mathrm{N}_2)}$ [ns$^{-1}$],0.193676348048439,0.09795071298332099,0.0,0.09970565194567024,0.00030396951093597524,0.00038797582831862076,0.00030396951093597524,0.09970640679091036,False
K_N2_Q_Ar,$K_{\mathrm{N}_2Q(\mathrm{Ar})}$ [ns$^{-1}$],0.03477927899999999,0.012558020881032118,0.00454992112200478,0.0,2.165673980425442e-09,0.0,0.004549921122005295,0.0,False
K_ArMeta_Q_N2c,$K_{\mathrm{Ar}_{1s5}Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.7890798096223426,1869946.5741871158,0.26378211114512873,0.16800074259988929,0.004953375051390707,0.008315560864624927,0.2638286149843887,0.16820641505783165,False
K_ArMeta_Q_N2b,$K_{\mathrm{Ar}_{1s5}Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.019593960000048767,1348907.425162844,4.876307690970805e-14,0.013599229747414128,4.856531843344669e-14,3.747516042929e-06,6.882171041353288e-14,0.01359923026376235,False
K_ArMeta_Q_2Ar,$K_{\mathrm{Ar}_{1s5}Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.015859999996241644,47472.754172332985,0.0012453817110205587,0.0,1.316453877991952e-07,0.0,0.0012453817179784688,0.0,False
K_ArRes_Q_N2c,$K_{\mathrm{Ar}_{1s4}Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.5002878070690172,817334.2220639308,0.1644226931016699,0.44626698707672374,0.004660326009396032,0.006049184822048526,0.16448872497931213,0.4463079837864745,False
K_ArRes_Q_N2b,$K_{\mathrm{Ar}_{1s4}Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.3673867499999982,843678.2895921227,0.02154047387447089,1.7208456881689926e-15,8.359647418743066e-10,0.0,0.021540473874470906,1.7208456881689926e-15,False
K_ArRes_Q_2Ar,$K_{\mathrm{Ar}_{1s4}Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.00046200000000000055,37.36599349212432,4.87890977618477e-19,0.00040320128945318603,0.0,9.86532361878234e-13,4.87890977618477e-19,0.00040320128945318603,False
P_Ar_dbleStar,$P_{\mathrm{Ar}^{**}}$,2.2722287107861698e-15,0.24051969489513,0.0,0.050236538366516086,0.0,4.9600789750512854e-12,0.0,0.050236538366516086,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,2.9663701752502547e-05,0.0,0.0,0.999970336298236,0.0,0.9999653086417707,0.0,1.4141680564782386,False
