,parameter,uncertainty
Nnorm,0.004044923043846907,7.814041586116347e-05
PCF3dir vis$,0.08300564211421477,0.001
PAr**,0.5295294877165898,0.001
KAr**QAr,0.42509442487575805,0.001
KAr**QCF4,14.412226954898038,0.001
1/tauDiscKrelax,0.00568055184523403,0.001
tauUvKCF4QCF4,0.06500000000000002,0.001
PCF4dir,0.23633394129481416,0.001
KAr++QCF4,50.00000000000001,0.001
PAr++,0.51908072225858,0.001
PCF3dir uv$,0.25,0.001
