,parameter,uncertainty
Nnorm,0.004455832125508477,
PCF3dir vis$,0.07470708406768448,
PAr**,0.3442034040135736,
KAr**QAr,0.4250954848462733,
KAr**QCF4,14.412262193468452,
1/tauDiscKrelax,0.005679788499432446,
tauUvKCF4QCF4,0.06500000000000002,
PCF4dir,0.23634039672719864,
KAr++QCF4,50.000000025611136,
PAr++,0.5190855214213097,
PCF3dir uv$,0.25,
