,parameter,uncertainty
Nnorm,0.004671986071568444,6.188243587197088e-05
PCF3dir vis$,0.0747050779027933,0.001
PAr**,0.39714711578744233,0.001
KAr**QAr,0.42509442487575805,0.001
KAr**QCF4,14.412226954898038,0.001
1/tauDiscKrelax,0.00568055184523403,0.001
tauUvKCF4QCF4,0.06500000000000002,0.001
PCF4dir,0.23633394129481416,0.001
KAr++QCF4,50.00000000000001,0.001
PAr++,0.51908072225858,0.001
PCF3dir uv$,8.727123839001731e-32,0.001
