name,tex_name,value,fit_uncertainty,stat_minus,stat_plus,syst_minus,syst_plus,total_minus,total_plus,fixed
Nnorm,$N_{\mathrm{norm}}$,0.01274462035493343,26970.74709232006,0.0036885370015533464,0.0008766638219139377,0.0004663922926093182,0.000396843933419112,0.003717906263266131,0.0009623017012061783,False
P_N2,$\mathcal{W}_{\mathrm{N}_2^*}$,0.6068901725164795,1284328.6521554682,0.03973846149376492,0.39310982740303835,0.006785838007638878,0.005385433002268569,0.04031368154060546,0.393146714712801,False
tau_N2,$\tau_{\mathrm{N}_2(C)}$ [ns],37.80718336483932,0.376,0.0,0.0,0.0,0.0,0.0,0.0,True
K_N2_Q_N2,$K_{\mathrm{N}_2(C)Q(\mathrm{N}_2)}$ [ns$^{-1}$],0.20144496485013935,0.10200780165645779,0.04027498107185387,0.06242886880143589,0.00010998881171442321,9.989306689112132e-05,0.04027513125834464,0.06242894872134007,False
K_N2_Q_Ar,$K_{\mathrm{N}_2(C)Q(\mathrm{Ar})}$ [ns$^{-1}$],0.03477927899586764,0.012592544554507083,0.006396227520248859,4.132347242169487e-12,6.325351353808628e-11,4.112224449848156e-12,0.006396227520248859,5.829809915923052e-12,False
K_ArMeta_Q_N2c,$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.8234919166104352,1869435.8550903336,0.2956827050219317,0.3579284931742214,0.0048511512291812275,0.0039307031119040214,0.2957224978207358,0.35795007564313014,False
K_ArMeta_Q_N2b,$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.01959396030783126,1800604.131004347,3.0783125701261405e-10,0.0003331415127666229,3.078312535431671e-10,4.3020876729082946e-08,4.353391361363272e-10,0.00033314151554441517,False
K_ArMeta_Q_2Ar,$K_{\mathrm{Ar}(1s_5)Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.01585999990580036,57352.87712489339,0.0024412519468480828,9.417338436845668e-11,6.142400341829779e-08,9.380659443669614e-11,0.002441251947620823,1.3292217077380233e-10,False
K_ArRes_Q_N2c,$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.47289406488024016,982965.4241284145,0.1355022407520457,0.4095365240464796,0.003914537668268436,0.0031175849998389404,0.13555877269281263,0.40954839013760513,False
K_ArRes_Q_N2b,$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.3673867488374211,1015714.6445054823,1.9400285594273203e-05,1.1625788109981272e-09,0.0,1.1625759799294144e-09,1.9400285594273203e-05,1.6441327199744725e-09,False
K_ArRes_Q_2Ar,$K_{\mathrm{Ar}(1s_4)Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.00046200000000000006,43.471336000080505,0.0,3.489533941363257e-05,0.0,2.636321258411671e-10,0.0,3.489533941462843e-05,False
P_Ar_dbleStar,$\mathcal{W}_{\mathrm{Ar}^{**}}^*$,1.0149372758008265e-11,0.13913346298010737,9.879452804096874e-12,0.047760370526530725,1.0070924645472263e-11,9.659709506581387e-12,1.4107696868134013e-11,0.047760370526530725,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,0.6352507583101811,0.0,0.6166424363868692,0.3647492416898188,0.6327990400106939,0.36474924131440856,0.8835624026584595,0.5158333241975885,False
