gas_mixture,kind,pressure_bar,concentration_percent,concentration_fraction,wavelength_nm,intensity_ph_MeV_nm,plot_intensity,raw_plot_scale,normalisation_reference
ArN2,model,1,0.1,0.001,306.5032516258129,1.452561729711415e-11,1.452561729711415e-11,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,306.7533766883442,2.4060022502079828e-11,2.4060022502079828e-11,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,307.00350175087544,3.967576701151986e-11,3.967576701151986e-11,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,307.2536268134067,6.513621282561029e-11,6.513621282561029e-11,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,307.50375187593795,1.0646026612477672e-10,1.0646026612477672e-10,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,307.75387693846926,1.7322894543698544e-10,1.7322894543698544e-10,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,308.0040020010005,2.80621696789827e-10,2.80621696789827e-10,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,308.25412706353177,4.5257431386630716e-10,4.5257431386630716e-10,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,308.504252126063,7.266519238593976e-10,7.266519238593976e-10,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,308.7543771885943,1.1615310515555391e-09,1.1615310515555391e-09,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,309.0045022511256,1.8484303544309542e-09,1.8484303544309542e-09,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,309.25462731365684,2.928486523393721e-09,2.928486523393721e-09,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
