wavelength_nm,0.1_percent_CF4_ph_MeV_nm,1_percent_CF4_ph_MeV_nm,10_percent_CF4_ph_MeV_nm,100_percent_CF4_ph_MeV_nm
200.0,11.49087372298555,10.090214300234921,18.809040447196097,52.66844497094109
200.30015007503752,11.561071310041447,10.287812636523812,19.232537341741082,53.86188441386077
200.60030015007504,11.631744365239328,10.487774795056387,19.661230202159448,55.06998191539102
200.90045022511256,11.7028816573697,10.690064682553027,20.0950411057947,56.29251781695322
201.20060030015009,11.774471291430874,10.894643813259531,20.533886936078705,57.52925781527785
201.5007503751876,11.846500703905487,11.101471291817127,20.977679345333062,58.77995285751847
201.8009004502251,11.91895665872096,11.310503798555501,21.4263247228267,60.04433905118551
202.10105052526262,11.991825243915388,11.5216955772849,21.879724168254384,61.32213758936458
202.40120060030014,12.065091869029542,11.734998425660695,22.337773470795508,62.613054691667834
202.70135067533766,12.138741263245297,11.950361688191913,22.800363093908256,63.91678156135665
203.0015007503752,12.212757474289749,12.167732251962327,23.26737816600774,65.23299435905393
203.3016508254127,12.287123868123668,12.387054545129823,23.738698477170974,66.56135419344913
203.60180090045023,12.36182312943214,12.608270538267277,24.21419848200551,67.90150712938156
203.90195097548775,12.436837262934192,12.831319748604479,24.69374730881116,69.25308421366707
204.20210105052527,12.512147595527471,13.05613924722787,25.177208775157766,70.61570151901488
204.5022511255628,12.587734779282917,13.282663669291042,25.66444140999388,71.98896020635797
204.8024012006003,12.663578795303398,13.510825227285473,26.15529848239381,73.37244660590068
205.1025512756378,12.739658958459291,13.740553727417328,26.649628037042245,74.7657323171625
205.40270135067533,12.815953923012652,13.971776589131709,27.147272936546397,76.16837432827225
205.70285142571285,12.892441689140737,14.204418867822449,27.648070910658195,77.57991515474501
206.00300150075037,12.969099610368273,14.438403280760541,28.151854612478342,78.9998829979444
206.3031515757879,13.045904401916635,14.673650236270399,28.658451681705564,80.42779192340868
206.60330165082541,13.122832149976906,14.910077866178423,29.167684814984163,81.86314205919052
206.90345172586294,13.199858321912407,15.1476020615538,29.67937184339305,83.30541981433225
207.20360180090046,13.276957777394966,15.386136511756703,30.193325817109255,84.75409811756913
207.50375187593798,13.35410478047782,15.625592746804077,30.70935509726785,86.20863667632335
207.8039019509755,13.43127301260665,15.865880183058465,31.227263455030386,87.66848225602193
208.104052026013,13.508435586568764,16.10690617223995,31.74685017786167,89.13306897973895
208.40420210105052,13.585565061379087,16.348576053756506,32.267910183005014,90.60181864813335
208.70435217608804,13.662633458099979,16.59079321034226,32.790234138132895,92.07414107961812
209.00450225112556,13.739612276590556,16.83345912698856,33.31360858914058,93.54943447066891
209.30465232616308,13.816472513179637,17.07647345314685,33.8378160950368,95.02708577614278
209.6048024012006,13.893184679254748,17.31973406817703,34.3626353698748,96.50647110944706
209.90495247623812,13.969718820758372,17.563137150009712,34.887841431654856,97.98695616236448
210.20510255127564,14.046044538580736,17.80657724698507,35.41320575811768,99.4678966443071
210.50525262631317,14.122131009837183,18.049947352825626,35.938496449335965,100.94863874073725
210.8054027013507,14.19794701001635,18.293138984694664,36.46347839699944,102.42851959046126
211.1055527763882,14.27346093598402,18.536042264286525,36.98791346027672,103.9068677814661
211.4057028514257,14.34864082982581,18.778546001889495,37.51156064812558,105.38300386493732
211.70585292646322,14.423454403510407,19.020537783356563,38.034176307910954,106.85624088706204
212.00600300150074,14.497869064353385,19.26190405991362,38.55551432017826,108.32588493818609
212.30615307653827,14.571851941260352,19.502530240729726,39.07532629941831,109.79123571886514
212.6063031515758,14.645369911726325,19.742300788168297,39.593361800647756,111.25158712231237
212.9064532266133,14.71838962956708,19.98109931563289,40.10936853161827,112.70622783271635
213.20660330165083,14.790877553356447,20.218808687916166,40.62309257045555,114.15444193886846
213.50675337668835,14.862799975542314,20.455311123955422,41.13427858851911,115.59550956251003
213.80690345172587,14.934123052212552,20.69048830189298,41.642670078261986,117.02870750077714
214.1070535267634,15.004812833480678,20.924221466334956,42.148009585859526,118.45330988209163
214.40720360180092,15.07483529445981,21.15639153769706,42.65003894836572,119.86858883481729
214.7073536768384,15.144156366792087,21.386879223521504,43.148499535145405,121.27381516797251
215.00750375187593,15.212741970699486,21.615565131644473,43.64313249332159,122.66825906326282
215.30765382691345,15.280558047520634,21.84232988508928,44.1336789969659,124.05119077766803
215.60780390195097,15.347570592697243,22.06705423855638,44.61988049975399,125.42188135579795
215.9079539769885,15.413745689172469,22.28961919637706,45.10147899079599,126.77960335120099
216.20810405202602,15.479049541162452,22.509906131794022,45.57821725334594,128.1236315557896
216.50825412706354,15.543448508261365,22.727796907428285,46.049839126085125,129.45324373652295
216.80840420210106,15.606909139839198,22.943173996788683,46.51608976666749,130.76772137846777
