comparison_group,n_estimates,fits,models,mixtures,min_value,max_value
argon.second_continuum.upper.quenching.CH4,0,,argon_second_continuum,ArCH4,,
argon.second_continuum.upper.quenching.CO2,0,,argon_second_continuum,ArCO2,,
argon.second_continuum.upper.quenching.IC4H10,0,,argon_second_continuum,AriC4H10,,
argon.second_continuum.upper.quenching.N2,1,,argon_second_continuum,ArN2,1.58e-16,1.58e-16
argon.upper.emission_weight,2,ArCF4_primary;ArN2_primary,ArCF4;ArN2,ArCF4;ArN2,1.0149372758008263e-11,0.2547771375909977
argon.upper.quenching.Ar,1,ArCF4_primary,ArCF4,ArCF4,0.3137017921448999,0.3137017921448999
argon.upper.quenching.CF4,1,ArCF4_primary,ArCF4,ArCF4,11.499999999999998,11.499999999999998
fit.normalization,2,ArCF4_primary;ArN2_primary,ArCF4;ArN2,ArCF4;ArN2,0.0052212855642154,0.0127446203549334
n2.C.emission_weight,1,ArN2_primary,ArN2,ArN2,0.6068901725164795,0.6068901725164795
n2.C.lifetime,1,ArN2_primary,ArN2,ArN2,37.80718336483932,37.80718336483932
n2.C.quenching.Ar,1,ArN2_primary,ArN2,ArN2,0.0347792789958676,0.0347792789958676
n2.C.quenching.N2,1,ArN2_primary,ArN2,ArN2,0.2014449648501393,0.2014449648501393
