wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
300.0,1.2193196610821182e-18,3.2962695392139145e-18,3.2857162463465455e-18,4.430833566927945e-19
300.25012506253125,2.267328103246914e-18,6.1294218412780335e-18,6.10979796555151e-18,8.239146622297362e-19
300.5002501250625,4.197387222506026e-18,1.1347081563134502e-17,1.1310752897198329e-17,1.5252705908448103e-18
300.7503751875938,7.735912909269941e-18,2.0913018049924535e-17,2.084606320852098e-17,2.8111203061225825e-18
301.00050025012507,1.4194234576462578e-17,3.8372237043506075e-17,3.824938499798045e-17,5.157982194958147e-18
301.2506253126563,2.5928670883645272e-17,7.009473459175739e-17,6.987032021853725e-17,9.422108817233735e-18
301.5007503751876,4.7153768049819804e-17,1.2747397933683563e-16,1.2706586033415494e-16,1.7135006098142885e-17
301.75087543771883,8.53729761006898e-17,2.3079455664890563e-16,2.30055647855333e-16,3.102332065077706e-17
302.00100050025014,1.5388359021839096e-16,4.1600394647257063e-16,4.146720737513387e-16,5.591909969973918e-17
302.2511255627814,2.761417481013669e-16,7.4651271674238625e-16,7.44122691522884e-16,1.0034596880294999e-16
302.50125062531265,4.933324693603379e-16,1.333659124314035e-15,1.3293892989382007e-15,1.7926997609120194e-16
302.7513756878439,8.774354991549856e-16,2.3720308962480914e-15,2.364436633570008e-15,3.188475333055632e-16
303.0015007503752,1.5536692583136938e-15,4.200139482412231e-15,4.18669237151478e-15,5.645812268401318e-16
303.25162581290647,2.738859883699901e-15,7.404145684654003e-15,7.380440669965958e-15,9.9526257921897e-16
303.5017508754377,4.80672114436313e-15,1.2994335281691618e-14,1.2952732790083123e-14,1.7466938386284343e-15
303.751875937969,8.398387546017907e-15,2.2703930667273903e-14,2.2631242063771737e-14,3.0518541310111482e-15
304.00200100050023,1.4608672922071116e-14,3.949261633214909e-14,3.9366177295142665e-14,5.3085831728440205e-15
304.25212606303154,2.5298425367722635e-14,6.839094914265027e-14,6.81719895863417e-14,9.193086594720112e-15
304.5022511255628,4.36158244412165e-14,1.1790961642141618e-13,1.1753211855627764e-13,1.5849367901758387e-14
304.75237618809405,7.486219423442829e-14,2.0238004714421023e-13,2.017321098676566e-13,2.7203852582300423e-14
305.0025012506253,1.2792307463050894e-13,3.458231239320077e-13,3.447159412020319e-13,4.648541897163051e-14
305.25262631315655,2.1762215002062162e-13,5.883127182043403e-13,5.86429184003345e-13,7.908078234075648e-14
305.50275137568786,3.685744064402238e-13,9.96392191203203e-13,9.932021551702168e-13,1.3393467718847048e-13
305.7528764382191,6.214627802766549e-13,1.6800424841531083e-12,1.6746636824034435e-12,2.2583070177039666e-13
306.0030015007504,1.043212886471687e-12,2.8201881511040915e-12,2.811159074098822e-12,3.7908866906389065e-13
306.2531265632816,1.743406389251624e-12,4.713068737250533e-12,4.697979438849253e-12,6.335289913587724e-13
