wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
300.0,6.608356135798121e-18,1.1962490764189584e-17,9.738725750253092e-18,1.546890649928346e-18
300.25012506253125,1.228825554216186e-17,2.2244282906426483e-17,1.8109186038849683e-17,2.8764472149327654e-18
300.5002501250625,2.2748611780401905e-17,4.1179690187554606e-17,3.3524599276390875e-17,5.325017922585603e-18
300.7503751875938,4.1926386633185753e-17,7.589542733001519e-17,6.178686086662607e-17,9.814170746159845e-18
301.00050025012507,7.692860219532463e-17,1.39256673574001e-16,1.1336957992808025e-16,1.8007524564750585e-17
301.2506253126563,1.4052581681079575e-16,2.5438077960462633e-16,2.0709271150462303e-16,3.2894424518164956e-17
301.5007503751876,2.555596390051501e-16,4.626157789435647e-16,3.7661790405372173e-16,5.982165730061478e-17
301.75087543771883,4.626965745353826e-16,8.375764540772868e-16,6.818753336509476e-16,1.0830847947576815e-16
302.00100050025014,8.340040762697588e-16,1.5097197933429048e-15,1.2290707108513603e-15,1.952245128853069e-16
302.2511255627814,1.4966075539175516e-15,2.7091690691989066e-15,2.2055485848296916e-15,3.503274012770182e-16
302.50125062531265,2.6737177747076994e-15,4.8399819151283515e-15,3.940254369827553e-15,6.25866545514658e-16
302.7513756878439,4.755443916537836e-15,8.608336591159659e-15,7.008091448491243e-15,1.1131590942718734e-15
303.0015007503752,8.420433216886135e-15,1.5242724895199682e-14,1.240918136257066e-14,1.971063475375799e-15
303.25162581290647,1.4843819955692996e-14,2.6870382811749705e-14,2.187531795563088e-14,3.4746563028428695e-15
303.5017508754377,2.6051023518502416e-14,4.7157738147557204e-14,3.839135911361524e-14,6.09804978329423e-15
303.751875937969,4.5516805512086456e-14,8.239482775514592e-14,6.707805644864537e-14,1.0654619608019942e-14
304.00200100050023,7.917473688135243e-14,1.4332264170353012e-13,1.1667970566220335e-13,1.8533302030870228e-14
304.25212606303154,1.3711007034566424e-13,2.4819757235878767e-13,2.020589304291582e-13,3.20948631505784e-14
304.5022511255628,2.363850188458457e-13,4.2790575244847775e-13,3.483602915311202e-13,5.5333242930862715e-14
304.75237618809405,4.0573120929530957e-13,7.344573664313305e-13,5.979255497809731e-13,9.497396949343357e-14
305.0025012506253,6.933056704707328e-13,1.2550265919899226e-12,1.021723655181661e-12,1.6228968856321376e-13
305.25262631315655,1.1794484385645446e-12,2.1350455034854395e-12,1.7381516134582657e-12,2.760864766056878e-13
305.50275137568786,1.997565542522132e-12,3.61600659259844e-12,2.9438097140975378e-12,4.675921510355063e-13
305.7528764382191,3.3681466052689244e-12,6.097041659075148e-12,4.963633224558113e-12,7.884191445213546e-13
306.0030015007504,5.65390889632719e-12,1.023474394600175e-11,8.332158108121783e-12,1.3234726802778363e-12
306.2531265632816,9.448753003273932e-12,1.7104196295123218e-11,1.3924614879983548e-11,2.2117736050981706e-12
306.5032516258129,1.572056161827592e-11,2.8457466471544282e-11,2.3167370991250875e-11,3.6798848729112044e-12
306.7533766883442,2.6039311000999358e-11,4.713653606952502e-11,3.8374098391967785e-11,6.09530810541848e-12
307.00350175087544,4.2939678727517786e-11,7.77296955006136e-11,6.328014809401117e-11,1.0051363178613278e-11
307.2536268134067,7.049461832576147e-11,1.276098326600165e-10,1.0388782635735503e-10,1.6501451150259128e-11
307.50375187593795,1.1521817897853519e-10,2.0856872323074439e-10,1.697968788995982e-10,2.6970387203888365e-11
