concentration,Ar_meta,ErrAr_meta
0.001,23.4496,0.04842576896
0.002,23.1561,0.04812069140999999
0.005,22.4199,0.047348586809999996
0.01,21.46,0.046325701999999996
0.02,20.0212,0.04474537988
0.05,17.3463,0.04164846629999999
0.1,14.6029,0.03821432901
0.2,11.387,0.0337442358
0.5,6.1896,0.024879097200000002
1.0,0.0,0.0
