concentration,Ar_dbleStar,ErrAr_dbleStar
0.001,198.1232,0.1407573300673097
0.002,197.7733,0.14063021279660243
0.005,196.5554,0.14019835512631598
0.01,194.2345,0.13936668673339572
0.02,190.412,0.1379890802985616
0.05,180.25069999999997,0.13425758048296754
0.1,165.08429999999998,0.12848560661379613
0.2,139.45759999999999,0.11809227018008568
0.5,80.8394,0.08991072305996799
1.0,0.0,0.0
