concentration,Ar_1s4_1s5,ErrAr_1s4_1s5
0.001,56.926500000000004,0.07544943919501697
0.002,56.270399999999995,0.07501430911957438
0.005,54.6109,0.07389813737646242
0.01,52.3885,0.07237972650860419
0.02,49.2438,0.07017486989151765
0.05,43.4042,0.06588197368459142
0.1,37.1903,0.060984175961639533
0.2,29.609,0.05441361251873647
0.5,16.218,0.040271721223945685
1.0,0.0,0.0
