concentration,Ar_2nd_precursor,ErrAr_2nd_precursor
0.001,255.04970000000003,0.1597036124905136
0.002,254.0437,0.15938633355436949
0.005,251.1663,0.15848190271395382
0.01,246.62300000000002,0.1570410716357501
0.02,239.6558,0.15480794115914825
0.05,223.6549,0.14955110288365547
0.1,202.2746,0.14222384056351237
0.2,169.0666,0.1300254802091711
0.5,97.0574,0.0985177631267857
1.0,0.0,0.0
