N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.04190241267233203,0.023516334864598608,0.026580726699499527,0.014917548421323866,0.017022315952398847,0.009553208433077361,0.010836154801023162,0.00608143132325527,0.008476538146933032,0.004757174989292268
0.5,0.03573318965377416,0.006703315837717582,0.01926901565121305,0.0036147430174446184,0.014715074625459717,0.0027604530618671446,0.010844336111120649,0.0020343274895844587,0.00869006693535019,0.0016302004909994421
1.0,0.0328979516344905,0.004916336956279891,0.01691150813637049,0.0025272902508039073,0.012324935112095361,0.001841863428111411,0.010327479223364983,0.0015433595481917717,0.008233494873646375,0.0012304302582842436
5.0,0.014707310714639148,0.0015971945854071766,0.008234885061559945,0.0008942976786831758,0.005685560501303503,0.000617444386936628,0.00440709103446307,0.0004786042855975409,0.0023987656114258494,0.000260502788073741
10.0,0.01090257201968543,0.001182645876868119,0.0035270073935823668,0.0003825886904642441,0.004583959459573356,0.0004972405359768913,0.0031669540365950304,0.0003435322533845572,0.0025235912061579,0.00027374409721619026
20.0,0.003449882409978007,0.0003742226330148158,0.0007632546126357143,8.279330042529223e-05,0.001729681409165823,0.00018762550553685038,0.0008793870496566213,9.539065337700289e-05,0.002823153964572423,0.00030623887555496226
50.0,0.001062206932906627,0.00011522186208121911,0.00163016349179131,0.00017683039641535467,0.0024588608190905217,0.0002667225315493834,0.0001826248942101545,1.9810057458106783e-05,0.001123509290479167,0.00012187157558868846
100.0,-0.002361979582729379,-0.0002209404038828344,0.0013388440436168363,0.0,0.00015147755016127506,1.4169263509526671e-05,-0.001420788440038903,-0.00013290105218078142,-4.2236756856075256e-05,-3.950841144739702e-06
