name,tex_name,value,fit_uncertainty,stat_minus,stat_plus,syst_minus,syst_plus,total_minus,total_plus,fixed
Nnorm,$N_{\mathrm{norm}}$,0.01274462035493343,26970.74709232006,0.0036569391027191298,0.0010175030397214999,0.0004663922926093182,0.0003936779053645232,0.0036865601000935235,0.001091006291922595,False
P_N2,$\mathcal{W}_{\mathrm{N}_2^*}$,0.6068901725164795,1284328.6521554682,0.046744746738342835,0.39310982742620426,0.006785838007638878,0.005343779990415465,0.047234721816665014,0.39314614636753853,False
tau_N2,$\tau_{\mathrm{N}_2(C)}$ [ns],37.80718336483932,0.376,0.0,0.0,0.0,0.0,0.0,0.0,True
K_N2_Q_N2,$K_{\mathrm{N}_2(C)Q(\mathrm{N}_2)}$ [ns$^{-1}$],0.20144496485013935,0.10200780165645779,0.046206180629646654,0.05747202967931092,0.00010725204402395327,8.508824906411361e-05,0.04620630510417903,0.05747209266652576,False
K_N2_Q_Ar,$K_{\mathrm{N}_2(C)Q(\mathrm{Ar})}$ [ns$^{-1}$],0.03477927899586764,0.012592544554507083,0.0060712020579301584,4.132347242169487e-12,5.224812943405155e-11,4.119898866505878e-12,0.0060712020579301584,5.8352258225455326e-12,False
K_ArMeta_Q_N2c,$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.8234919166104352,1869435.8550903336,0.26606812186769635,0.36790571144099016,0.004657108957817679,0.0037533565639248367,0.2661088764736124,0.3679248567253877,False
K_ArMeta_Q_N2b,$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.01959396030783126,1800604.131004347,3.0783125701261405e-10,0.0009162410570541096,3.0783125701261405e-10,1.0392546302695482e-09,4.353391385895967e-10,0.000916241057054699,False
K_ArMeta_Q_2Ar,$K_{\mathrm{Ar}(1s_5)Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.01585999990580036,57352.87712489339,0.0026700541771223062,9.402784800771613e-11,1.5318929784402524e-07,9.384776289422803e-11,0.002670054181516779,1.328481795178745e-10,False
K_ArRes_Q_N2c,$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.47289406488024016,982965.4241284145,0.13621377298665766,0.4178947200771392,0.003914537668268436,0.0030934243643769843,0.13627000974688816,0.4179061693043651,False
K_ArRes_Q_N2b,$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.3673867488374211,1015714.6445054823,1.6141478154096944e-08,1.1625788109981272e-09,0.0,1.1625766460632292e-09,1.6141478154096944e-08,1.644133191001704e-09,False
K_ArRes_Q_2Ar,$K_{\mathrm{Ar}(1s_4)Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.00046200000000000006,43.471336000080505,0.0,1.619000806968562e-05,0.0,6.509230182855444e-11,0.0,1.619000806981647e-05,False
P_Ar_dbleStar,$\mathcal{W}_{\mathrm{Ar}^{**}}^*$,1.0149372758008265e-11,0.13913346298010737,1.007394639572056e-11,0.05120936743116045,1.0054639891255804e-11,6.092374960119157e-12,1.4233066406318907e-11,0.05120936743116045,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,0.6352507583101811,0.0,0.6269813281059481,0.3647492416898188,0.6320226396309728,0.3647492414818968,0.8902573800871302,0.5158333243160206,False
