id,particle,degrad_particle,energy_kev,electric_field_v_cm_bar,pressure_bar,gas_label,gas_mixture,additive,additive_fraction,source_txt,total_excitations,Errtotal_excitations,Wexc_eV,ErrWexc_eV,CF4,ErrCF4,CF3,ErrCF3,N2_star,ErrN2_star,Ar_3rd,ErrAr_3rd,Ar_dbleStar,ErrAr_dbleStar,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_2nd_precursor,ErrAr_2nd_precursor
CF4_xray_30keV,xray,photon,30.0,50.0,1.0,CF4,CF4,,0.0,Primary_DegradData/photons/OUTPUTS/output_CF4_E_50.0Vcmbar_P_1bar_Photon_30keV.txt,318.4716,0.1785,94.1999,0.0528,759.211,0.27551666267359814,267.9364,0.16368815981870433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_electron_12keV,electron,electron,12.0,50.0,1.0,N2,N2,,0.0,Primary_DegradData/Electrons/OUTPUTS/output_N2_E_50.0Vcmbar_P_1bar_Electron_12keV.txt,399.8703,0.2,30.0097,0.015,0.0,0.0,0.0,0.0,17.6077,0.04196090987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_electron_1500keV,electron,electron,1500.0,50.0,1.0,N2,N2,,0.0,Primary_DegradData/Electrons/OUTPUTS/output_N2_E_50.0Vcmbar_P_1bar_Electron_1500keV.txt,49824.0179,2.2321,30.106,0.0013,0.0,0.0,0.0,0.0,2183.4833,0.46726542619999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_xray_8keV,xray,photon,8.0,50.0,1.0,N2,N2,,0.0,Primary_DegradData/photons/OUTPUTS/output_N2_E_50.0Vcmbar_P_1bar_Photon_8keV.txt,265.3563,0.1629,30.1481,0.0185,0.0,0.0,0.0,0.0,11.6665,0.03415601204999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_xray_12keV,xray,photon,12.0,50.0,1.0,N2,N2,,0.0,Primary_DegradData/photons/OUTPUTS/output_N2_E_50.0Vcmbar_P_1bar_Photon_12keV.txt,399.0945,0.1998,30.0681,0.0151,0.0,0.0,0.0,0.0,17.5161,0.04185296934000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_xray_30keV,xray,photon,30.0,50.0,1.0,N2,N2,,0.0,Primary_DegradData/photons/OUTPUTS/output_N2_E_50.0Vcmbar_P_1bar_Photon_30keV.txt,999.4121,0.3161,30.0176,0.0095,0.0,0.0,0.0,0.0,44.2081,0.06648898240000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe_electron_12keV,electron,electron,12.0,50.0,1.0,Xe,Xe,,0.0,Primary_DegradData/Electrons/OUTPUTS/output_Xenon_E_50.0Vcmbar_P_1bar_Electron_12keV.txt,301.3049,0.1736,39.8268,0.0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe_xray_8keV,xray,photon,8.0,50.0,1.0,Xe,Xe,,0.0,Primary_DegradData/photons/OUTPUTS/output_Xenon_E_50.0Vcmbar_P_1bar_Photon_8keV.txt,197.6252,0.1406,40.4807,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe_xray_12keV,xray,photon,12.0,50.0,1.0,Xe,Xe,,0.0,Primary_DegradData/photons/OUTPUTS/output_Xenon_E_50.0Vcmbar_P_1bar_Photon_12keV.txt,297.5873,0.1725,40.3243,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe_xray_30keV,xray,photon,30.0,50.0,1.0,Xe,Xe,,0.0,Primary_DegradData/photons/OUTPUTS/output_Xenon_E_50.0Vcmbar_P_1bar_Photon_30keV.txt,780.8095,0.2794,38.4217,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
